Year,Full Name,AI_AN Prev Cases,AI_AN Prev Rates,Asian Prev Cases,Asian Prev Rates,Black Prev Cases,Black Prev Rates,Latino Prev Cases,Latino Prev Rates,Multi Prev Cases,Multi Prev Rates,NH_OPI Prev Cases,NH_OPI Prev Rates,White Prev Cases,White Prev Rates
2008,Wisconsin,19,49.5,40,45.4,1681,664.7,577,289.3,179,505.3,0,0,2126,52.1
2008,Wyoming,5,54.5,2,63,11,276.1,26,87.4,11,243.5,0,0,133,34.2
2009,Alabama,4,20.4,20,51.6,6471,651.4,309,310.1,596,1901.4,2,172.6,2936,108.2
2009,Alaska,133,164.5,8,28.9,62,306.7,54,174.1,26,129.2,2,59.8,269,70.3
2009,Arizona,366,173.9,87,65.8,1070,565.3,3234,221.9,310,521.6,7,99.1,6213,190.5
2009,Arkansas,4,23.2,10,38.5,1786,505,259,222.1,235,948.3,4,187.2,1954,106.6
2009,California,246,149.4,2973,76.8,17088,930.6,34612,339.8,4161,798.7,145,142.5,44061,326.7
2009,Colorado,54,173.8,72,67.9,1343,859.5,2035,277.2,254,477.6,5,121,6375,210
2009,Connecticut,7,108.7,58,58.1,2951,1099,3103,948.1,255,940.9,0,0,2911,131
2009,Delaware,3,139.6,5,23.8,1691,1146.3,213,482.6,91,1290,0,0,695,135.3
2009,District of Columbia,7,502.9,46,279,8722,3251.9,882,2113.7,938,15709.3,6,1699.7,1934,1063.5
2009,Florida,39,85.2,234,65.8,42837,1923.8,17888,561.8,2604,1843,18,198.1,24462,253.4
2009,Georgia,10,49.1,107,47,22173,947.9,2082,375.2,2014,2856.5,4,96.7,7284,154.3
2009,Hawaii,5,103.3,291,66.5,83,294.8,215,264.4,209,133.8,172,186.9,1052,372
2009,Idaho,9,59.3,5,36.3,27,373.2,100,88.6,26,178.1,0,0,571,53.2
2009,Illinois,19,99.9,274,60.1,13174,875.3,4983,348.5,1861,2130,15,397.1,8437,118.4
2009,Indiana,2,14.9,53,72.2,2721,604.4,626,259.5,354,812.4,0,0,4455,100
2009,Iowa,2,25.6,19,49.2,255,438.4,159,175.5,68,383.5,0,0,1072,47
2009,Kansas,5,25.8,20,39.5,555,428.9,351,192.4,138,468.3,1,77.8,1250,66
2009,Kentucky,5,59.9,16,44.6,1517,574.3,292,373.2,191,697.8,0,0,2819,89
2009,Louisiana,14,65.4,38,72.7,10769,953.1,680,547.1,416,1530.7,1,86.1,4166,179.2
2009,Maine,7,113.1,2,20.4,80,825.9,71,537.6,23,268.1,0,0,826,76.3
2009,Maryland,11,87.9,91,37.5,18523,1367.1,1427,478.7,2204,4204.1,5,208.7,3628,130.9
