GEO ID,State Abbreviation,State,Year,PrEP Users,PrEP Rates,Male PrEP Users,Male PrEP Rate,Female PrEP Users,Female PrEP Rate,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 55+ PrEP Users,Age 55+ PrEP Rate
25,MA,Massachusetts,2017,3803,64,3583,126,220,7,528,48,1559,160,821,98,609,65,325,16
26,MI,Michigan,2017,1815,21,1679,41,136,3,315,19,685,54,429,37,288,22,123,4
27,MN,Minnesota,2017,1597,34,1510,65,87,4,238,28,614,81,375,53,278,39,115,7
28,MS,Mississippi,2017,363,15,328,28,35,3,55,11,132,36,102,27,61,16,18,2
29,MO,Missouri,2017,1325,26,1240,50,85,3,190,19,474,58,295,40,264,34,125,7
30,MT,Montana,2017,95,11,89,20,6,1,9,6,37,28,29,23,16,13,5,1
31,NE,Nebraska,2017,234,15,220,28,14,2,34,11,93,36,59,25,33,15,15,3
32,NV,Nevada,2017,765,30,735,59,30,2,68,15,297,68,232,58,139,35,37,4
33,NH,New Hampshire,2017,249,21,234,41,15,3,30,14,82,50,70,46,47,24,23,5
34,NJ,New Jersey,2017,2658,35,2464,67,194,5,429,31,1036,89,619,53,409,32,190,7
35,NM,New Mexico,2017,369,21,353,41,16,2,63,18,137,50,80,32,52,22,42,7
36,NY,New York,2017,17206,102,16044,197,1162,13,2232,73,7611,261,4127,168,2372,89,1065,19
37,NC,North Carolina,2017,1798,21,1705,41,93,2,220,13,679,50,434,33,323,23,161,5
38,ND,North Dakota,2017,83,13,82,25,1,0,8,6,34,30,27,30,11,13,4,2
39,OH,Ohio,2017,3348,34,3132,66,216,4,518,28,1408,92,768,56,473,31,215,6
40,OK,Oklahoma,2017,481,15,442,28,39,2,54,8,188,35,123,25,86,18,33,3
41,OR,Oregon,2017,1293,37,1201,69,92,5,143,23,535,92,327,60,207,40,99,8
42,PA,Pennsylvania,2017,3809,35,3474,65,335,6,653,33,1565,93,814,55,541,32,268,7
44,RI,Rhode Island,2017,540,59,506,115,34,7,94,53,212,145,117,95,92,65,33,10
45,SC,South Carolina,2017,590,14,548,27,42,2,67,8,238,37,144,23,105,16,43,3
46,SD,South Dakota,2017,76,11,73,20,3,1,5,4,32,27,25,25,10,10,4,2
47,TN,Tennessee,2017,1336,24,1263,46,73,3,169,16,501,55,318,38,280,31,82,4
48,TX,Texas,2017,6436,28,6071,54,365,3,797,16,2521,61,1589,41,1072,30,515,8
49,UT,Utah,2017,692,28,675,55,17,1,64,11,309,68,181,43,94,30,51,8
50,VT,Vermont,2017,84,16,77,29,7,3,12,12,28,38,18,26,15,18,11,5
51,VA,Virginia,2017,1744,24,1656,48,88,2,200,15,785,67,376,34,265,23,132,6
53,WA,Washington,2017,3451,56,3297,106,154,5,394,36,1328,120,857,88,648,68,278,13
54,WV,West Virginia,2017,228,15,208,27,20,3,27,10,99,47,56,25,37,16,13,2
55,WI,Wisconsin,2017,916,19,880,36,36,1,118,13,335,46,239,34,175,23,59,3
56,WY,Wyoming,2017,29,6,28,11,1,0,3,3,9,11,7,10,6,9,4,2
,US,United States,2018,132340,47.9,123534,91.6,8799,6.2,17492,33.3,52654,116.1,31199,75.1,21211,49.5,11325,12.1
1,AL,Alabama,2018,1194,29,1107,56,87,4,168,21,496,79,259,43,204,32,81,6
2,AK,Alaska,2018,148,25,140,44,8,3,16,13,60,51,33,34,24,27,18,10
4,AZ,Arizona,2018,2167,37,2062,71,105,4,275,24,854,89,495,58,351,41,219,11
5,AR,Arkansas,2018,616,25,578,47,38,3,86,18,249,65,171,46,80,21,35,4
6,CA,California,2018,15218,46,14507,89,711,4,1669,26,5651,94,3716,71,2702,52,1678,16
8,CO,Colorado,2018,1855,39,1757,75,98,4,253,29,750,86,434,57,305,42,127,9
9,CT,Connecticut,2018,1774,58,1617,109,157,10,297,51,737,166,368,87,258,50,136,12
10,DE,Delaware,2018,403,49,374,96,29,7,39,28,159,122,99,89,58,47,50,16
11,DC,"Washington, D.C.",2018,2296,386,2178,779,117,37,162,160,991,610,589,577,373,489,207,135
12,FL,Florida,2018,10224,57,9585,110,638,7,1045,35,3490,129,2492,98,2072,75,1239,18
13,GA,Georgia,2018,3279,38,3043,73,236,5,366,21,1162,82,801,58,717,51,276,10
15,HI,Hawaii,2018,303,25,287,48,16,3,44,22,108,52,77,42,45,26,32,7
16,ID,Idaho,2018,232,17,218,31,14,2,35,12,99,45,57,27,28,14,14,3
17,IL,Illinois,2018,6931,64,6406,122,523,10,980,48,2893,164,1612,98,1051,63,486,13
18,IN,Indiana,2018,1728,31,1578,58,150,5,269,24,678,78,375,46,283,33,140,7
19,IA,Iowa,2018,914,35,868,67,46,3,153,29,381,97,215,57,116,30,59,6
20,KS,Kansas,2018,593,25,556,47,37,3,85,17,253,66,124,35,87,25,53,6
21,KY,Kentucky,2018,883,24,840,46,43,2,101,14,342,60,222,40,159,27,71,5
22,LA,Louisiana,2018,1883,49,1555,83,328,16,327,43,701,108,461,79,255,44,149,12
23,ME,Maine,2018,320,28,306,54,14,2,51,27,92,58,81,54,54,29,45,9
24,MD,Maryland,2018,2803,55,2580,105,223,8,533,58,1149,137,588,76,375,44,195,11
25,MA,Massachusetts,2018,5124,87,4848,171,276,9,733,66,2131,219,1085,130,786,84,457,22
26,MI,Michigan,2018,2765,33,2541,62,223,5,491,30,1022,81,638,55,434,33,203,7
27,MN,Minnesota,2018,2034,44,1902,82,132,6,301,35,823,109,457,65,323,45,149,9
28,MS,Mississippi,2018,519,21,464,39,55,4,95,18,173,48,134,35,86,23,37,4
29,MO,Missouri,2018,1809,35,1719,69,90,3,252,26,683,84,408,56,322,41,165,9
30,MT,Montana,2018,128,14,118,27,10,2,17,11,47,36,35,28,21,17,10,3
31,NE,Nebraska,2018,345,22,325,42,20,3,57,18,141,54,74,31,52,23,24,4
32,NV,Nevada,2018,956,38,900,72,56,4,103,23,367,84,253,63,183,46,55,7
33,NH,New Hampshire,2018,402,34,384,67,18,3,63,30,149,91,92,61,61,31,43,10
34,NJ,New Jersey,2018,3803,50,3539,96,264,7,618,45,1514,130,859,74,538,42,309,12
35,NM,New Mexico,2018,514,30,487,57,27,3,83,24,214,78,107,43,55,23,61,10
36,NY,New York,2018,21417,127,19814,244,1602,18,2668,88,9405,322,5139,209,2951,111,1528,27
37,NC,North Carolina,2018,2515,29,2359,57,156,3,319,19,972,72,569,44,438,31,242,8
38,ND,North Dakota,2018,115,18,111,34,4,1,12,9,46,40,38,42,15,18,6,3
39,OH,Ohio,2018,4878,50,4559,96,319,6,715,39,2105,138,1116,81,667,44,333,9
40,OK,Oklahoma,2018,748,23,712,45,36,2,84,13,307,57,187,39,127,27,52,5
41,OR,Oregon,2018,1592,45,1467,85,125,7,224,36,622,107,398,73,238,46,134,11
42,PA,Pennsylvania,2018,4964,45,4473,84,491,9,900,46,1978,117,1064,72,689,40,397,10
44,RI,Rhode Island,2018,726,80,689,157,37,8,124,70,286,196,150,122,112,79,56,17
45,SC,South Carolina,2018,901,21,819,40,82,4,99,12,364,56,233,38,146,23,66,4
46,SD,South Dakota,2018,108,15,100,28,8,2,9,6,46,39,37,37,16,16,2,1
47,TN,Tennessee,2018,1809,32,1669,61,140,5,241,23,698,77,424,50,332,37,136,7
48,TX,Texas,2018,9442,41,8904,78,538,5,1223,25,3682,89,2281,59,1575,45,784,12
49,UT,Utah,2018,812,33,785,64,27,2,79,13,358,79,223,52,101,32,59,9
50,VT,Vermont,2018,124,23,116,44,8,3,26,26,38,51,26,38,14,17,22,10
51,VA,Virginia,2018,2401,34,2279,65,121,3,278,20,1068,91,518,47,374,33,181,8
53,WA,Washington,2018,4057,65,3846,124,211,7,481,43,1555,141,982,100,712,75,382,18
54,WV,West Virginia,2018,324,21,303,40,21,3,43,16,124,59,89,41,48,20,23,4
55,WI,Wisconsin,2018,1099,22,1035,43,64,3,174,19,393,54,275,40,183,24,81,5
56,WY,Wyoming,2018,47,10,41,17,6,3,7,8,15,19,15,21,3,5,7,4
