GEO ID,State Abbreviation,State,Year,PrEP Users,PrEP Rates,Male PrEP Users,Male PrEP Rate,Female PrEP Users,Female PrEP Rate,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 55+ PrEP Users,Age 55+ PrEP Rate
4,AZ,Arizona,2013,209,4,119,4,90,3,27,2,64,7,67,8,42,5,9,1
5,AR,Arkansas,2013,39,2,22,2,17,1,4,1,13,3,14,4,2,1,6,1
6,CA,California,2013,1714,5,1319,8,395,2,152,2,506,9,455,9,403,8,200,2
8,CO,Colorado,2013,179,4,117,5,62,3,33,4,65,8,43,6,29,4,9,1
9,CT,Connecticut,2013,203,7,90,6,113,7,44,8,85,19,35,8,25,5,12,1
10,DE,Delaware,2013,45,6,19,5,26,6,11,7,10,8,14,13,8,6,2,1
11,DC,"Washington, D.C.",2013,112,20,88,33,24,8,7,7,41,28,37,41,18,24,9,6
12,FL,Florida,2013,951,6,528,7,423,5,99,3,301,12,258,11,188,7,105,2
13,GA,Georgia,2013,312,4,194,5,118,3,30,2,106,8,81,6,54,4,41,2
15,HI,Hawaii,2013,26,2,11,2,15,3,3,1,4,2,8,5,3,2,8,2
16,ID,Idaho,2013,22,2,13,2,9,1,2,1,10,5,4,2,5,2,1,0
17,IL,Illinois,2013,515,5,319,6,196,4,107,5,153,9,130,8,77,4,46,1
18,IN,Indiana,2013,151,3,68,3,83,3,43,4,41,5,39,5,17,2,12,1
19,IA,Iowa,2013,80,3,33,3,47,4,19,4,30,8,15,4,7,2,7,1
20,KS,Kansas,2013,44,2,21,2,23,2,7,1,16,4,13,4,6,2,2,0
21,KY,Kentucky,2013,71,2,39,2,32,2,17,2,20,4,14,2,10,2,9,1
22,LA,Louisiana,2013,142,4,62,3,80,4,26,3,43,7,35,6,22,4,16,1
23,ME,Maine,2013,42,4,21,4,21,4,9,5,12,8,11,7,7,3,3,1
24,MD,Maryland,2013,247,5,115,5,132,5,46,5,100,12,42,5,36,4,23,1
25,MA,Massachusetts,2013,1026,18,430,16,596,20,243,22,367,41,187,22,150,15,76,4
26,MI,Michigan,2013,228,3,120,3,108,3,47,3,62,5,39,3,54,4,26,1
27,MN,Minnesota,2013,178,4,89,4,89,4,42,5,53,7,43,6,29,4,12,1
28,MS,Mississippi,2013,40,2,19,2,21,2,5,1,14,4,5,1,13,3,3,0
29,MO,Missouri,2013,157,3,92,4,65,3,18,2,58,7,43,6,24,3,15,1
30,MT,Montana,2013,19,2,12,3,7,2,2,1,7,6,6,5,3,2,1,0
31,NE,Nebraska,2013,39,3,17,2,22,3,6,2,20,8,9,4,4,2,0,0
32,NV,Nevada,2013,78,3,58,5,20,2,8,2,33,8,18,5,13,3,6,1
33,NH,New Hampshire,2013,60,5,25,4,35,6,13,6,23,15,14,9,5,2,5,1
34,NJ,New Jersey,2013,421,6,232,6,189,5,69,5,160,14,81,7,80,6,31,1
35,NM,New Mexico,2013,50,3,32,4,18,2,11,3,15,6,6,2,8,3,10,2
36,NY,New York,2013,2002,12,1174,15,828,10,372,12,723,26,437,17,302,11,167,3
37,NC,North Carolina,2013,251,3,128,3,123,3,45,3,78,6,65,5,46,3,17,1
38,ND,North Dakota,2013,11,2,9,3,2,1,1,1,6,6,2,2,2,2,1,1
39,OH,Ohio,2013,282,3,134,3,148,3,75,4,100,7,53,4,38,2,15,0
40,OK,Oklahoma,2013,43,1,24,2,19,1,8,1,16,3,9,2,7,1,3,0
41,OR,Oregon,2013,126,4,69,4,57,3,26,4,53,10,23,4,15,3,9,1
42,PA,Pennsylvania,2013,508,5,238,5,270,5,123,6,204,13,83,5,56,3,40,1
44,RI,Rhode Island,2013,101,11,63,14,38,8,17,9,35,26,25,20,15,10,9,3
45,SC,South Carolina,2013,79,2,43,2,36,2,9,1,29,5,16,3,15,2,9,1
