Indicator,Year,Full Name,FIPS,All Deaths,All Death Rates,Population
HIV deaths,2013,Virginia,51.0,324,4.7,6909745
HIV deaths,2012,Virginia,51.0,329,4.8,6842130
HIV deaths,2011,Virginia,51.0,312,4.6,6763179
HIV deaths,2010,Virginia,51.0,316,4.7,6692503
HIV deaths,2009,Virginia,51.0,380,5.8,6543736
HIV deaths,2008,Virginia,51.0,360,5.6,6472126
HIV deaths,2017,Washington,53.0,174,2.8,6224655
HIV deaths,2016,Washington,53.0,177,2.9,6109614
HIV deaths,2015,Washington,53.0,148,2.5,5995009
HIV deaths,2014,Washington,53.0,174,3.0,5896287
HIV deaths,2013,Washington,53.0,165,2.8,5813109
HIV deaths,2012,Washington,53.0,151,2.6,5746623
HIV deaths,2011,Washington,53.0,168,3.0,5679657
HIV deaths,2010,Washington,53.0,155,2.8,5607944
HIV deaths,2009,Washington,53.0,193,3.5,5532584
HIV deaths,2008,Washington,53.0,173,3.2,5451257
HIV deaths,2017,West Virginia,54.0,31,2.0,1554542
HIV deaths,2016,West Virginia,54.0,40,2.6,1564167
HIV deaths,2015,West Virginia,54.0,30,1.9,1572368
HIV deaths,2014,West Virginia,54.0,38,2.4,1578153
HIV deaths,2013,West Virginia,54.0,41,2.6,1581193
HIV deaths,2012,West Virginia,54.0,38,2.4,1582449
HIV deaths,2011,West Virginia,54.0,37,2.3,1581533
HIV deaths,2010,West Virginia,54.0,27,1.7,1578821
HIV deaths,2009,West Virginia,54.0,36,2.3,1544706
HIV deaths,2008,West Virginia,54.0,45,2.9,1540309
HIV deaths,2017,Wisconsin,55.0,101,2.1,4881522
HIV deaths,2016,Wisconsin,55.0,88,1.8,4857498
HIV deaths,2015,Wisconsin,55.0,84,1.7,4840448
HIV deaths,2014,Wisconsin,55.0,90,1.9,4825931
HIV deaths,2013,Wisconsin,55.0,92,1.9,4804606
HIV deaths,2012,Wisconsin,55.0,86,1.8,4779842
HIV deaths,2011,Wisconsin,55.0,97,2.0,4758800
HIV deaths,2010,Wisconsin,55.0,92,1.9,4739083
HIV deaths,2009,Wisconsin,55.0,106,2.2,4722053
HIV deaths,2008,Wisconsin,55.0,82,1.7,4697333
HIV deaths,2017,Wyoming,56.0,6,1.3,479567
HIV deaths,2016,Wyoming,56.0,5,1.0,482500
HIV deaths,2015,Wyoming,56.0,4,0.8,483034
HIV deaths,2014,Wyoming,56.0,5,1.0,480901
HIV deaths,2013,Wyoming,56.0,6,1.2,480996
HIV deaths,2012,Wyoming,56.0,2,0.4,475893
HIV deaths,2011,Wyoming,56.0,6,1.3,467723
HIV deaths,2010,Wyoming,56.0,8,1.7,465119
HIV deaths,2009,Wyoming,56.0,4,0.9,447838
HIV deaths,2008,Wyoming,56.0,4,0.9,439967
