GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC06,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC15,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC18,HC01_EST_VC19,HC01_EST_VC20,HC01_EST_VC22,HC01_EST_VC23,HC01_EST_VC24,HC01_EST_VC25,HC01_EST_VC26,HC01_EST_VC27,HC01_EST_VC28,HC01_EST_VC29,HC01_EST_VC30,HC01_EST_VC31,HC01_EST_VC33,HC01_EST_VC34,HC01_EST_VC35,HC01_EST_VC36,HC01_EST_VC37,HC01_EST_VC39,HC01_EST_VC40
Id,Id2,Geography,Total; Estimate; Total population,Total; Estimate; Total population - AGE - Under 5 years,Total; Estimate; Total population - AGE - 5 to 9 years,Total; Estimate; Total population - AGE - 10 to 14 years,Total; Estimate; Total population - AGE - 15 to 19 years,Total; Estimate; Total population - AGE - 20 to 24 years,Total; Estimate; Total population - AGE - 25 to 29 years,Total; Estimate; Total population - AGE - 30 to 34 years,Total; Estimate; Total population - AGE - 35 to 39 years,Total; Estimate; Total population - AGE - 40 to 44 years,Total; Estimate; Total population - AGE - 45 to 49 years,Total; Estimate; Total population - AGE - 50 to 54 years,Total; Estimate; Total population - AGE - 55 to 59 years,Total; Estimate; Total population - AGE - 60 to 64 years,Total; Estimate; Total population - AGE - 65 to 69 years,Total; Estimate; Total population - AGE - 70 to 74 years,Total; Estimate; Total population - AGE - 75 to 79 years,Total; Estimate; Total population - AGE - 80 to 84 years,Total; Estimate; Total population - AGE - 85 years and over,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 5 to 14 years,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 17 years,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 18 to 24 years,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 44 years,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 16 years and over,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 18 years and over,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 60 years and over,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 62 years and over,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 65 years and over,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 75 years and over,Total; Estimate; Total population - SUMMARY INDICATORS - Median age (years),Total; Estimate; Total population - SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; Total population - SUMMARY INDICATORS - Age dependency ratio,Total; Estimate; Total population - SUMMARY INDICATORS - Old-age dependency ratio,Total; Estimate; Total population - SUMMARY INDICATORS - Child dependency ratio,Total; Estimate; Total population - PERCENT IMPUTED - Sex,Total; Estimate; Total population - PERCENT IMPUTED - Age
0100000US,,United States,304059728,6.9,6.5,6.7,7.2,6.9,6.9,6.4,6.9,7.1,7.5,7.1,6.1,5.0,3.7,2.9,2.4,1.9,1.8,13.2,4.2,9.9,41.4,78.5,75.7,17.8,15.4,12.8,6.1,36.9,97.2,58.9,20.3,38.6,0.2,1.3
0400000US01,01,Alabama,4661900,6.6,6.6,6.7,7.2,6.9,6.7,6.1,6.6,6.8,7.3,7.1,6.2,5.4,4.1,3.3,2.5,2.0,1.8,13.3,4.2,9.9,40.4,78.7,75.9,19.1,16.5,13.7,6.3,37.4,94.0,60.6,22.0,38.6,0.2,1.2
0400000US02,02,Alaska,686293,7.5,7.1,7.1,7.9,8.4,7.7,6.8,6.8,7.2,7.6,7.7,6.8,4.3,2.7,1.8,1.3,0.8,0.5,14.2,4.6,11.7,44.8,76.7,73.7,11.3,9.2,7.1,2.5,33.0,108.8,50.1,10.6,39.5,0.1,1.8
0400000US04,04,Arizona,6500180,7.9,7.1,7.0,6.9,6.6,7.5,6.8,6.8,6.6,6.8,6.3,5.6,4.8,3.9,3.0,2.8,1.9,1.7,14.1,4.2,9.2,41.2,76.5,73.7,18.1,15.9,13.3,6.4,35.1,100.5,65.5,22.0,43.5,0.2,1.8
0400000US05,05,Arkansas,2855390,7.0,6.8,6.6,7.4,6.7,6.7,6.1,6.5,6.7,7.0,6.8,5.8,5.7,4.1,3.5,2.7,2.1,1.8,13.4,4.2,9.8,40.0,78.2,75.4,19.9,17.3,14.2,6.6,37.3,96.0,63.3,23.1,40.2,0.2,0.7
0400000US06,06,California,36756666,7.3,6.7,7.0,7.6,7.4,7.3,6.9,7.4,7.2,7.3,6.7,5.5,4.4,3.3,2.5,2.1,1.7,1.6,13.7,4.4,10.5,43.8,77.5,74.5,15.6,13.6,11.2,5.4,34.9,100.1,57.9,17.7,40.2,0.2,1.7
0400000US08,08,Colorado,4939456,7.2,6.7,6.4,6.7,6.8,7.7,7.2,7.3,7.3,7.7,7.3,6.2,4.9,3.3,2.4,1.8,1.4,1.4,13.2,4.0,9.5,43.1,78.2,75.6,15.3,12.9,10.4,4.7,35.8,101.5,53.4,15.9,37.5,0.2,1.2
0400000US09,09,Connecticut,3501252,6.0,6.1,6.8,7.2,6.4,5.8,5.7,7.0,7.7,8.3,7.7,6.2,5.4,3.9,2.9,2.4,2.1,2.3,12.9,4.3,9.3,39.8,79.6,76.8,19.1,16.6,13.6,6.9,39.3,95.4,58.2,21.6,36.7,0.2,1.6
0400000US10,10,Delaware,873092,6.8,6.4,6.2,7.1,6.7,6.4,6.0,6.7,7.3,7.5,7.1,6.0,5.8,3.9,3.4,2.8,2.0,1.7,12.6,4.1,9.8,40.3,79.2,76.4,19.6,17.1,13.8,6.5,38.3,93.8,59.8,22.1,37.7,0.1,0.9
