Geography,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,
,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,
,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000
District of Columbia,308,113.4,721,305.1,250,90.6,583,242.9,229,81,570,229.6,174,60.4,464,182.8,162,55.2,408,157.6,120,40.1,367,138.5,82,27,336,124.8,93,30.1,276,101,89,28.4,259,93.3,71,22.4,234,83.6,45,14.1,163,57.8
Florida,"1,631",20.5,"4,144",54.7,"1,324",16.6,"3,710",48.6,"1,199",14.5,"3,433",44.2,"1,132",13.5,"3,438",43.6,"1,019",12,"3,356",42,"1,057",12.3,"3,239",39.9,959,11,"3,517",42.7,961,10.8,"3,610",43,"1,017",11.2,"3,645",42.5,994,10.7,"3,569",40.9,976,10.4,"3,707",41.8
Georgia,808,20.1,"2,350",61.7,697,17.1,"2,213",57.2,651,15.9,"2,002",52.4,611,14.8,"2,051",53,569,13.6,"2,049",52.3,462,10.9,"1,876",47.4,464,10.8,"1,916",47.9,499,11.5,"2,125",52.5,494,11.2,"2,001",48.7,555,12.4,"2,009",48.3,566,12.5,"1,986",47.2
Hawaii,12,2.2,71,13.1,15,2.8,72,13.2,14,2.4,88,15.4,12,2.1,69,12,11,1.9,71,12.2,6,1,89,15.1,10,1.7,89,15,9,1.5,110,18.4,8,1.3,70,11.7,6,1,72,12,6,1,60,10.1
Idaho,8,1.3,41,6.7,4,0.6,44,7.1,10,1.6,34,5.4,6,0.9,29,4.6,5,0.8,32,5,2,0.3,25,3.9,0,0,22,3.3,5,0.7,35,5.2,8,1.2,37,5.4,4,0.6,42,6,8,1.1,29,4
Illinois,441,8.2,"1,365",26.5,376,6.9,"1,352",26,301,5.5,"1,356",26.2,317,5.8,"1,300",25,288,5.2,"1,359",26.1,282,5.1,"1,300",24.8,243,4.4,"1,290",24.6,241,4.4,"1,309",25,237,4.3,"1,246",23.8,221,4,"1,131",21.6,228,4.2,"1,124",21.5
Indiana,98,3.7,365,14.2,103,3.8,360,13.9,98,3.6,388,14.9,75,2.7,390,14.9,91,3.3,400,15.2,85,3.1,387,14.6,87,3.1,379,14.2,149,5.3,483,18,102,3.6,382,14.2,106,3.7,410,15.1,112,3.9,398,14.6
Iowa,17,1.3,78,6.4,21,1.7,102,8.3,20,1.6,94,7.6,20,1.5,92,7.3,20,1.5,96,7.6,32,2.5,88,6.9,17,1.3,77,6,26,2,98,7.6,28,2.1,105,8.2,24,1.8,100,7.7,31,2.3,85,6.5
Kansas,23,2,116,10.3,41,3.5,111,9.8,20,1.7,116,10.1,21,1.8,114,9.9,27,2.3,124,10.7,22,1.8,125,10.7,29,2.4,102,8.7,26,2.2,128,10.8,28,2.3,119,10,28,2.3,91,7.7,25,2.1,129,10.8
Kentucky,51,2.8,304,17.6,66,3.6,278,15.9,74,4,257,14.6,47,2.5,263,14.8,58,3.1,302,16.9,62,3.3,292,16.3,59,3.1,285,15.8,55,2.9,286,15.8,52,2.7,285,15.7,68,3.6,297,16.3,68,3.6,292,16
