Geography,Avg_Cases_Before,Avg_Rate_Before,Avg_Cases_After,Avg_Rate_After,Difference_Cases,Difference_Rates
Union County OR,0.0,0.0,0.0,0.0,0.0,0.0
Union County NM,0.0,0.0,0.0,0.0,0.0,0.0
Union County MS,0.0,0.0,0.0,0.0,0.0,0.0
Union County IN,0.0,0.0,0.0,0.0,0.0,0.0
Union County IL,0.0,0.0,0.0,0.0,0.0,0.0
Union County IA,0.0,0.0,0.0,0.0,0.0,0.0
Union County GA,0.0,0.0,0.0,0.0,0.0,0.0
Tyrrell County NC,0.0,0.0,0.0,0.0,0.0,0.0
Tyler County WV,0.0,0.0,0.0,0.0,0.0,0.0
Twin Falls County ID,0.0,0.0,2.0,3.8,-2.0,-3.8
Twiggs County GA,0.0,0.0,0.0,0.0,0.0,0.0
Tuscola County MI,0.0,0.0,0.0,0.0,0.0,0.0
Turner County SD,0.0,0.0,0.0,0.0,0.0,0.0
Tucker County WV,0.0,0.0,0.0,0.0,0.0,0.0
Trousdale County TN,0.0,0.0,0.0,0.0,0.0,0.0
Tripp County SD,0.0,0.0,0.0,0.0,0.0,0.0
Trinity County CA,0.0,0.0,0.0,0.0,0.0,0.0
Treutlen County GA,0.0,0.0,0.0,0.0,0.0,0.0
Trempealeau County WI,0.0,0.0,0.0,0.0,0.0,0.0
Trego County KS,0.0,0.0,0.0,0.0,0.0,0.0
Treasure County MT,0.0,0.0,0.0,0.0,0.0,0.0
Traverse County MN,0.0,0.0,0.0,0.0,0.0,0.0
Traill County ND,0.0,0.0,0.0,0.0,0.0,0.0
Towns County GA,0.0,0.0,0.0,0.0,0.0,0.0
Towner County ND,0.0,0.0,0.0,0.0,0.0,0.0
Toole County MT,0.0,0.0,0.0,0.0,0.0,0.0
Todd County SD,0.0,0.0,0.0,0.0,0.0,0.0
Todd County MN,0.0,0.0,0.0,0.0,0.0,0.0
Tishomingo County MS,0.0,0.0,0.0,0.0,0.0,0.0
Tipton County IN,0.0,0.0,0.0,0.0,0.0,0.0
Tioga County PA,0.0,0.0,0.0,0.0,0.0,0.0
Tillman County OK,0.0,0.0,0.0,0.0,0.0,0.0
Tillamook County OR,0.0,0.0,0.0,0.0,0.0,0.0
Thurston County NE,0.0,0.0,0.0,0.0,0.0,0.0
Throckmorton County TX,0.0,0.0,0.0,0.0,0.0,0.0
Thomas County NE,0.0,0.0,0.0,0.0,0.0,0.0
Thomas County KS,0.0,0.0,0.0,0.0,0.0,0.0
Thayer County NE,0.0,0.0,0.0,0.0,0.0,0.0
Teton County WY,0.0,0.0,0.0,0.0,0.0,0.0
Teton County MT,0.0,0.0,0.0,0.0,0.0,0.0
Teton County ID,0.0,0.0,0.0,0.0,0.0,0.0
Terry County TX,0.0,0.0,0.0,0.0,0.0,0.0
Terrell County TX,0.0,0.0,0.0,0.0,0.0,0.0
Terrell County GA,0.0,0.0,,,,
Tensas Parish LA,0.0,0.0,0.0,0.0,0.0,0.0
Teller County CO,0.0,0.0,0.0,0.0,0.0,0.0
Taylor County WV,0.0,0.0,0.0,0.0,0.0,0.0
Taylor County WI,0.0,0.0,0.0,0.0,0.0,0.0
Taylor County IA,0.0,0.0,0.0,0.0,0.0,0.0
Tattnall County GA,0.0,0.0,8.0,36.8,-8.0,-36.8
Tama County IA,0.0,0.0,0.0,0.0,0.0,0.0
Tallahatchie County MS,0.0,0.0,,,,
Switzerland County IN,0.0,0.0,0.0,0.0,0.0,0.0
Swisher County TX,0.0,0.0,0.0,0.0,0.0,0.0
Swift County MN,0.0,0.0,0.0,0.0,0.0,0.0
Sweet Grass County MT,0.0,0.0,0.0,0.0,0.0,0.0
Swain County NC,0.0,0.0,0.0,0.0,0.0,0.0
Sutton County TX,0.0,0.0,0.0,0.0,0.0,0.0
Sumter County AL,0.0,0.0,,,,
Summit County UT,0.0,0.0,0.0,0.0,0.0,0.0
Summers County WV,0.0,0.0,0.0,0.0,0.0,0.0
Sully County SD,0.0,0.0,0.0,0.0,0.0,0.0
Sullivan County PA,0.0,0.0,0.0,0.0,0.0,0.0
Sullivan County NH,0.0,0.0,0.0,0.0,0.0,0.0
Sullivan County MO,0.0,0.0,0.0,0.0,0.0,0.0
Sullivan County IN,0.0,0.0,0.0,0.0,0.0,0.0
Sublette County WY,0.0,0.0,0.0,0.0,0.0,0.0
Stutsman County ND,0.0,0.0,0.0,0.0,0.0,0.0
Storey County NV,0.0,0.0,0.0,0.0,0.0,0.0
Stonewall County TX,0.0,0.0,0.0,0.0,0.0,0.0
Stone County MS,0.0,0.0,2.0,16.4,-2.0,-16.4
Stone County MO,0.0,0.0,0.0,0.0,0.0,0.0
Stone County AR,0.0,0.0,0.0,0.0,0.0,0.0
