Full Name,F Diag 08,F Diag Rate 08,M Diag 08,M Diag Rate 08,F Diag 09,F Diag Rate 09,M Diag 09,M Diag Rate 09,F Diag 10,F Diag Rate 10,M Diag 10,M Diag Rate 10,F Diag 11,F Diag Rate 11,M Diag 11,M Diag Rate 11,F Diag 12,F Diag Rate 12,M Diag 12,M Diag Rate 12,F Diag 13,F Diag Rate 13,M Diag 13,M Diag Rate 13,F Diag 14,F Diag Rate 14,M Diag 14,M Diag Rate 14,F Diag 15,F Diag Rate 15,M Diag 15,M Diag Rate 15,F Diag 16,F Diag Rate 16,M Diag 16,M Diag Rate 16,F Diag 17,F Diag Rate 17,M Diag 17,M Diag Rate 17,F Diag 18,F Diag Rate 18,M Diag 18,M Diag Rate 18
Dewey County SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewitt County TX,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Dickens County TX,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickenson County VA,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0
Dickey County ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickinson County IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickinson County KS,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0
Dickinson County MI,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickson County TN,0,0,0,0,0,0,5,26.1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Dillingham Census Area AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dillon County SC,,,,,0,0,6,52.9,0,0,7,58.3,,,,,0,0,5,42.2,,,,,,,,,0,0,5,42.4,,,,,,,,,,,,
Dimmit County TX,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinwiddie County VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,42.9,,,,,0,0,0,0,,,,
District Of Columbia DC,308,113.4,721,305.1,250,90.6,583,242.9,229,81,570,229.6,174,60.4,464,182.8,162,55.2,408,157.6,120,40.1,367,138.5,82,27,336,124.8,93,30.1,276,101,89,28.4,259,93.3,71,22.4,234,83.6,45,14.1,163,57.8
Divide County ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dixie County FL,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Dixon County NE,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doddridge County WV,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,
Dodge County GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0
Dodge County MN,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Dodge County NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
Dodge County WI,0,0,6,15.1,0,0,5,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,15,0,0,0,0
Dolores County CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doniphan County KS,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
Donley County TX,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dooly County GA,,,,,,,,,5,88,5,72.2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Door County WI,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Dorchester County MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorchester County SC,,,,,6,11,14,27.3,,,,,,,,,,,,,5,8.1,12,20.8,,,,,,,,,,,,,,,,,,,,
Dougherty County GA,16,38,33,94.9,12,28.4,40,114.5,15,35.8,35,100.4,13,30.9,41,116.6,13,31,33,94.1,7,16.8,27,78.2,11,26.6,31,90,9,21.9,34,99.9,15,36.8,45,134,13,32.2,25,75.3,15,35.8,28,82.5
Douglas County CO,,,,,0,0,5,4.4,0,0,7,6.4,,,,,,,,,,,,,0,0,8,6.5,,,,,0,0,8,6.1,,,,,0,0,12,8.6
Douglas County GA,6,11.5,11,22.6,5,9.4,16,32.5,8,14.3,13,25.9,,,,,,,,,5,8.6,15,28.8,6,10.1,17,32.1,7,11.6,14,26.1,,,,,8,12.8,23,41.7,6,9.4,23,41.2
Douglas County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas County KS,,,,,0,0,6,12,,,,,,,,,,,,,0,0,5,10.2,,,,,0,0,5,9.9,,,,,,,,,,,,
Douglas County MN,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Douglas County MO,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas County NE,17,8.2,32,16.2,26,12.4,36,17.9,14,6.5,54,26.5,6,2.8,40,19.4,5,2.3,44,21.1,11,4.9,37,17.5,6,2.7,46,21.5,6,2.6,33,15.2,9,3.9,39,17.7,8,3.4,38,17.1,5,2.1,31,13.8
Douglas County NV,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
Douglas County OR,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,5,11.1,,,,,,,,,,,,,,,,
Douglas County SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas County WA,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
Douglas County WI,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Doña Ana County NM,,,,,6,7.2,20,24.7,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8,9.3,,,,,,,,
Drew County AR,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,
Dubois County IN,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Dubuque County IA,,,,,,,,,,,,,,,,,0,0,6,15.4,,,,,0,0,0,0,,,,,,,,,,,,,,,,
Duchesne County UT,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Dukes County MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundy County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunklin County MO,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0
Dunn County ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn County WI,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,
Dupage County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplin County NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,21.2
Durham County NC,26,23.1,68,65.6,16,13.9,61,57.4,25,21.2,59,54.8,15,12.4,51,46.6,13,10.5,52,46.7,11,8.7,58,51,19,14.6,45,38.7,14,10.5,44,37,14,10.3,69,56.6,16,11.5,48,38.8,15,10.6,45,35.7
Dutchess County NY,5,4.1,17,13.7,10,8.1,19,15.2,5,3.9,13,10.4,8,6.2,18,14.3,,,,,,,,,12,9.3,14,11.1,5,3.9,10,7.9,5,3.9,19,15.1,,,,,,,,
Duval County FL,131,35.9,230,68.9,114,31.1,251,74.8,106,28.4,178,51.6,85,22.6,204,58.7,94,24.7,222,63.3,88,23,199,56.3,65,16.7,202,56.4,68,17.3,199,54.7,77,19.2,201,54.3,82,20.2,218,58.2,70,17,206,54.3
Duval County TX,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyer County TN,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Eagle County CO,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,21.2,,,,,,,,,,,,,,,,
Early County GA,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
East Baton Rouge Parish LA,106,56.7,147,86.9,94,49.9,151,88.2,82,42.7,153,88.1,91,47.3,151,86.6,86,44.4,120,68.6,60,30.8,138,78.7,78,40,171,97.3,66,33.8,140,79.7,58,29.6,123,69.9,44,22.6,122,69.8,60,30.9,118,67.9
East Carroll Parish LA,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0
East Feliciana Parish LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastland County TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
Eaton County MI,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,11.1,,,,,,,,
Eau Claire County WI,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
Echols County GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0
Ector County TX,,,,,,,,,,,,,0,0,5,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddy County ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddy County NM,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,5,21.3
Edgar County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgecombe County NC,10,43.4,12,61.6,15,65.9,11,57,5,19.5,18,84.6,8,31.5,12,56.8,,,,,,,,,5,20,11,52.7,,,,,0,0,8,39.4,,,,,5,20.9,8,40.4
Edgefield County SC,,,,,0,0,0,0,,,,,,,,,,,,,0,0,6,47.7,,,,,,,,,0,0,5,39.5,,,,,,,,
Edmonson County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmunds County SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Edwards County TX,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0
Effingham County GA,,,,,0,0,6,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effingham County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado County CA,7,9.4,9,12.1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,7.6,,,,,,,,,,,,
El Paso County CO,,,,,5,2,18,7.4,,,,,6,2.3,25,9.7,7,2.7,16,6.1,5,1.9,22,8.2,,,,,,,,,6,2.1,36,12.6,5,1.7,31,10.6,,,,
El Paso County TX,9,3,71,26.5,10,3.3,74,27.2,10,3,104,34.4,11,3.3,97,31.2,12,3.5,130,40.9,19,5.6,99,31,10,2.9,101,31.3,14,4.1,104,32.2,6,1.7,93,28.5,14,4.1,123,37.3,8,2.3,132,39.9
Elbert County CO,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Elbert County GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
Elk County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elk County PA,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
Elkhart County IN,5,6.3,5,6.4,5,6.3,5,6.3,,,,,,,,,,,,,0,0,6,7.7,,,,,0,0,6,7.5,,,,,,,,,,,,
Elko County NV,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Elliott County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellis County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
Ellis County OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellis County TX,6,10.2,10,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,13,19.5,0,0,15,21.8,,,,
Ellsworth County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elmore County AL,7,21.8,5,15.3,,,,,5,14.6,6,18.7,0,0,5,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmore County ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emanuel County GA,6,64.1,9,98.5,,,,,0,0,6,67.3,7,74.1,8,90.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emery County UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Emmet County IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Emmet County MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmons County ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emporia City VA,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0
Erath County TX,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,
Erie County NY,29,7.2,70,19,34,8.4,72,19.5,35,8.6,67,17.9,38,9.3,63,16.8,22,5.4,73,19.4,25,6.1,73,19.4,21,5.1,65,17.2,25,6.1,98,26,25,6.1,58,15.4,21,5.1,61,16.2,13,3.2,33,8.7
Erie County OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erie County PA,,,,,5,4.1,13,11.3,,,,,,,,,,,,,7,5.8,7,6,,,,,5,4.2,6,5.2,,,,,,,,,7,6,6,5.3
Escambia County AL,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
Escambia County FL,19,14.7,49,39.2,10,7.7,46,36.8,18,14.1,50,40.3,18,14,47,37.7,9,6.9,40,31.5,12,9.2,43,33.3,15,11.4,45,34.8,10,7.6,48,37,7,5.2,35,26.9,9,6.7,50,38.3,13,9.6,44,33.5
Esmeralda County NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Essex County MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essex County NJ,150,45.7,233,78.2,147,44.7,252,84.2,127,37.4,242,79.3,103,30.3,216,70.5,118,34.7,224,73,102,29.9,190,61.7,101,29.5,211,68.3,103,30,217,69.9,83,24.1,224,71.9,111,32.1,204,65.1,84,24.2,182,57.8
Essex County NY,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0
Essex County VA,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,
Essex County VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estill County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etowah County AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eureka County NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evangeline Parish LA,,,,,,,,,,,,,,,,,0,0,10,72.6,,,,,,,,,,,,,0,0,9,64.4,,,,,0,0,10,71.8
Evans County GA,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
Fairbanks North Star Borough AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfax City VA,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0
Fairfax County VA,25,5.9,96,23.3,29,6.7,86,20.6,32,7,95,21.6,22,4.7,78,17.5,18,3.8,107,23.6,20,4.2,89,19.4,27,5.6,93,20.1,19,4,65,14,22,4.6,80,17.1,,,,,19,3.9,76,16.1
Fairfield County CT,32,8.4,68,19.1,27,7.1,71,19.7,39,9.9,60,16.4,27,6.8,66,17.8,18,4.5,58,15.5,20,4.9,70,18.5,37,9,62,16.3,18,4.4,49,12.8,18,4.4,61,15.9,15,3.6,46,12,10,2.4,41,10.6
Fairfield County OH,,,,,,,,,,,,,0,0,7,11.8,,,,,,,,,,,,,0,0,6,9.6,,,,,,,,,,,,
Fairfield County SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall River County SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fallon County MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falls Church City VA,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,
Falls County TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fannin County GA,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Fannin County TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faribault County MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faulk County SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faulkner County AR,,,,,,,,,,,,,,,,,0,0,12,25.4,,,,,,,,,,,,,,,,,,,,,,,,
Fauquier County VA,,,,,,,,,,,,,,,,,0,0,0,0,0,0,8,29.1,,,,,,,,,,,,,0,0,0,0,,,,
Fayette County AL,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,
Fayette County GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10.3,13,29,,,,,,,,,0,0,14,30.2
Fayette County IA,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0
Fayette County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fayette County IN,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Fayette County KY,5,4,30,25,5,3.9,45,36.9,10,7.8,39,31.9,,,,,12,9.1,51,40.6,8,6,54,42.4,10,7.4,45,35.1,8,5.8,43,33.1,11,7.9,39,29.6,5,3.6,35,26.4,10,7.1,36,27
Fayette County OH,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
Fayette County PA,,,,,,,,,,,,,,,,,0,0,6,10.5,,,,,,,,,,,,,,,,,,,,,,,,
Fayette County TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7,41.3,,,,
Fayette County TX,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,
Fayette County WV,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fentress County TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0
Fergus County MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferry County WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fillmore County MN,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fillmore County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0
Finney County KS,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,
Fisher County TX,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flagler County FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flathead County MT,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleming County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence County SC,8,13.7,22,43.7,15,25.5,29,57.3,16,26.3,17,32.6,10,16.4,27,51.7,11,18,11,21,5,8.1,17,32.3,8,12.9,15,28.4,10,16.1,17,32.2,9,14.5,25,47.3,12,19.3,22,41.6,7,11.3,18,34.1
Florence County WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Floyd County GA,,,,,,,,,,,,,,,,,0,0,5,13.1,,,,,,,,,0,0,5,13.1,,,,,,,,,,,,
Floyd County IA,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
Floyd County IN,,,,,,,,,,,,,0,0,6,20,0,0,5,16.6,0,0,5,16.4,,,,,0,0,6,19.6,,,,,,,,,,,,
Floyd County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd County TX,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,
Floyd County VA,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,
Fluvanna County VA,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,
Foard County TX,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fond Du Lac County WI,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,
Ford County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford County KS,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,
Forest County PA,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Forest County WI,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forrest County MS,7,20,11,35.8,,,,,5,15.3,14,47.8,,,,,,,,,,,,,5,15,20,67.5,,,,,5,15,16,54.5,,,,,,,,
Forsyth County GA,,,,,,,,,0,0,7,10.4,,,,,0,0,7,9.7,,,,,0,0,6,7.6,,,,,,,,,,,,,,,,
Forsyth County NC,17,11.1,53,38.4,22,14.2,66,47.3,16,10.4,43,31.8,18,11.6,59,43.3,18,11.4,34,24.7,14,8.8,48,34.5,16,9.9,37,26.2,11,6.8,43,30.2,13,7.9,68,47.1,10,6,57,38.9,14,8.3,53,35.8
Fort Bend County TX,11,5.2,42,20.1,12,5.4,51,23.3,16,6.7,31,13.7,14,5.7,51,21.8,19,7.4,54,22.4,21,7.8,45,17.8,17,6,58,21.8,15,5.1,46,16.5,24,7.8,49,16.9,23,7.3,59,19.7,22,6.7,64,20.7
Foster County ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountain County IN,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
