Year,Geography,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other
2008,"Anchorage Municipality, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Anderson County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Anderson County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Anderson County, SC",75,23,132,Data suppressed,Data suppressed
2008,"Anderson County, TN",13,5,32,Data suppressed,Data suppressed
2008,"Anderson County, TX",31,59,32,Data suppressed,Data suppressed
2008,"Andrew County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Andrews County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Androscoggin County, ME",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Angelina County, TX",52,13,23,Data suppressed,Data suppressed
2008,"Anne Arundel County, MD",363,369,322,54,27
2008,"Anoka County, MN",65,18,92,14,6
2008,"Anson County, NC",25,16,30,Data suppressed,Data suppressed
2008,"Antelope County, NE",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Antrim County, MI",Data suppressed,0,Data suppressed,0,0
2008,"Apache County, AZ",11,5,23,Data suppressed,Data suppressed
2008,"Appanoose County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Appling County, GA",5,Data suppressed,8,Data suppressed,0
2008,"Appomattox County, VA",5,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Aransas County, TX",Data suppressed,5,8,Data suppressed,0
2008,"Arapahoe County, CO",207,71,561,84,10
2008,"Archer County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Archuleta County, CO",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Arenac County, MI",0,Data suppressed,Data suppressed,0,0
2008,"Arkansas County, AR",8,Data suppressed,8,Data suppressed,Data suppressed
2008,"Arlington County, VA",244,119,753,72,10
2008,"Armstrong County, PA",6,Data suppressed,14,Data suppressed,Data suppressed
2008,"Armstrong County, TX",0,0,0,0,0
2008,"Aroostook County, ME",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Arthur County, NE",0,0,0,0,0
2008,"Ascension Parish, LA",60,24,48,Data suppressed,Data suppressed
2008,"Ashe County, NC",Data suppressed,0,6,Data suppressed,0
2008,"Ashland County, OH",Data suppressed,0,11,Data suppressed,0
2008,"Ashland County, WI",Data suppressed,Data suppressed,Data suppressed,0,0
2008,"Ashley County, AR",6,Data suppressed,6,Data suppressed,0
2008,"Ashtabula County, OH",21,7,20,Data suppressed,Data suppressed
2008,"Asotin County, WA",Data suppressed,0,6,Data suppressed,Data suppressed
2008,"Assumption Parish, LA",6,Data suppressed,7,Data suppressed,0
2008,"Atascosa County, TX",Data suppressed,5,15,Data suppressed,0
2008,"Atchison County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed,0
2008,"Atchison County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Athens County, OH",11,Data suppressed,18,Data suppressed,0
2008,"Atkinson County, GA",7,Data suppressed,Data suppressed,Data suppressed,0
2008,"Atlantic County, NJ",353,534,406,116,18
2008,"Atoka County, OK",Data suppressed,Data suppressed,Data suppressed,0,0
2008,"Attala County, MS",15,5,14,Data suppressed,Data suppressed
2008,"Audrain County, MO",16,7,Data suppressed,Data suppressed,0
2008,"Audubon County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Auglaize County, OH",Data suppressed,0,8,0,Data suppressed
2008,"Augusta County, VA",8,13,27,6,0
2008,"Aurora County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
