Year,Geography,Female,,Male,
2008,"Hayes County, NE",0,0,0,0
2008,"Hays County, TX",23,37.5,100,163.7
2008,"Haywood County, NC",8,31,30,129.4
2008,"Haywood County, TN",36,428.1,52,734
2008,"Heard County, GA",5,102.8,8,174
2008,"Hemphill County, TX",0,0,0,0
2008,"Hempstead County, AR",7,73.4,12,130.9
2008,"Henderson County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Henderson County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Henderson County, NC",17,37.6,54,130
2008,"Henderson County, TN",5,42.7,9,85.1
2008,"Henderson County, TX",15,44.3,41,128.5
2008,"Hendricks County, IN",6,10.7,142,251.2
2008,"Hendry County, FL",45,342,84,464
2008,"Hennepin County, MN",765,157.9,"2,790",594.6
2008,"Henrico County, VA",165,127.3,425,375.9
2008,"Henry County, AL",11,149.9,8,122.4
2008,"Henry County, GA",53,68.6,111,153.9
2008,"Henry County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Henry County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Henry County, IN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Henry County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Henry County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Henry County, OH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Henry County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Henry County, VA",11,45.3,28,121.4
2008,"Herkimer County, NY",5,18.4,38,147.9
2008,"Hernando County, FL",51,65.7,131,186.2
2008,"Hertford County, NC",26,253,72,760.2
2008,"Hettinger County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hickman County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hickman County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hickory County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hidalgo County, NM",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hidalgo County, TX",159,58.7,590,235.7
2008,"Highland County, OH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Highland County, VA",0,0,0,0
2008,"Highlands County, FL",64,146.8,108,256.4
2008,"Hill County, MT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hill County, TX",7,47.3,19,132.1
2008,"Hillsborough County, FL","1,542",311.3,"3,581",756
2008,"Hillsborough County, NH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hillsdale County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hinds County, MS",700,654.8,"1,340",1451.9
2008,"Hinsdale County, CO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hitchcock County, NE",0,0,0,0
2008,"Hocking County, OH",7,57.6,8,66.5
2008,"Hockley County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hodgeman County, KS",0,0,0,0
2008,"Hoke County, NC",47,267.6,74,450.9
2008,"Holmes County, FL",7,93,48,551.9
2008,"Holmes County, MS",24,277.4,32,427.5
2008,"Holmes County, OH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Holt County, MO",0,0,0,0
2008,"Holt County, NE",0,0,0,0
2008,"Honolulu County, HI",182,48.5,"1,159",304.8
2008,"Hood County, TX",8,36.5,28,133.6
2008,"Hood River County, OR",5,56.7,11,129.1
2008,"Hooker County, NE",0,0,0,0
2008,"Hoonah-Angoon Census Area, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hopewell City, VA",24,236.5,45,524.4
2008,"Hopkins County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hopkins County, TX",9,63.6,21,153.1
2008,"Horry County, SC",197,174.9,455,425
2008,"Hot Spring County, AR",9,67.5,11,82
2008,"Hot Springs County, WY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Houghton County, MI",0,0,8,48.7
2008,"Houston County, AL",76,175.7,158,415.3
2008,"Houston County, GA",66,117.4,95,185.2
2008,"Houston County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Houston County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Houston County, TX",32,367.5,33,316.6
2008,"Howard County, AR",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Howard County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Howard County, IN",33,91.7,58,175.8
2008,"Howard County, MD",110,94.8,229,206.7
2008,"Howard County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Howard County, NE",0,0,0,0
2008,"Howard County, TX",6,50,43,289.6
2008,"Howell County, MO",7,41.8,15,98
2008,"Hubbard County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hudson County, NJ","1,407",551.9,"3,348",1353.1
2008,"Hudspeth County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Huerfano County, CO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hughes County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hughes County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Humboldt County, CA",35,62.5,109,200.8
2008,"Humboldt County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Humboldt County, NV",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Humphreys County, MS",10,238.4,10,283.2
2008,"Humphreys County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hunt County, TX",22,64.8,58,173.7
2008,"Hunterdon County, NJ",134,245.6,140,259.1
2008,"Huntingdon County, PA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Huntington County, IN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Huron County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Huron County, OH",8,32.2,12,50.4
2008,"Hutchinson County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hutchinson County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hyde County, NC",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Hyde County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Iberia Parish, LA",23,73.3,51,178.9
2008,"Iberville Parish, LA",60,438,119,871
2008,"Ida County, IA",0,0,0,0
2008,"Idaho County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Imperial County, CA",27,44.6,155,235
2008,"Independence County, AR",6,41.2,16,115.2
2008,"Indian River County, FL",100,167.9,180,319.5
2008,"Indiana County, PA",5,12.8,27,73
2008,"Ingham County, MI",82,66.8,292,259.4
2008,"Inyo County, CA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Ionia County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Iosco County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Iowa County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Iowa County, WI",0,0,8,81.9
2008,"Iredell County, NC",32,49.1,79,128.6
2008,"Irion County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Iron County, MI",0,0,0,0
2008,"Iron County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Iron County, UT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Iron County, WI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Iroquois County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Irwin County, GA",6,145.6,10,229
2008,"Isabella County, MI",5,16.2,21,76.9
2008,"Isanti County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Island County, WA",8,22.6,29,85.4
2008,"Isle Of Wight County, VA",12,77.8,33,226.9
2008,"Issaquena County, MS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Itasca County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Itawamba County, MS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Izard County, AR",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jack County, TX",0,0,15,365.1
2008,"Jackson County, AL",6,26,20,93
2008,"Jackson County, AR",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jackson County, CO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jackson County, FL",46,233.3,240,1000.3
2008,"Jackson County, GA",5,19.6,29,117.5
2008,"Jackson County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jackson County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jackson County, IN",6,34.4,19,110.5
2008,"Jackson County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jackson County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jackson County, MI",21,31.8,569,833.3
2008,"Jackson County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jackson County, MO",371,124.2,"2,236",813.1
2008,"Jackson County, MS",51,92.5,159,302.7
2008,"Jackson County, NC",5,30.5,18,117
2008,"Jackson County, OH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jackson County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jackson County, OR",24,27.3,107,131.5
2008,"Jackson County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jackson County, TN",0,0,7,152.9
2008,"Jackson County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jackson County, WI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jackson County, WV",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jackson Parish, LA",6,90.1,11,183.3
2008,"James City County, VA",6,21.7,19,73.8
2008,"Jasper County, GA",11,188.8,26,474.7
2008,"Jasper County, IA",5,33.3,8,51.4
2008,"Jasper County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jasper County, IN",0,0,13,98.4
2008,"Jasper County, MO",19,38.8,88,194
2008,"Jasper County, MS",12,153.8,11,157.8
2008,"Jasper County, SC",28,329.4,56,563.6
2008,"Jasper County, TX",8,55.3,11,80
2008,"Jay County, IN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jeff Davis County, GA",11,203.4,17,329.3
2008,"Jeff Davis County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jefferson County, AL",781,266.7,"2,030",793.5
2008,"Jefferson County, AR",60,179.3,293,920.2
2008,"Jefferson County, CO",82,36.2,452,203.2
2008,"Jefferson County, FL",33,577.3,47,742.5
2008,"Jefferson County, GA",11,155.5,20,322.4
2008,"Jefferson County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jefferson County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jefferson County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jefferson County, IN",6,43,15,108.4
2008,"Jefferson County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jefferson County, KY",419,134,"1,637",582.3
2008,"Jefferson County, MO",23,25.4,84,94.9
2008,"Jefferson County, MS",14,384.1,14,377.6
2008,"Jefferson County, MT",0,0,7,145.8
2008,"Jefferson County, NE",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jefferson County, NY",22,46.5,225,455.3
2008,"Jefferson County, OH",12,38.9,33,118.8
2008,"Jefferson County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jefferson County, OR",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jefferson County, PA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jefferson County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jefferson County, TX",237,241.2,507,503.8
2008,"Jefferson County, WA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jefferson County, WI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jefferson County, WV",13,60.3,49,229.5
2008,"Jefferson Davis County, MS",12,214.6,24,495.2
2008,"Jefferson Davis Parish, LA",16,122.4,21,176.9
2008,"Jefferson Parish, LA",415,213.5,908,515.2
2008,"Jenkins County, GA",6,165.9,8,245.1
2008,"Jennings County, IN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jerauld County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jerome County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jersey County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jessamine County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jewell County, KS",0,0,0,0
2008,"Jim Hogg County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jim Wells County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jo Daviess County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Johnson County, AR",0,0,6,60.3
2008,"Johnson County, GA",5,140.2,31,687.4
2008,"Johnson County, IA",25,44.7,132,245
2008,"Johnson County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Johnson County, IN",13,22.2,68,122.5
2008,"Johnson County, KS",82,36.9,364,170.8
2008,"Johnson County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Johnson County, MO",7,31.8,20,92.5
2008,"Johnson County, NE",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Johnson County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Johnson County, TX",33,53.2,90,145.3
2008,"Johnson County, WY",0,0,0,0
2008,"Johnston County, NC",107,162.5,186,290.1
2008,"Johnston County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jones County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jones County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jones County, MS",57,203.6,88,330
2008,"Jones County, NC",9,201.9,8,194.7
2008,"Jones County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Jones County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Josephine County, OR",10,27.5,39,117.3
2008,"Juab County, UT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Judith Basin County, MT",0,0,0,0
2008,"Juneau City and Borough, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Juneau County, WI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Juniata County, PA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kalamazoo County, MI",52,48.3,192,193.5
2008,"Kalawao County, HI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kalkaska County, MI",0,0,5,69.6
2008,"Kanabec County, MN",0,0,0,0
2008,"Kanawha County, WV",50,58.8,225,293.8
2008,"Kandiyohi County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kane County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kane County, UT",0,0,0,0
2008,"Kankakee County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Karnes County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kauai County, HI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kaufman County, TX",32,79.8,75,191.7
2008,"Kay County, OK",6,30.9,24,133.8
2008,"Kearney County, NE",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kearny County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Keith County, NE",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kemper County, MS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kenai Peninsula Borough, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kendall County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kendall County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kenedy County, TX",0,0,0,0
2008,"Kennebec County, ME",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kenosha County, WI",17,25.1,97,145.8
2008,"Kent County, DE",100,149.5,183,304.5
2008,"Kent County, MD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kent County, MI",160,63.9,506,210.7
2008,"Kent County, RI",21,27.9,88,127.4
2008,"Kent County, TX",0,0,0,0
2008,"Kenton County, KY",42,63.4,174,276.4
2008,"Keokuk County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kern County, CA",144,48.5,"1,210",376.2
2008,"Kerr County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kershaw County, SC",62,243.3,89,383.9
2008,"Ketchikan Gateway Borough, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kewaunee County, WI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Keweenaw County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Keya Paha County, NE",0,0,0,0
2008,"Kidder County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kimball County, NE",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kimble County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"King And Queen County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"King County, TX",0,0,0,0
2008,"King County, WA",615,77,"5,367",677.8
2008,"King George County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"King William County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kingfisher County, OK",0,0,5,87.8
2008,"Kingman County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kings County, CA",Data suppressed,Data suppressed,173,245.1
2008,"Kings County, NY","8,888",794.9,"14,872",1532.7
2008,"Kingsbury County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kinney County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kiowa County, CO",0,0,0,0
2008,"Kiowa County, KS",0,0,0,0
2008,"Kiowa County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kit Carson County, CO",0,0,0,0
2008,"Kitsap County, WA",20,20,149,147
2008,"Kittitas County, WA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kittson County, MN",0,0,0,0
2008,"Klamath County, OR",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kleberg County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Klickitat County, WA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Knott County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Knox County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Knox County, IN",11,67.5,24,151.8
2008,"Knox County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Knox County, ME",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Knox County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Knox County, NE",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Knox County, OH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Knox County, TN",144,76.3,611,350.9
2008,"Knox County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kodiak Island Borough, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Koochiching County, MN",0,0,0,0
2008,"Kootenai County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kosciusko County, IN",5,16,23,74.4
2008,"Kossuth County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Kusilvak Census Area, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"La Crosse County, WI",12,24.2,55,119.4
2008,"La Paz County, AZ",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"La Plata County, CO",6,28,29,131.4
2008,"La Salle County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Labette County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lac Qui Parle County, MN",0,0,0,0
2008,"Lackawanna County, PA",56,59.1,156,185.2
2008,"Laclede County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lafayette County, AR",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lafayette County, FL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lafayette County, MO",8,57.3,10,75.4
2008,"Lafayette County, MS",21,108.4,47,258.6
2008,"Lafayette County, WI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lafayette Parish, LA",88,99.9,375,459.1
2008,"Lafourche Parish, LA",25,62.4,64,171.8
2008,"Lagrange County, IN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lake County, CA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lake County, CO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lake County, FL",143,104.5,327,255.6
2008,"Lake County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lake County, IN",228,108.5,663,348.7
2008,"Lake County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lake County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lake County, MT",0,0,5,43.9
2008,"Lake County, OH",17,16.5,98,101.4
2008,"Lake County, OR",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lake County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lake County, TN",0,0,10,242.9
2008,"Lake Of The Woods County, MN",0,0,0,0
2008,"Lake and Peninsula Borough, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lamar County, AL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lamar County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lamar County, MS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lamar County, TX",15,70.9,30,157.1
2008,"Lamb County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lamoille County, VT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lamoure County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lampasas County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lancaster County, NE",44,38,201,175.1
2008,"Lancaster County, PA",228,106.7,401,199.7
2008,"Lancaster County, SC",45,141,76,244
2008,"Lancaster County, VA",6,109.6,12,260.6
2008,"Lander County, NV",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lane County, KS",0,0,0,0
2008,"Lane County, OR",53,34.5,199,136.7
2008,"Langlade County, WI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lanier County, GA",5,150,5,151
2008,"Lapeer County, MI",5,13.4,22,56.9
2008,"Laporte County, IN",31,69.2,129,271
2008,"Laramie County, WY",8,22.3,46,126.6
2008,"Larimer County, CO",19,15.2,145,117.8
2008,"Larue County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Las Animas County, CO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lasalle County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lasalle Parish, LA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lassen County, CA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Latah County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Latimer County, OK",0,0,5,115.2
2008,"Lauderdale County, AL",13,32.4,34,95.1
2008,"Lauderdale County, MS",90,267.9,135,443.8
2008,"Lauderdale County, TN",17,164.2,56,488.7
2008,"Laurel County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Laurens County, GA",62,304.2,80,436.3
2008,"Laurens County, SC",34,111.5,99,351
2008,"Lavaca County, TX",5,62.3,8,109.1
2008,"Lawrence County, AL",6,40.9,13,93.1
2008,"Lawrence County, AR",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lawrence County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lawrence County, IN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lawrence County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lawrence County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lawrence County, MS",12,210.9,21,406.5
2008,"Lawrence County, OH",8,29,18,72
2008,"Lawrence County, PA",8,19.6,31,84.6
2008,"Lawrence County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lawrence County, TN",10,57.2,19,117.6
2008,"Le Flore County, OK",9,44.1,23,113.9
2008,"Le Sueur County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lea County, NM",7,30.7,19,82.4
2008,"Leake County, MS",12,132.6,15,167.4
2008,"Leavenworth County, KS",8,27.9,79,243.1
2008,"Lebanon County, PA",43,77,69,131.3
2008,"Lee County, AL",49,85.4,114,207.3
2008,"Lee County, AR",5,121.8,8,161.6
2008,"Lee County, FL",482,189.9,876,355.9
2008,"Lee County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lee County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lee County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lee County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lee County, MS",32,93.6,104,337.6
2008,"Lee County, NC",55,225,84,361.4
2008,"Lee County, SC",24,298.4,66,750.5
2008,"Lee County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lee County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Leelanau County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Leflore County, MS",50,339.4,74,553.4
2008,"Lehigh County, PA",274,186.1,465,339.2
2008,"Lemhi County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lenawee County, MI",8,19,36,85.2
2008,"Lenoir County, NC",106,425,130,600.3
2008,"Leon County, FL",323,270.6,473,440.7
2008,"Leon County, TX",7,97.4,5,72.1
2008,"Leslie County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Letcher County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Levy County, FL",23,133.3,21,131.7
2008,"Lewis And Clark County, MT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lewis County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lewis County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lewis County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lewis County, NY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lewis County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lewis County, WA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lewis County, WV",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lexington City, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Lexington County, SC",162,152.6,363,367.4
