Year,Geography,Female,,Male,
2008,"Atascosa County, TX",6,33.7,22,128.5
2008,"Atchison County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Atchison County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Athens County, OH",11,38.2,20,74.1
2008,"Atkinson County, GA",6,189.6,8,258.4
2008,"Atlantic County, NJ",425,362.8,"1,001",921.4
2008,"Atoka County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Attala County, MS",16,186,21,282.3
2008,"Audrain County, MO",21,177.6,7,75.9
2008,"Audubon County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Auglaize County, OH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Augusta County, VA",7,23.3,47,152.8
2008,"Aurora County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Austin County, TX",11,97.8,18,165.8
2008,"Autauga County, AL",28,133.7,47,240.6
2008,"Avery County, NC",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Avoyelles Parish, LA",22,123.6,107,632.7
2008,"Baca County, CO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bacon County, GA",13,301.1,21,498.2
2008,"Bailey County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Baker County, FL",16,160.7,59,527.3
2008,"Baker County, GA",14,819.2,24,1620.5
2008,"Baker County, OR",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Baldwin County, AL",88,116.3,169,236.5
2008,"Baldwin County, GA",20,109.4,180,816
2008,"Ballard County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Baltimore City, MD","4,034",1394.2,"7,026",2881.7
2008,"Baltimore County, MD","1,053",297.9,"1,775",568.2
2008,"Bamberg County, SC",47,682.8,62,1061.3
2008,"Bandera County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Banks County, GA",19,277.2,21,307.6
2008,"Banner County, NE",0,0,0,0
2008,"Bannock County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Baraga County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Barber County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Barbour County, AL",49,418.9,32,239.1
2008,"Barbour County, WV",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Barnes County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Barnstable County, MA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Barnwell County, SC",40,405.9,66,742.2
2008,"Barren County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Barron County, WI",8,40.8,5,26.2
