State,County,Geography,FIPS,Cases,Rate per 100000,Population,Indicator,Year
SC,Abbeville County,"Abbeville County, SC",45001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
LA,Acadia Parish,"Acadia Parish, LA",22001,10,19.8,"50,606",HIV diagnoses,2018
VA,Accomack County,"Accomack County, VA",51001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
ID,Ada County,"Ada County, ID",16001,14,3.6,"391,848",HIV diagnoses,2018
OK,Adair County,"Adair County, OK",40001,0,0,"17,876",HIV diagnoses,2018
MO,Adair County,"Adair County, MO",29001,0,0,"22,046",HIV diagnoses,2018
KY,Adair County,"Adair County, KY",21001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IA,Adair County,"Adair County, IA",19001,0,0,"5,993",HIV diagnoses,2018
WI,Adams County,"Adams County, WI",55001,0,0,"18,336",HIV diagnoses,2018
WA,Adams County,"Adams County, WA",53001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IL,Adams County,"Adams County, IL",17001,0,0,"55,066",HIV diagnoses,2018
ID,Adams County,"Adams County, ID",16003,0,0,"3,718",HIV diagnoses,2018
CO,Adams County,"Adams County, CO",8001,48,11.6,"414,377",HIV diagnoses,2018
PA,Adams County,"Adams County, PA",42001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
OH,Adams County,"Adams County, OH",39001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
ND,Adams County,"Adams County, ND",38001,0,0,"1,978",HIV diagnoses,2018
NE,Adams County,"Adams County, NE",31001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MS,Adams County,"Adams County, MS",28001,9,33.7,"26,672",HIV diagnoses,2018
IA,Adams County,"Adams County, IA",19003,0,0,"3,084",HIV diagnoses,2018
IN,Adams County,"Adams County, IN",18001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VT,Addison County,"Addison County, VT",50001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
SC,Aiken County,"Aiken County, SC",45003,24,16.8,"143,165",HIV diagnoses,2018
MN,Aitkin County,"Aitkin County, MN",27001,0,0,"14,058",HIV diagnoses,2018
FL,Alachua County,"Alachua County, FL",12001,41,17.5,"234,099",HIV diagnoses,2018
NC,Alamance County,"Alamance County, NC",37001,20,14.3,"140,226",HIV diagnoses,2018
CA,Alameda County,"Alameda County, CA",6001,198,14,"1,417,180",HIV diagnoses,2018
CO,Alamosa County,"Alamosa County, CO",8003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
WY,Albany County,"Albany County, WY",56001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NY,Albany County,"Albany County, NY",36001,26,9.7,"267,131",HIV diagnoses,2018
VA,Albemarle County,"Albemarle County, VA",51003,11,11.8,"93,431",HIV diagnoses,2018
MI,Alcona County,"Alcona County, MI",26001,0,0,"9,468",HIV diagnoses,2018
MS,Alcorn County,"Alcorn County, MS",28003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AK,Aleutians East Borough,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AK,Aleutians West Census Area,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IL,Alexander County,"Alexander County, IL",17003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NC,Alexander County,"Alexander County, NC",37003,0,0,"32,141",HIV diagnoses,2018
VA,Alexandria City,"Alexandria City, VA",51510,27,19.7,"137,340",HIV diagnoses,2018
OK,Alfalfa County,"Alfalfa County, OK",40003,0,0,"4,922",HIV diagnoses,2018
MI,Alger County,"Alger County, MI",26003,0,0,"8,177",HIV diagnoses,2018
IA,Allamakee County,"Allamakee County, IA",19005,0,0,"11,449",HIV diagnoses,2018
MI,Allegan County,"Allegan County, MI",26005,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NY,Allegany County,"Allegany County, NY",36003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MD,Allegany County,"Allegany County, MD",24001,8,12.8,"62,300",HIV diagnoses,2018
VA,Alleghany County,"Alleghany County, VA",51005,0,0,"13,026",HIV diagnoses,2018
NC,Alleghany County,"Alleghany County, NC",37005,0,0,"9,806",HIV diagnoses,2018
PA,Allegheny County,"Allegheny County, PA",42003,85,8.1,"1,054,853",HIV diagnoses,2018
OH,Allen County,"Allen County, OH",39003,7,8.2,"85,848",HIV diagnoses,2018
KY,Allen County,"Allen County, KY",21003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KS,Allen County,"Allen County, KS",20001,0,0,"10,498",HIV diagnoses,2018
IN,Allen County,"Allen County, IN",18003,25,8.2,"306,242",HIV diagnoses,2018
LA,Allen Parish,"Allen Parish, LA",22003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
SC,Allendale County,"Allendale County, SC",45005,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MI,Alpena County,"Alpena County, MI",26007,0,0,"24,709",HIV diagnoses,2018
CA,Alpine County,"Alpine County, CA",6003,0,0,980,HIV diagnoses,2018
CA,Amador County,"Amador County, CA",6005,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Amelia County,"Amelia County, VA",51007,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Amherst County,"Amherst County, VA",51009,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MS,Amite County,"Amite County, MS",28005,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AK,Anchorage Municipality,"Anchorage Municipality, AK",2020,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Anderson County,"Anderson County, TX",48001,15,29.9,"50,145",HIV diagnoses,2018
TN,Anderson County,"Anderson County, TN",47001,6,9.2,"65,187",HIV diagnoses,2018
SC,Anderson County,"Anderson County, SC",45007,10,6,"167,895",HIV diagnoses,2018
KY,Anderson County,"Anderson County, KY",21005,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KS,Anderson County,"Anderson County, KS",20003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MO,Andrew County,"Andrew County, MO",29003,0,0,"14,748",HIV diagnoses,2018
TX,Andrews County,"Andrews County, TX",48003,0,0,"14,064",HIV diagnoses,2018
ME,Androscoggin County,"Androscoggin County, ME",23001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Angelina County,"Angelina County, TX",48005,13,18.3,"71,115",HIV diagnoses,2018
MD,Anne Arundel County,"Anne Arundel County, MD",24003,46,9.5,"483,035",HIV diagnoses,2018
MN,Anoka County,"Anoka County, MN",27003,14,4.8,"293,927",HIV diagnoses,2018
NC,Anson County,"Anson County, NC",37007,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NE,Antelope County,"Antelope County, NE",31003,0,0,"5,231",HIV diagnoses,2018
MI,Antrim County,"Antrim County, MI",26009,0,0,"20,477",HIV diagnoses,2018
AZ,Apache County,"Apache County, AZ",4001,8,13.8,"58,004",HIV diagnoses,2018
IA,Appanoose County,"Appanoose County, IA",19007,0,0,"10,465",HIV diagnoses,2018
GA,Appling County,"Appling County, GA",13001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Appomattox County,"Appomattox County, VA",51011,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Aransas County,"Aransas County, TX",48007,0,0,"20,816",HIV diagnoses,2018
CO,Arapahoe County,"Arapahoe County, CO",8005,62,11.4,"541,929",HIV diagnoses,2018
TX,Archer County,"Archer County, TX",48009,0,0,"7,473",HIV diagnoses,2018
CO,Archuleta County,"Archuleta County, CO",8007,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MI,Arenac County,"Arenac County, MI",26011,0,0,"13,139",HIV diagnoses,2018
AR,Arkansas County,"Arkansas County, AR",5001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Arlington County,"Arlington County, VA",51013,34,16.6,"204,600",HIV diagnoses,2018
TX,Armstrong County,"Armstrong County, TX",48011,0,0,"1,570",HIV diagnoses,2018
PA,Armstrong County,"Armstrong County, PA",42005,0,0,"56,396",HIV diagnoses,2018
ME,Aroostook County,"Aroostook County, ME",23003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NE,Arthur County,"Arthur County, NE",31005,0,0,383,HIV diagnoses,2018
LA,Ascension Parish,"Ascension Parish, LA",22005,11,10.9,"100,715",HIV diagnoses,2018
NC,Ashe County,"Ashe County, NC",37009,0,0,"23,786",HIV diagnoses,2018
WI,Ashland County,"Ashland County, WI",55003,0,0,"13,203",HIV diagnoses,2018
OH,Ashland County,"Ashland County, OH",39005,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AR,Ashley County,"Ashley County, AR",5003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
OH,Ashtabula County,"Ashtabula County, OH",39007,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
WA,Asotin County,"Asotin County, WA",53003,0,0,"19,374",HIV diagnoses,2018
LA,Assumption Parish,"Assumption Parish, LA",22007,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Atascosa County,"Atascosa County, TX",48013,7,17.3,"40,445",HIV diagnoses,2018
MO,Atchison County,"Atchison County, MO",29005,0,0,"4,446",HIV diagnoses,2018
KS,Atchison County,"Atchison County, KS",20005,0,0,"13,537",HIV diagnoses,2018
OH,Athens County,"Athens County, OH",39009,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
GA,Atkinson County,"Atkinson County, GA",13003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NJ,Atlantic County,"Atlantic County, NJ",34001,41,18.2,"225,679",HIV diagnoses,2018
OK,Atoka County,"Atoka County, OK",40005,0,0,"11,591",HIV diagnoses,2018
MS,Attala County,"Attala County, MS",28007,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MO,Audrain County,"Audrain County, MO",29007,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IA,Audubon County,"Audubon County, IA",19009,0,0,"4,688",HIV diagnoses,2018
OH,Auglaize County,"Auglaize County, OH",39011,0,0,"37,966",HIV diagnoses,2018
VA,Augusta County,"Augusta County, VA",51015,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
SD,Aurora County,"Aurora County, SD",46003,0,0,"2,321",HIV diagnoses,2018
TX,Austin County,"Austin County, TX",48015,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AL,Autauga County,"Autauga County, AL",1001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NC,Avery County,"Avery County, NC",37011,0,0,"15,690",HIV diagnoses,2018
LA,Avoyelles Parish,"Avoyelles Parish, LA",22009,9,26.9,"33,519",HIV diagnoses,2018
CO,Baca County,"Baca County, CO",8009,0,0,"3,008",HIV diagnoses,2018
GA,Bacon County,"Bacon County, GA",13005,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Bailey County,"Bailey County, TX",48017,0,0,"5,473",HIV diagnoses,2018
GA,Baker County,"Baker County, GA",13007,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
FL,Baker County,"Baker County, FL",12003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
OR,Baker County,"Baker County, OR",41001,0,0,"13,742",HIV diagnoses,2018
GA,Baldwin County,"Baldwin County, GA",13009,11,28.3,"38,846",HIV diagnoses,2018
AL,Baldwin County,"Baldwin County, AL",1003,10,5.4,"184,871",HIV diagnoses,2018
KY,Ballard County,"Ballard County, KY",21007,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MD,Baltimore City,"Baltimore City, MD",24510,208,40.8,"510,410",HIV diagnoses,2018
MD,Baltimore County,"Baltimore County, MD",24005,140,20,"699,814",HIV diagnoses,2018
SC,Bamberg County,"Bamberg County, SC",45009,0,0,"12,398",HIV diagnoses,2018
TX,Bandera County,"Bandera County, TX",48019,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
GA,Banks County,"Banks County, GA",13011,0,0,"16,067",HIV diagnoses,2018
NE,Banner County,"Banner County, NE",31007,0,0,604,HIV diagnoses,2018
ID,Bannock County,"Bannock County, ID",16005,0,0,"70,789",HIV diagnoses,2018
MI,Baraga County,"Baraga County, MI",26013,0,0,"7,319",HIV diagnoses,2018
KS,Barber County,"Barber County, KS",20007,0,0,"3,728",HIV diagnoses,2018
WV,Barbour County,"Barbour County, WV",54001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AL,Barbour County,"Barbour County, AL",1005,6,28.3,"21,232",HIV diagnoses,2018
ND,Barnes County,"Barnes County, ND",38003,0,0,"9,057",HIV diagnoses,2018
MA,Barnstable County,"Barnstable County, MA",25001,15,7.8,"191,487",HIV diagnoses,2018
SC,Barnwell County,"Barnwell County, SC",45011,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KY,Barren County,"Barren County, KY",21009,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
WI,Barron County,"Barron County, WI",55005,0,0,"38,261",HIV diagnoses,2018
GA,Barrow County,"Barrow County, GA",13013,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MO,Barry County,"Barry County, MO",29009,0,0,"30,064",HIV diagnoses,2018
MI,Barry County,"Barry County, MI",26015,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IN,Bartholomew County,"Bartholomew County, IN",18005,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MO,Barton County,"Barton County, MO",29011,0,0,"9,911",HIV diagnoses,2018
KS,Barton County,"Barton County, KS",20009,0,0,"21,654",HIV diagnoses,2018
GA,Bartow County,"Bartow County, GA",13015,9,10.2,"88,254",HIV diagnoses,2018
TX,Bastrop County,"Bastrop County, TX",48021,14,19.6,"71,326",HIV diagnoses,2018
MO,Bates County,"Bates County, MO",29013,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Bath County,"Bath County, VA",51017,0,0,"3,823",HIV diagnoses,2018
KY,Bath County,"Bath County, KY",21011,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AR,Baxter County,"Baxter County, AR",5005,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
FL,Bay County,"Bay County, FL",12005,33,21.1,"156,168",HIV diagnoses,2018
MI,Bay County,"Bay County, MI",26017,6,6.7,"89,338",HIV diagnoses,2018
WI,Bayfield County,"Bayfield County, WI",55007,0,0,"13,250",HIV diagnoses,2018
TX,Baylor County,"Baylor County, TX",48023,0,0,"2,988",HIV diagnoses,2018
SD,Beadle County,"Beadle County, SD",46005,0,0,"15,020",HIV diagnoses,2018
ID,Bear Lake County,"Bear Lake County, ID",16007,0,0,"4,908",HIV diagnoses,2018
SC,Beaufort County,"Beaufort County, SC",45013,13,8,"163,288",HIV diagnoses,2018
NC,Beaufort County,"Beaufort County, NC",37013,6,14.8,"40,536",HIV diagnoses,2018
LA,Beauregard Parish,"Beauregard Parish, LA",22011,0,0,"30,658",HIV diagnoses,2018
UT,Beaver County,"Beaver County, UT",49001,0,0,"5,046",HIV diagnoses,2018
PA,Beaver County,"Beaver County, PA",42007,11,7.7,"142,035",HIV diagnoses,2018
OK,Beaver County,"Beaver County, OK",40007,0,0,"4,375",HIV diagnoses,2018
MT,Beaverhead County,"Beaverhead County, MT",30001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MN,Becker County,"Becker County, MN",27005,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
OK,Beckham County,"Beckham County, OK",40009,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Bedford County,"Bedford County, VA",51019,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TN,Bedford County,"Bedford County, TN",47003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
PA,Bedford County,"Bedford County, PA",42009,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Bee County,"Bee County, TX",48025,11,39.8,"27,643",HIV diagnoses,2018
NH,Belknap County,"Belknap County, NH",33001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Bell County,"Bell County, TX",48027,72,25.5,"282,155",HIV diagnoses,2018
KY,Bell County,"Bell County, KY",21013,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
OH,Belmont County,"Belmont County, OH",39013,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MN,Beltrami County,"Beltrami County, MN",27007,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
GA,Ben Hill County,"Ben Hill County, GA",13017,0,0,"13,813",HIV diagnoses,2018
ID,Benewah County,"Benewah County, ID",16009,0,0,"7,742",HIV diagnoses,2018
SD,Bennett County,"Bennett County, SD",46007,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VT,Bennington County,"Bennington County, VT",50003,0,0,"30,963",HIV diagnoses,2018
ND,Benson County,"Benson County, ND",38005,0,0,"5,110",HIV diagnoses,2018
CO,Bent County,"Bent County, CO",8011,0,0,"5,271",HIV diagnoses,2018
WA,Benton County,"Benton County, WA",53005,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AR,Benton County,"Benton County, AR",5007,8,3.6,"221,175",HIV diagnoses,2018
TN,Benton County,"Benton County, TN",47005,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
OR,Benton County,"Benton County, OR",41003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MO,Benton County,"Benton County, MO",29015,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MS,Benton County,"Benton County, MS",28009,0,0,"7,020",HIV diagnoses,2018
MN,Benton County,"Benton County, MN",27009,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IA,Benton County,"Benton County, IA",19011,0,0,"21,421",HIV diagnoses,2018
IN,Benton County,"Benton County, IN",18007,0,0,"7,162",HIV diagnoses,2018
MI,Benzie County,"Benzie County, MI",26019,0,0,"15,528",HIV diagnoses,2018
NJ,Bergen County,"Bergen County, NJ",34003,61,7.6,"798,583",HIV diagnoses,2018
WV,Berkeley County,"Berkeley County, WV",54003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
SC,Berkeley County,"Berkeley County, SC",45015,32,17.5,"182,826",HIV diagnoses,2018
PA,Berks County,"Berks County, PA",42011,32,9,"354,045",HIV diagnoses,2018
MA,Berkshire County,"Berkshire County, MA",25003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NM,Bernalillo County,"Bernalillo County, NM",35001,43,7.5,"574,177",HIV diagnoses,2018
GA,Berrien County,"Berrien County, GA",13019,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MI,Berrien County,"Berrien County, MI",26021,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NC,Bertie County,"Bertie County, NC",37015,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AK,Bethel Census Area,"Bethel Census Area, AK",2050,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Bexar County,"Bexar County, TX",48029,335,20.7,"1,618,453",HIV diagnoses,2018
GA,Bibb County,"Bibb County, GA",13021,56,44.5,"125,776",HIV diagnoses,2018
AL,Bibb County,"Bibb County, AL",1007,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
LA,Bienville Parish,"Bienville Parish, LA",22013,0,0,"11,200",HIV diagnoses,2018
WY,Big Horn County,"Big Horn County, WY",56003,0,0,"9,764",HIV diagnoses,2018
MT,Big Horn County,"Big Horn County, MT",30003,0,0,"10,053",HIV diagnoses,2018
MN,Big Stone County,"Big Stone County, MN",27011,0,0,"4,234",HIV diagnoses,2018
ND,Billings County,"Billings County, ND",38007,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
ID,Bingham County,"Bingham County, ID",16011,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IA,Black Hawk County,"Black Hawk County, IA",19013,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IN,Blackford County,"Blackford County, IN",18009,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NC,Bladen County,"Bladen County, NC",37017,5,17.6,"28,459",HIV diagnoses,2018
ID,Blaine County,"Blaine County, ID",16013,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
OK,Blaine County,"Blaine County, OK",40011,0,0,"7,664",HIV diagnoses,2018
NE,Blaine County,"Blaine County, NE",31009,0,0,406,HIV diagnoses,2018
MT,Blaine County,"Blaine County, MT",30005,0,0,"5,326",HIV diagnoses,2018
PA,Blair County,"Blair County, PA",42013,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Blanco County,"Blanco County, TX",48031,0,0,"10,267",HIV diagnoses,2018
VA,Bland County,"Bland County, VA",51021,0,0,"5,635",HIV diagnoses,2018
GA,Bleckley County,"Bleckley County, GA",13023,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TN,Bledsoe County,"Bledsoe County, TN",47007,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AL,Blount County,"Blount County, AL",1009,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TN,Blount County,"Blount County, TN",47009,5,4.4,"112,960",HIV diagnoses,2018
MN,Blue Earth County,"Blue Earth County, MN",27013,5,8.6,"57,804",HIV diagnoses,2018
ID,Boise County,"Boise County, ID",16015,0,0,"6,797",HIV diagnoses,2018
MS,Bolivar County,"Bolivar County, MS",28011,9,35,"25,733",HIV diagnoses,2018
MO,Bollinger County,"Bollinger County, MO",29017,0,0,"10,366",HIV diagnoses,2018
SD,Bon Homme County,"Bon Homme County, SD",46009,0,0,"5,994",HIV diagnoses,2018
IL,Bond County,"Bond County, IL",17005,0,0,"14,401",HIV diagnoses,2018
ID,Bonner County,"Bonner County, ID",16017,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
ID,Bonneville County,"Bonneville County, ID",16019,0,0,"90,746",HIV diagnoses,2018
WV,Boone County,"Boone County, WV",54005,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IL,Boone County,"Boone County, IL",17007,0,0,"44,673",HIV diagnoses,2018
AR,Boone County,"Boone County, AR",5009,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NE,Boone County,"Boone County, NE",31011,0,0,"4,360",HIV diagnoses,2018
MO,Boone County,"Boone County, MO",29019,9,5.9,"153,208",HIV diagnoses,2018
KY,Boone County,"Boone County, KY",21015,11,10.2,"107,551",HIV diagnoses,2018
IA,Boone County,"Boone County, IA",19015,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IN,Boone County,"Boone County, IN",18011,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Borden County,"Borden County, TX",48033,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Bosque County,"Bosque County, TX",48035,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
LA,Bossier Parish,"Bossier Parish, LA",22015,16,15.4,"104,140",HIV diagnoses,2018
VA,Botetourt County,"Botetourt County, VA",51023,0,0,"29,083",HIV diagnoses,2018
ND,Bottineau County,"Bottineau County, ND",38009,0,0,"5,433",HIV diagnoses,2018
CO,Boulder County,"Boulder County, CO",8013,9,3.2,"283,320",HIV diagnoses,2018
ID,Boundary County,"Boundary County, ID",16021,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KY,Bourbon County,"Bourbon County, KY",21017,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KS,Bourbon County,"Bourbon County, KS",20011,0,0,"11,963",HIV diagnoses,2018
TX,Bowie County,"Bowie County, TX",48037,12,15.3,"78,208",HIV diagnoses,2018
ND,Bowman County,"Bowman County, ND",38011,0,0,"2,526",HIV diagnoses,2018
NE,Box Butte County,"Box Butte County, NE",31013,0,0,"8,809",HIV diagnoses,2018
UT,Box Elder County,"Box Elder County, UT",49003,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NE,Boyd County,"Boyd County, NE",31015,0,0,"1,700",HIV diagnoses,2018
KY,Boyd County,"Boyd County, KY",21019,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KY,Boyle County,"Boyle County, KY",21021,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KY,Bracken County,"Bracken County, KY",21023,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
FL,Bradford County,"Bradford County, FL",12007,6,25.2,"23,797",HIV diagnoses,2018
PA,Bradford County,"Bradford County, PA",42015,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AR,Bradley County,"Bradley County, AR",5011,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TN,Bradley County,"Bradley County, TN",47011,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MI,Branch County,"Branch County, MI",26023,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
GA,Brantley County,"Brantley County, GA",13025,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
WV,Braxton County,"Braxton County, WV",54007,0,0,"12,153",HIV diagnoses,2018
TX,Brazoria County,"Brazoria County, TX",48039,33,11,"299,945",HIV diagnoses,2018
TX,Brazos County,"Brazos County, TX",48041,29,15.1,"192,391",HIV diagnoses,2018
KY,Breathitt County,"Breathitt County, KY",21025,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KY,Breckinridge County,"Breckinridge County, KY",21027,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IA,Bremer County,"Bremer County, IA",19017,0,0,"21,006",HIV diagnoses,2018
FL,Brevard County,"Brevard County, FL",12009,65,12.5,"520,323",HIV diagnoses,2018
TX,Brewster County,"Brewster County, TX",48043,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Briscoe County,"Briscoe County, TX",48045,0,0,"1,312",HIV diagnoses,2018
AK,Bristol Bay Borough,"Bristol Bay Borough, AK",2060,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Bristol City,"Bristol City, VA",51520,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
RI,Bristol County,"Bristol County, RI",44001,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MA,Bristol County,"Bristol County, MA",25005,41,8.5,"482,798",HIV diagnoses,2018
MT,Broadwater County,"Broadwater County, MT",30007,0,0,"5,250",HIV diagnoses,2018
NY,Bronx County,"Bronx County, NY",36005,457,39,"1,172,033",HIV diagnoses,2018
WV,Brooke County,"Brooke County, WV",54009,0,0,"19,496",HIV diagnoses,2018
SD,Brookings County,"Brookings County, SD",46011,0,0,"29,875",HIV diagnoses,2018
GA,Brooks County,"Brooks County, GA",13027,6,45.9,"13,071",HIV diagnoses,2018
TX,Brooks County,"Brooks County, TX",48047,0,0,"5,595",HIV diagnoses,2018
NY,Broome County,"Broome County, NY",36007,9,5.4,"165,411",HIV diagnoses,2018
CO,Broomfield County,"Broomfield County, CO",8014,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
FL,Broward County,"Broward County, FL",12011,623,37.6,"1,654,828",HIV diagnoses,2018
WI,Brown County,"Brown County, WI",55009,7,3.2,"218,385",HIV diagnoses,2018
IL,Brown County,"Brown County, IL",17009,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Brown County,"Brown County, TX",48049,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
SD,Brown County,"Brown County, SD",46013,0,0,"32,408",HIV diagnoses,2018
OH,Brown County,"Brown County, OH",39015,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NE,Brown County,"Brown County, NE",31017,0,0,"2,548",HIV diagnoses,2018
MN,Brown County,"Brown County, MN",27015,0,0,"21,210",HIV diagnoses,2018
KS,Brown County,"Brown County, KS",20013,0,0,"7,851",HIV diagnoses,2018
IN,Brown County,"Brown County, IN",18013,0,0,"13,424",HIV diagnoses,2018
SD,Brule County,"Brule County, SD",46015,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Brunswick County,"Brunswick County, VA",51025,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NC,Brunswick County,"Brunswick County, NC",37019,7,5.7,"121,924",HIV diagnoses,2018
GA,Bryan County,"Bryan County, GA",13029,6,19.9,"30,154",HIV diagnoses,2018
