State,County,Geography,FIPS,Cases,Rate per 100000,Population,Indicator,Year
SD,Oglala Lakota County,"Oglala Lakota County, SD",46102,0,0,"10,371",HIV diagnoses,2018
IL,Ogle County,"Ogle County, IL",17141,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
GA,Oglethorpe County,"Oglethorpe County, GA",13221,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
WV,Ohio County,"Ohio County, WV",54069,5,13.9,"36,091",HIV diagnoses,2018
KY,Ohio County,"Ohio County, KY",21183,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IN,Ohio County,"Ohio County, IN",18115,0,0,"5,081",HIV diagnoses,2018
FL,Okaloosa County,"Okaloosa County, FL",12091,20,11.6,"173,121",HIV diagnoses,2018
WA,Okanogan County,"Okanogan County, WA",53047,0,0,"34,971",HIV diagnoses,2018
FL,Okeechobee County,"Okeechobee County, FL",12093,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
OK,Okfuskee County,"Okfuskee County, OK",40107,0,0,"10,121",HIV diagnoses,2018
OK,Oklahoma County,"Oklahoma County, OK",40109,86,13.4,"641,900",HIV diagnoses,2018
OK,Okmulgee County,"Okmulgee County, OK",40111,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MS,Oktibbeha County,"Oktibbeha County, MS",28105,6,13.9,"43,080",HIV diagnoses,2018
TX,Oldham County,"Oldham County, TX",48359,0,0,"1,842",HIV diagnoses,2018
KY,Oldham County,"Oldham County, KY",21185,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
ND,Oliver County,"Oliver County, ND",38065,0,0,"1,594",HIV diagnoses,2018
MN,Olmsted County,"Olmsted County, MN",27109,7,5.5,"128,416",HIV diagnoses,2018
WI,Oneida County,"Oneida County, WI",55085,0,0,"31,164",HIV diagnoses,2018
ID,Oneida County,"Oneida County, ID",16071,0,0,"3,609",HIV diagnoses,2018
NY,Oneida County,"Oneida County, NY",36065,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NY,Onondaga County,"Onondaga County, NY",36067,31,7.9,"392,287",HIV diagnoses,2018
NC,Onslow County,"Onslow County, NC",37133,9,5.6,"159,770",HIV diagnoses,2018
NY,Ontario County,"Ontario County, NY",36069,5,5.3,"94,543",HIV diagnoses,2018
MI,Ontonagon County,"Ontonagon County, MI",26131,0,0,"5,312",HIV diagnoses,2018
VA,Orange County,"Orange County, VA",51137,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VT,Orange County,"Orange County, VT",50017,0,0,"25,270",HIV diagnoses,2018
TX,Orange County,"Orange County, TX",48361,10,14.6,"68,621",HIV diagnoses,2018
FL,Orange County,"Orange County, FL",12095,488,42.1,"1,159,950",HIV diagnoses,2018
CA,Orange County,"Orange County, CA",6059,285,10.6,"2,689,807",HIV diagnoses,2018
NC,Orange County,"Orange County, NC",37135,10,7.9,"126,266",HIV diagnoses,2018
NY,Orange County,"Orange County, NY",36071,27,8.6,"313,465",HIV diagnoses,2018
IN,Orange County,"Orange County, IN",18117,0,0,"16,403",HIV diagnoses,2018
SC,Orangeburg County,"Orangeburg County, SC",45075,32,43.7,"73,218",HIV diagnoses,2018
MO,Oregon County,"Oregon County, MO",29149,0,0,"8,849",HIV diagnoses,2018
VT,Orleans County,"Orleans County, VT",50019,0,0,"23,287",HIV diagnoses,2018
NY,Orleans County,"Orleans County, NY",36073,0,0,"35,151",HIV diagnoses,2018
LA,Orleans Parish,"Orleans Parish, LA",22071,174,52.2,"333,350",HIV diagnoses,2018
OK,Osage County,"Osage County, OK",40113,0,0,"39,942",HIV diagnoses,2018
MO,Osage County,"Osage County, MO",29151,0,0,"11,483",HIV diagnoses,2018
KS,Osage County,"Osage County, KS",20139,0,0,"13,382",HIV diagnoses,2018
KS,Osborne County,"Osborne County, KS",20141,0,0,"2,964",HIV diagnoses,2018
FL,Osceola County,"Osceola County, FL",12097,92,30.2,"304,447",HIV diagnoses,2018
MI,Osceola County,"Osceola County, MI",26133,0,0,"19,800",HIV diagnoses,2018
IA,Osceola County,"Osceola County, IA",19143,0,0,"5,021",HIV diagnoses,2018
MI,Oscoda County,"Oscoda County, MI",26135,0,0,"7,123",HIV diagnoses,2018
NY,Oswego County,"Oswego County, NY",36075,5,5,"100,484",HIV diagnoses,2018
CO,Otero County,"Otero County, CO",8089,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NM,Otero County,"Otero County, NM",35035,0,0,"55,293",HIV diagnoses,2018
NE,Otoe County,"Otoe County, NE",31131,0,0,"13,232",HIV diagnoses,2018
NY,Otsego County,"Otsego County, NY",36077,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MI,Otsego County,"Otsego County, MI",26137,0,0,"20,998",HIV diagnoses,2018
OK,Ottawa County,"Ottawa County, OK",40115,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
