Geography,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,
"Aiken County, SC",5,7.4,10,16.3,Data suppressed,Data suppressed,Data suppressed,Data suppressed,6,8.6,10,15.5,6,8.5,8,12.3,9,12.7,18,27.5,5,7,16,24.3,Data suppressed,Data suppressed,Data suppressed,Data suppressed,6,8.3,15,22.4,7,9.5,13,19.3,Data suppressed,Data suppressed,Data suppressed,Data suppressed,7,9.4,17,24.8
"Aitkin County, MN",0,0,0,0,0,0,0,0,0,0,0,0,Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,0,0,0,0,0,0,0,0,0,0,Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,0,0,0,0,0,0,0,0,0,0
"Alachua County, FL",19,17.6,50,49,13,12,53,51.6,11,9.8,36,34.7,11,9.7,50,47.9,12,10.6,37,35.3,17,14.9,29,27.6,9,7.8,56,52.6,6,5.1,50,46.3,5,4.2,35,31.8,7,5.8,43,38.7,Data suppressed,Data suppressed,Data suppressed,Data suppressed
"Alamance County, NC",6,9.4,26,44.9,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,6,8.9,13,21.9,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,5,6.7,15,22.9
"Alameda County, CA",39,6.3,192,32,45,7.1,223,36.7,33,5.1,203,33,38,5.8,177,28.4,26,3.9,205,32.3,28,4.1,186,28.8,30,4.3,180,27.3,46,6.5,215,32,49,6.8,219,32.2,23,3.2,181,26.4,28,3.9,170,24.6
"Alamosa County, CO",0,0,0,0,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,0,0,Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,0,0,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
"Albany County, NY",15,11.2,39,32,14,10.4,23,18.8,13,9.5,24,19.1,8,5.8,22,17.4,7,5.1,35,27.6,5,3.6,21,16.5,5,3.6,22,17.2,6,4.3,18,14,Data suppressed,Data suppressed,Data suppressed,Data suppressed,5,3.6,30,23.4,8,5.8,18,14
"Albany County, WY",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,0,0,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,0,0,Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,0,0,Data suppressed,Data suppressed,Data suppressed,Data suppressed
"Albemarle County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,9,21.9,Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,5,11.8,Data suppressed,Data suppressed,Data suppressed,Data suppressed,0,0,0,0,Data suppressed,Data suppressed,Data suppressed,Data suppressed
"Alcona County, MI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
