,Geography,Avg_Cases_Before,Avg_Rate_Before,Avg_Cases_After,Avg_Rate_After,Difference_Cases,Difference_Rates
38,Whitley County IN,0.0,0.0,0.0,0.0,0.0,0.0
39,White Pine County NV,0.0,0.0,0.0,0.0,0.0,0.0
40,White County IN,0.0,0.0,0.0,0.0,0.0,0.0
41,White County IL,0.0,0.0,0.0,0.0,0.0,0.0
42,Wheeler County TX,0.0,0.0,0.0,0.0,0.0,0.0
43,Wheeler County OR,0.0,0.0,0.0,0.0,0.0,0.0
44,Wheeler County NE,0.0,0.0,0.0,0.0,0.0,0.0
45,Wheeler County GA,0.0,0.0,0.0,0.0,0.0,0.0
46,Wheatland County MT,0.0,0.0,0.0,0.0,0.0,0.0
47,Wetzel County WV,0.0,0.0,0.0,0.0,0.0,0.0
48,Weston County WY,0.0,0.0,0.0,0.0,0.0,0.0
49,Wells County ND,0.0,0.0,0.0,0.0,0.0,0.0
50,Wells County IN,0.0,0.0,0.0,0.0,0.0,0.0
51,Webster County WV,0.0,0.0,0.0,0.0,0.0,0.0
52,Webster County NE,0.0,0.0,0.0,0.0,0.0,0.0
53,Webster County IA,0.0,0.0,0.0,0.0,0.0,0.0
54,Weakley County TN,0.0,0.0,0.0,0.0,0.0,0.0
55,Waynesboro City VA,0.0,0.0,0.0,0.0,0.0,0.0
56,Wayne County WV,0.0,0.0,0.0,0.0,0.0,0.0
57,Wayne County UT,0.0,0.0,0.0,0.0,0.0,0.0
58,Wayne County TN,0.0,0.0,0.0,0.0,0.0,0.0
59,Wayne County NE,0.0,0.0,0.0,0.0,0.0,0.0
60,Wayne County MS,0.0,0.0,2.0,9.9,-2.0,-9.9
61,Wayne County MO,0.0,0.0,0.0,0.0,0.0,0.0
62,Wayne County IL,0.0,0.0,0.0,0.0,0.0,0.0
63,Wayne County IA,0.0,0.0,0.0,0.0,0.0,0.0
64,Waushara County WI,0.0,0.0,0.0,0.0,0.0,0.0
65,Waupaca County WI,0.0,0.0,0.0,0.0,0.0,0.0
66,Watonwan County MN,0.0,0.0,0.0,0.0,0.0,0.0
67,Washita County OK,0.0,0.0,0.0,0.0,0.0,0.0
68,Washington County OK,0.0,0.0,,,,
69,Washington County ME,0.0,0.0,0.0,0.0,0.0,0.0
70,Washington County KS,0.0,0.0,0.0,0.0,0.0,0.0
71,Washington County IN,0.0,0.0,0.0,0.0,0.0,0.0
72,Washington County ID,0.0,0.0,0.0,0.0,0.0,0.0
73,Washington County CO,0.0,0.0,0.0,0.0,0.0,0.0
74,Washington County AL,0.0,0.0,0.0,0.0,0.0,0.0
75,Washakie County WY,0.0,0.0,0.0,0.0,0.0,0.0
76,Waseca County MN,0.0,0.0,0.0,0.0,0.0,0.0
77,Wasco County OR,0.0,0.0,0.0,0.0,0.0,0.0
78,Wasatch County UT,0.0,0.0,0.0,0.0,0.0,0.0
79,Warrick County IN,0.0,0.0,,,,
80,Warren County IN,0.0,0.0,0.0,0.0,0.0,0.0
81,Warren County IA,0.0,0.0,0.0,0.0,0.0,0.0
82,Warren County GA,0.0,0.0,0.0,0.0,0.0,0.0
83,Ward County TX,0.0,0.0,0.0,0.0,0.0,0.0
84,Walworth County SD,0.0,0.0,0.0,0.0,0.0,0.0
85,Walthall County MS,0.0,0.0,0.0,0.0,0.0,0.0
86,Walsh County ND,0.0,0.0,0.0,0.0,0.0,0.0
87,Wallowa County OR,0.0,0.0,0.0,0.0,0.0,0.0
88,Wallace County KS,0.0,0.0,0.0,0.0,0.0,0.0
89,Walla Walla County WA,0.0,0.0,0.0,0.0,0.0,0.0
90,Waldo County ME,0.0,0.0,0.0,0.0,0.0,0.0
91,Wahkiakum County WA,0.0,0.0,0.0,0.0,0.0,0.0
92,Wadena County MN,0.0,0.0,0.0,0.0,0.0,0.0
93,Wabaunsee County KS,0.0,0.0,0.0,0.0,0.0,0.0
94,Wabasha County MN,0.0,0.0,0.0,0.0,0.0,0.0
95,Wabash County IL,0.0,0.0,0.0,0.0,0.0,0.0
96,Vernon County WI,0.0,0.0,0.0,0.0,0.0,0.0
97,Vernon County MO,0.0,0.0,0.0,0.0,0.0,0.0
98,Venango County PA,0.0,0.0,0.0,0.0,0.0,0.0
99,Van Wert County OH,0.0,0.0,0.0,0.0,0.0,0.0
100,Van Buren County TN,0.0,0.0,0.0,0.0,0.0,0.0
101,Van Buren County IA,0.0,0.0,0.0,0.0,0.0,0.0
102,Van Buren County AR,0.0,0.0,0.0,0.0,0.0,0.0
103,Valley County NE,0.0,0.0,0.0,0.0,0.0,0.0
104,Valley County MT,0.0,0.0,0.0,0.0,0.0,0.0
105,Upton County TX,0.0,0.0,0.0,0.0,0.0,0.0
106,Upshur County WV,0.0,0.0,0.0,0.0,0.0,0.0
107,Union County TN,0.0,0.0,0.0,0.0,0.0,0.0
108,Union County SD,0.0,0.0,0.0,0.0,0.0,0.0
109,Union County PA,0.0,0.0,,,,
110,Union County OR,0.0,0.0,0.0,0.0,0.0,0.0
111,Union County NM,0.0,0.0,0.0,0.0,0.0,0.0
112,Union County MS,0.0,0.0,0.0,0.0,0.0,0.0
113,Union County IN,0.0,0.0,0.0,0.0,0.0,0.0
114,Union County IL,0.0,0.0,0.0,0.0,0.0,0.0
115,Union County IA,0.0,0.0,0.0,0.0,0.0,0.0
116,Union County GA,0.0,0.0,0.0,0.0,0.0,0.0
117,Tyrrell County NC,0.0,0.0,0.0,0.0,0.0,0.0
118,Tyler County WV,0.0,0.0,0.0,0.0,0.0,0.0
119,Twin Falls County ID,0.0,0.0,2.0,3.8,-2.0,-3.8
120,Twiggs County GA,0.0,0.0,0.0,0.0,0.0,0.0
121,Tuscola County MI,0.0,0.0,0.0,0.0,0.0,0.0
122,Turner County SD,0.0,0.0,0.0,0.0,0.0,0.0
123,Tucker County WV,0.0,0.0,0.0,0.0,0.0,0.0
124,Trousdale County TN,0.0,0.0,0.0,0.0,0.0,0.0
125,Tripp County SD,0.0,0.0,0.0,0.0,0.0,0.0
126,Trinity County CA,0.0,0.0,0.0,0.0,0.0,0.0
127,Treutlen County GA,0.0,0.0,0.0,0.0,0.0,0.0
128,Trempealeau County WI,0.0,0.0,0.0,0.0,0.0,0.0
129,Trego County KS,0.0,0.0,0.0,0.0,0.0,0.0
130,Treasure County MT,0.0,0.0,0.0,0.0,0.0,0.0
131,Traverse County MN,0.0,0.0,0.0,0.0,0.0,0.0
132,Traill County ND,0.0,0.0,0.0,0.0,0.0,0.0
133,Towns County GA,0.0,0.0,0.0,0.0,0.0,0.0
134,Towner County ND,0.0,0.0,0.0,0.0,0.0,0.0
135,Toole County MT,0.0,0.0,0.0,0.0,0.0,0.0
136,Todd County SD,0.0,0.0,0.0,0.0,0.0,0.0
137,Todd County MN,0.0,0.0,0.0,0.0,0.0,0.0
138,Tishomingo County MS,0.0,0.0,0.0,0.0,0.0,0.0
139,Tipton County IN,0.0,0.0,0.0,0.0,0.0,0.0
140,Tioga County PA,0.0,0.0,0.0,0.0,0.0,0.0
141,Tillman County OK,0.0,0.0,0.0,0.0,0.0,0.0
142,Tillamook County OR,0.0,0.0,0.0,0.0,0.0,0.0
143,Thurston County NE,0.0,0.0,0.0,0.0,0.0,0.0
144,Throckmorton County TX,0.0,0.0,0.0,0.0,0.0,0.0
145,Thomas County NE,0.0,0.0,0.0,0.0,0.0,0.0
146,Thomas County KS,0.0,0.0,0.0,0.0,0.0,0.0
147,Thayer County NE,0.0,0.0,0.0,0.0,0.0,0.0
148,Teton County WY,0.0,0.0,0.0,0.0,0.0,0.0
149,Teton County MT,0.0,0.0,0.0,0.0,0.0,0.0
150,Teton County ID,0.0,0.0,0.0,0.0,0.0,0.0
151,Terry County TX,0.0,0.0,0.0,0.0,0.0,0.0
152,Terrell County TX,0.0,0.0,0.0,0.0,0.0,0.0
153,Terrell County GA,0.0,0.0,,,,
154,Tensas Parish LA,0.0,0.0,0.0,0.0,0.0,0.0
155,Teller County CO,0.0,0.0,0.0,0.0,0.0,0.0
156,Taylor County WV,0.0,0.0,0.0,0.0,0.0,0.0
157,Taylor County WI,0.0,0.0,0.0,0.0,0.0,0.0
158,Taylor County IA,0.0,0.0,0.0,0.0,0.0,0.0
159,Tattnall County GA,0.0,0.0,8.0,36.8,-8.0,-36.8
160,Tama County IA,0.0,0.0,0.0,0.0,0.0,0.0
161,Tallahatchie County MS,0.0,0.0,,,,
162,Switzerland County IN,0.0,0.0,0.0,0.0,0.0,0.0
163,Swisher County TX,0.0,0.0,0.0,0.0,0.0,0.0
