"Date Printed: Sunday, February 9, 2020 10:58:08 PM"
Title: Uninsured | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming

NA - Not applicable


Geography,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
,Numerator,Percent,Numerator,Percent,Numerator,Percent,Numerator,Percent,Numerator,Percent,Numerator,Percent,Numerator,Percent,Numerator,Percent
"Oklahoma","693,545","18.7","685,076","18.4","665,773","17.7","583,512","15.4","532,509","13.9","529,658","13.8","545,483","14.2","548,316","14.2"
"Oregon","602,377","15.7","576,009","14.9","570,882","14.7","382,661","9.7","280,263","7.0","252,766","6.2","280,816","6.8","293,107","7.1"
"Pennsylvania","1,264,548","10.1","1,224,649","9.8","1,222,405","9.7","1,064,577","8.5","801,927","6.4","708,477","5.6","692,203","5.5","699,376","5.5"
"Rhode Island","111,834","10.8","114,865","11.1","120,460","11.6","77,119","7.4","59,410","5.7","44,966","4.3","48,190","4.6","42,481","4.1"
"South Carolina","766,304","16.7","778,181","16.8","738,852","15.8","641,557","13.6","523,228","10.9","485,906","10.0","541,533","11.0","522,459","10.5"
"South Dakota","95,908","11.9","94,133","11.5","93,326","11.3","81,931","9.8","85,915","10.2","74,218","8.7","77,338","9.1","84,707","9.8"
"Tennessee","922,650","14.6","882,120","13.9","886,662","13.9","776,319","12.0","667,417","10.3","592,310","9.0","629,142","9.5","674,865","10.1"
"Texas","5,789,846","23.0","5,762,358","22.5","5,748,167","22.1","5,047,477","19.1","4,615,225","17.1","4,545,380","16.6","4,816,968","17.3","5,002,893","17.7"
"Utah","426,064","15.3","409,171","14.5","402,124","14.0","365,523","12.5","311,341","10.5","264,807","8.8","281,753","9.2","295,364","9.4"
"Vermont","41,209","6.6","40,053","6.5","44,904","7.2","30,716","5.0","23,676","3.8","22,994","3.7","28,111","4.6","24,988","4.0"
"Virginia","982,861","12.5","999,735","12.5","990,626","12.3","883,636","10.9","746,293","9.1","714,884","8.7","729,179","8.8","731,469","8.8"
"Washington","952,630","14.2","944,771","13.9","959,991","14.0","642,654","9.2","467,967","6.6","428,092","6.0","446,106","6.1","477,284","6.4"
"West Virginia","272,287","14.9","263,809","14.4","255,069","14.0","156,090","8.6","108,082","6.0","95,882","5.3","108,889","6.1","114,106","6.4"
"Wisconsin","506,674","9.0","505,998","9.0","517,796","9.1","417,723","7.3","322,616","5.7","300,206","5.3","309,404","5.4","313,158","5.5"
"Wyoming","85,831","15.4","87,084","15.4","77,028","13.4","68,748","12.0","66,494","11.5","66,513","11.5","69,715","12.3","59,337","10.5"
