Geography,Avg_Cases_Before,Avg_Rate_Before,Avg_Cases_After,Avg_Rate_After
"Wayne County, IA",0.0,0.0,0.0,0.0
"Waushara County, WI",0.0,0.0,0.0,0.0
"Waupaca County, WI",0.0,0.0,0.0,0.0
"Watonwan County, MN",0.0,0.0,0.0,0.0
"Washita County, OK",0.0,0.0,0.0,0.0
"Washington County, OK",0.0,0.0,,
"Washington County, ME",0.0,0.0,0.0,0.0
"Washington County, KS",0.0,0.0,0.0,0.0
"Washington County, IN",0.0,0.0,0.0,0.0
"Washington County, ID",0.0,0.0,0.0,0.0
"Washington County, CO",0.0,0.0,0.0,0.0
"Washington County, AL",0.0,0.0,0.0,0.0
"Washakie County, WY",0.0,0.0,0.0,0.0
"Waseca County, MN",0.0,0.0,0.0,0.0
"Wasco County, OR",0.0,0.0,0.0,0.0
"Wasatch County, UT",0.0,0.0,0.0,0.0
"Warrick County, IN",0.0,0.0,,
"Warren County, IN",0.0,0.0,0.0,0.0
"Warren County, IA",0.0,0.0,0.0,0.0
"Warren County, GA",0.0,0.0,0.0,0.0
"Ward County, TX",0.0,0.0,0.0,0.0
"Walworth County, SD",0.0,0.0,0.0,0.0
"Walthall County, MS",0.0,0.0,0.0,0.0
"Walsh County, ND",0.0,0.0,0.0,0.0
"Wallowa County, OR",0.0,0.0,0.0,0.0
"Wallace County, KS",0.0,0.0,0.0,0.0
"Walla Walla County, WA",0.0,0.0,0.0,0.0
"Waldo County, ME",0.0,0.0,0.0,0.0
"Wahkiakum County, WA",0.0,0.0,0.0,0.0
"Wadena County, MN",0.0,0.0,0.0,0.0
"Wabaunsee County, KS",0.0,0.0,0.0,0.0
"Wabasha County, MN",0.0,0.0,0.0,0.0
"Wabash County, IL",0.0,0.0,0.0,0.0
"Vernon County, WI",0.0,0.0,0.0,0.0
"Vernon County, MO",0.0,0.0,0.0,0.0
"Venango County, PA",0.0,0.0,0.0,0.0
"Van Wert County, OH",0.0,0.0,0.0,0.0
"Van Buren County, TN",0.0,0.0,0.0,0.0
"Van Buren County, IA",0.0,0.0,0.0,0.0
"Van Buren County, AR",0.0,0.0,0.0,0.0
"Valley County, NE",0.0,0.0,0.0,0.0
"Valley County, MT",0.0,0.0,0.0,0.0
"Upton County, TX",0.0,0.0,0.0,0.0
"Upshur County, WV",0.0,0.0,0.0,0.0
"Union County, TN",0.0,0.0,0.0,0.0
"Union County, SD",0.0,0.0,0.0,0.0
"Union County, PA",0.0,0.0,,
"Union County, OR",0.0,0.0,0.0,0.0
"Union County, NM",0.0,0.0,0.0,0.0
"Union County, MS",0.0,0.0,0.0,0.0
"Union County, IN",0.0,0.0,0.0,0.0
"Union County, IL",0.0,0.0,0.0,0.0
"Union County, IA",0.0,0.0,0.0,0.0
"Union County, GA",0.0,0.0,0.0,0.0
"Tyrrell County, NC",0.0,0.0,0.0,0.0
"Tyler County, WV",0.0,0.0,0.0,0.0
"Twin Falls County, ID",0.0,0.0,2.5,3.75
"Twiggs County, GA",0.0,0.0,0.0,0.0
"Tuscola County, MI",0.0,0.0,0.0,0.0
"Turner County, SD",0.0,0.0,0.0,0.0
"Tucker County, WV",0.0,0.0,0.0,0.0
"Trousdale County, TN",0.0,0.0,0.0,0.0
"Tripp County, SD",0.0,0.0,0.0,0.0
"Trinity County, CA",0.0,0.0,0.0,0.0
"Treutlen County, GA",0.0,0.0,0.0,0.0
"Trempealeau County, WI",0.0,0.0,0.0,0.0
"Trego County, KS",0.0,0.0,0.0,0.0
"Treasure County, MT",0.0,0.0,0.0,0.0
"Traverse County, MN",0.0,0.0,0.0,0.0
"Traill County, ND",0.0,0.0,0.0,0.0
"Towns County, GA",0.0,0.0,0.0,0.0
"Towner County, ND",0.0,0.0,0.0,0.0
"Toole County, MT",0.0,0.0,0.0,0.0
"Todd County, SD",0.0,0.0,0.0,0.0
"Todd County, MN",0.0,0.0,0.0,0.0
"Tishomingo County, MS",0.0,0.0,0.0,0.0
"Tipton County, IN",0.0,0.0,0.0,0.0
"Tioga County, PA",0.0,0.0,0.0,0.0
"Tillman County, OK",0.0,0.0,0.0,0.0
"Tillamook County, OR",0.0,0.0,0.0,0.0
"Thurston County, NE",0.0,0.0,0.0,0.0
"Throckmorton County, TX",0.0,0.0,0.0,0.0
"Thomas County, NE",0.0,0.0,0.0,0.0
"Thomas County, KS",0.0,0.0,0.0,0.0
"Thayer County, NE",0.0,0.0,0.0,0.0
"Teton County, WY",0.0,0.0,0.0,0.0
"Teton County, MT",0.0,0.0,0.0,0.0
"Teton County, ID",0.0,0.0,0.0,0.0
"Terry County, TX",0.0,0.0,0.0,0.0
"Terrell County, TX",0.0,0.0,0.0,0.0
"Terrell County, GA",0.0,0.0,,
"Tensas Parish, LA",0.0,0.0,0.0,0.0
"Teller County, CO",0.0,0.0,0.0,0.0
