Full Name,Diag 08,Diag Rate 08,Diag 09,Diag Rate 09,Diag 10,Diag Rate 10,Diag 11,Diag Rate 11,Diag 12,Diag Rate 12,Diag 13,Diag Rate 13,Diag 14,Diag Rate 14,Diag 15,Diag Rate 15,Diag 16,Diag Rate 16,Diag 17,Diag Rate 17,Diag 18,Diag Rate 18
Guadalupe County NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grundy County MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Grundy County IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
Griggs County ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gregory County SD,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Greenwood County KS,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenlee County AZ,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
Greene County AR,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Green Lake County WI,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
Greeley County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greeley County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
Grayson County VA,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0
Grays Harbor County WA,6,10,0,0,5,8.1,,,7,11.5,,,,,,,,,,,0,0
Gray County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gratiot County MI,0,0,0,0,0,0,,,,,0,0,,,0,0,0,0,0,0,0,0
Grant County WV,,,0,0,0,0,,,0,0,,,0,0,,,,,0,0,,
Grant County WI,,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Grant County WA,,,0,0,,,,,,,0,0,0,0,,,0,0,0,0,,
Grant County SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
Grant County OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant County OK,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0
Grant County NM,,,0,0,,,0,0,0,0,,,,,0,0,,,0,0,,
Grant County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant County ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant County MN,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Grant County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Isle County VT,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,0,0
Grand Forks County ND,,,0,0,,,0,0,,,,,,,,,,,7,11.8,6,10.1
Grand County UT,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Grand County CO,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Graham County NC,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Graham County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gove County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Gosper County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goshen County WY,0,0,0,0,,,0,0,0,0,,,,,,,,,0,0,,
Gonzales County TX,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Goliad County TX,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0
Golden Valley County ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Valley County MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gogebic County MI,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0
Glasscock County TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,
Gladwin County MI,,,0,0,0,0,0,0,0,0,,,,,0,0,,,0,0,,
Glacier County MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Gilpin County CO,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
Gilmer County WV,,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0
Gilliam County OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giles County VA,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Gibson County IN,,,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,
Gem County ID,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gates County NC,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Garrett County MD,0,0,0,0,0,0,0,0,,,,,0,0,,,0,0,,,,
Garfield County WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garfield County UT,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garfield County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Garfield County MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garden County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallatin County IL,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0
Galax City VA,0,0,0,0,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0
Gaines County TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
Gage County NE,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,0,,
Furnas County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Fulton County PA,,,0,0,,,,,0,0,,,0,0,0,0,0,0,0,0,,
Fulton County OH,,,0,0,,,0,0,,,,,0,0,0,0,,,0,0,,
Fulton County IN,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontier County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont County ID,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Fremont County IA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Freeborn County MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Franklin County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Franklin County MS,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Franklin County ME,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,,
Franklin County IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin County ID,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Franklin County IA,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,0,0,0
Foster County ND,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest County WI,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Forest County PA,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0
Ford County IL,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,0,0,0
Fluvanna County VA,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,
Floyd County VA,0,0,0,0,0,0,,,0,0,0,0,,,,,,,0,0,,
Florence County WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fisher County TX,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finney County KS,,,0,0,,,0,0,,,,,0,0,,,0,0,0,0,,
Fillmore County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Ferry County WA,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Fergus County MT,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Fentress County TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
Fayette County TX,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,
Fayette County OH,,,0,0,0,0,0,0,,,0,0,,,,,0,0,,,,
Fayette County IL,5,28.3,0,0,,,,,5,26.7,,,,,0,0,,,,,0,0
Fayette County AL,,,0,0,,,0,0,,,0,0,,,,,,,0,0,,
Faulk County SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faribault County MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falls Church City VA,5,52.6,0,0,,,0,0,0,0,,,,,0,0,,,,,,
Fallon County MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fall River County SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evans County GA,,,0,0,,,0,0,,,,,,,,,,,0,0,,
Eureka County NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esmeralda County NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erath County TX,0,0,0,0,0,0,,,0,0,,,,,,,,,0,0,,
Emmons County ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmet County MI,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Emmet County IA,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0
Emery County UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Elmore County ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
Ellsworth County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellis County OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellis County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
Elk County PA,,,0,0,,,0,0,0,0,0,0,0,0,,,0,0,,,,
Elk County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edwards County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Edwards County IL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edmunds County SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgefield County SC,6,27.5,0,0,,,,,,,6,26,,,6,25.7,5,21.5,,,,
Eddy County ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastland County TX,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,
Dunn County ND,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
Dundy County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dukes County MA,,,0,0,,,0,0,0,0,0,0,5,33.2,,,,,0,0,,
Duchesne County UT,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0
Dubois County IN,0,0,0,0,0,0,,,,,0,0,,,,,0,0,0,0,0,0
Douglas County WI,,,0,0,0,0,,,,,,,0,0,0,0,,,,,,
Douglas County WA,0,0,0,0,,,,,0,0,,,0,0,,,0,0,,,,
Douglas County SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas County IL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Door County WI,0,0,0,0,,,0,0,,,,,0,0,0,0,0,0,,,,
Doniphan County KS,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
Dolores County CO,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Dodge County MN,0,0,0,0,,,,,0,0,,,0,0,0,0,0,0,,,0,0
Doddridge County WV,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,
Dixon County NE,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divide County ND,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Dimmit County TX,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Dickinson County MI,0,0,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0
Dickinson County IA,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Dickey County ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewey County SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewey County OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
Deuel County SD,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Deuel County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desha County AR,,,0,0,0,0,,,0,0,,,,,,,,,,,,
Dent County MO,0,0,0,0,,,0,0,,,0,0,0,0,0,0,,,,,0,0
Delta County TX,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta County MI,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0
Delaware County OK,,,0,0,0,0,,,,,0,0,,,,,0,0,,,,
Delaware County NY,,,0,0,,,,,,,,,0,0,,,,,,,0,0
Delaware County IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Deer Lodge County MT,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Decatur County TN,0,0,0,0,,,0,0,,,0,0,,,0,0,,,,,0,0
Decatur County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decatur County IA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Witt County IL,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
De Baca County NM,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Day County SD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawson County MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Dawes County NE,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Davison County SD,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,
Davis County IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davie County NC,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,
Daniels County MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas County MO,,,0,0,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0
Dallas County AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Dallam County TX,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
Daggett County UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dade County MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Custer County SD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Custer County OK,,,0,0,0,0,,,,,,,,,0,0,,,,,,
Custer County MT,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,0,0
Custer County ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Custer County CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curry County OR,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0
Currituck County NC,,,0,0,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0
Cuming County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland County VA,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,
Cumberland County IL,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0
Culberson County TX,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Crow Wing County MN,0,0,0,0,,,0,0,,,,,,,,,0,0,,,,
Cross County AR,,,0,0,,,,,,,0,0,,,,,,,0,0,0,0
Crosby County TX,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
Crook County WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crook County OR,0,0,0,0,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0
Crockett County TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crockett County TN,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
Crenshaw County AL,0,0,0,0,,,,,,,0,0,,,,,,,,,0,0
Crawford County WI,,,0,0,0,0,,,0,0,0,0,0,0,,,,,0,0,0,0
Crawford County MI,0,0,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0
Crawford County IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Crawford County IA,0,0,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,
Crane County TX,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0
Craig County VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cottonwood County MN,0,0,0,0,0,0,0,0,,,,,0,0,,,,,0,0,0,0
Cotton County OK,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cottle County TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costilla County CO,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0
Coosa County AL,,,0,0,,,,,,,0,0,,,,,,,0,0,,
Coos County OR,0,0,0,0,,,,,,,0,0,0,0,,,,,,,7,12.5
Coos County NH,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Cooke County TX,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,
Cook County MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
Conecuh County AL,,,0,0,,,,,,,,,,,,,5,47.1,,,,
Concho County TX,0,0,0,0,,,,,,,5,133.7,,,,,0,0,0,0,0,0
Comanche County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colusa County CA,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,,,
Columbia County WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Colonial Heights City VA,,,0,0,,,,,0,0,,,,,6,40.8,0,0,,,,
Collingsworth County TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax County NM,0,0,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0
Colfax County NE,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
Coles County IL,0,0,0,0,,,0,0,,,0,0,,,6,13.2,,,,,5,11.3
Coleman County TX,0,0,0,0,,,0,0,0,0,0,0,,,,,0,0,,,0,0
Coke County TX,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
Coffey County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
Codington County SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cochran County TX,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Coal County OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloud County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Clinton County PA,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
Cleburne County AL,0,0,0,0,,,0,0,0,0,,,,,,,0,0,0,0,0,0
Clearwater County MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
Clear Creek County CO,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,,,,
Clayton County IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,
Clay County WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Clay County TX,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Clay County TN,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0
Clay County SD,,,0,0,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0
Clay County NE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Clay County MN,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,
Clay County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay County IL,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0
Clay County IA,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay County AR,,,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,
Clatsop County OR,,,0,0,,,0,0,,,0,0,0,0,,,,,,,,
Clarke County VA,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
Clark County WI,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Clark County SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Clark County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark County IL,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark County ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark County AR,6,29.5,0,0,,,,,0,0,,,,,0,0,,,0,0,,
Clare County MI,,,0,0,,,,,0,0,,,0,0,0,0,0,0,0,0,,
Cimarron County OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian County MO,,,0,0,6,9.6,,,,,,,,,0,0,0,0,,,,
Chowan County NC,,,0,0,,,0,0,,,,,,,,,,,0,0,0,0
Chouteau County MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chippewa County MI,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Childress County TX,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,,,0,0
Chickasaw County IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheyenne County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheyenne County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheyenne County CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chester County TN,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,
Cherry County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherokee County OK,,,0,0,,,,,,,,,,,,,,,,,0,0
Cherokee County IA,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chenango County NY,0,0,0,0,0,0,,,,,,,0,0,,,,,0,0,0,0
Chautauqua County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlton County GA,,,0,0,0,0,0,0,0,0,,,,,,,,,7,63.5,11,98.7
Charlotte County VA,0,0,0,0,,,0,0,0,0,,,,,0,0,,,0,0,0,0
Charlevoix County MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
Chariton County MO,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Champaign County OH,0,0,0,0,,,,,,,,,,,,,0,0,,,,
Cerro Gordo County IA,,,0,0,,,,,,,,,0,0,,,,,,,,
Cedar County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar County MO,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Cedar County IA,0,0,0,0,,,,,0,0,,,,,0,0,0,0,0,0,0,0
Cavalier County ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catron County NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castro County TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Cassia County ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Cass County IL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Cass County IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
Cascade County MT,,,0,0,,,,,0,0,,,0,0,0,0,,,,,,
Carter County OK,,,0,0,,,,,,,,,,,,,,,,,,
Carter County MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter County MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carson County TX,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll County VA,0,0,0,0,0,0,0,0,,,0,0,,,,,0,0,0,0,0,0
Carroll County TN,,,0,0,,,5,20.8,,,,,,,,,,,,,0,0
Carroll County NH,0,0,0,0,,,,,,,0,0,,,0,0,,,,,,
Carroll County MO,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Carroll County IN,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0
Carroll County IL,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
Carroll County IA,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,
Caribou County ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Girardeau County MO,,,0,0,,,6,9.3,,,,,,,,,,,,,,
Campbell County WY,0,0,0,0,,,,,,,,,,,,,0,0,,,,
Campbell County TN,,,0,0,0,0,,,,,,,0,0,,,,,0,0,,
Campbell County SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Parish LA,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Cameron County PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camden County MO,,,0,0,0,0,,,0,0,0,0,,,0,0,,,,,,
Camas County ID,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun County WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
