Geography,M2F Diag 08,ID Diag 08,M2M Diag 08,M2MID Diag 08,O Diag 08,M2F Diag 09,ID Diag 09,M2M Diag 09,M2MID Diag 09,O Diag 09,M2F Diag 10,ID Diag 10,M2M Diag 10,M2MID Diag 10,O Diag 10,M2F Diag 11,ID Diag 11,M2M Diag 11,M2MID Diag 11,O Diag 11,M2F Diag 12,ID Diag 12,M2M Diag 12,M2MID Diag 12,O Diag 12,M2F Diag 13,ID Diag 13,M2M Diag 13,M2MID Diag 13,O Diag 13,M2F Diag 14,ID Diag 14,M2M Diag 14,M2MID Diag 14,O Diag 14,M2F Diag 15,ID Diag 15,M2M Diag 15,M2MID Diag 15,O Diag 15,M2F Diag 16,ID Diag 16,M2M Diag 16,M2MID Diag 16,O Diag 16,M2F Diag 17,ID Diag 17,M2M Diag 17,M2MID Diag 17,O Diag 17,M2F Diag 18,ID Diag 18,M2M Diag 18,M2MID Diag 18,O Diag 18
Chesapeake City VA,11,,30,,0,8,,14,,0,12,,26,,0,7,,21,,0,7,0,16,0,0,10,0,38,0,0,,0,23,,0,5,,13,,0,7,0,24,0,0,5,,13,,0,,,23,,0
Cheshire County NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chester County PA,9,,18,,0,10,,11,,0,7,,11,,0,11,,15,,0,15,,13,,0,10,,7,,0,5,,13,,0,6,,6,,0,6,,16,,0,,0,11,,0,5,0,7,0,0
Chester County SC,,,,,,,,,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,0,5,,0,,0,9,,0,,0,,0,0,,,,,
Chester County TN,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Chesterfield County SC,,,,0,0,,,,,,,,,,,6,0,0,0,0,,0,5,,0,,,,0,0,,,,,,,0,,0,0,,0,,0,0,,,,,,,,,,
Chesterfield County VA,14,,21,,0,13,,22,,0,,,19,,0,7,,22,,0,7,,25,,0,,,13,0,,5,,21,,0,7,,21,,0,9,,26,,0,,,,,,,,29,0,0
Cheyenne County CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheyenne County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheyenne County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chickasaw County IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chickasaw County MS,,,,,,,,,,,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
Chicot County AR,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0
Childress County TX,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0
Chilton County AL,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,0,,0,0,,,,,
Chippewa County MI,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chippewa County MN,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0
Chippewa County WI,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chisago County MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Chittenden County VT,0,,,,0,,,,,,,,6,,0,,,,,,,,,,,,,,,,,0,,,0,0,0,,,0,,,,,,,,,,0,,0,5,,0
Choctaw County AL,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0
Choctaw County MS,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0
Choctaw County OK,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chouteau County MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chowan County NC,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
Christian County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian County KY,,,,,,,,,0,0,0,0,6,0,0,,0,5,,0,,,6,0,0,,,,0,0,0,0,8,0,0,,0,5,,0,,0,12,,0,,0,10,,0,0,0,0,0,0
Christian County MO,,,,,,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Churchill County NV,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0
Cibola County NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,,,0,,0,,,0,0,0,0,0,0,,,,,
Cimarron County OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrus County FL,,,5,0,0,,,,,,,0,,,0,,,,,,,,,,0,,,,0,0,,0,,0,0,,0,5,,0,5,,,0,0,,,,0,0,,,6,,0
Clackamas County OR,,,11,0,0,,,16,,0,,,18,,0,,,14,0,0,,0,17,,0,,,15,,0,,0,6,,0,,,11,,0,,,14,0,0,,0,9,,0,,,9,0,0
Claiborne County MS,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,
Claiborne County TN,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claiborne Parish LA,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Clallam County WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
Clare County MI,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Clarendon County SC,,,,,0,,0,,0,0,,0,,0,0,5,,,0,0,5,0,,,0,,,7,0,0,,0,6,,0,,,5,0,0,,,,,,,0,,0,0,,,,,
Clarion County PA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,
Clark County AR,,0,,,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,
Clark County ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark County IN,,,7,,0,,,5,0,0,,,9,0,0,0,0,8,0,0,,0,11,,0,,,9,,0,,0,11,,0,,,9,,0,,,8,0,0,,,11,0,0,,,8,,0
Clark County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark County MO,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark County NV,60,24,241,,,47,20,235,18,0,58,19,244,23,0,48,21,262,,,44,17,241,24,0,60,16,274,,,58,16,281,,,65,20,319,,,72,27,333,24,0,52,27,331,32,0,68,20,342,,
Clark County OH,,,6,0,0,,0,8,,0,0,0,5,0,0,,0,,,0,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,7,,0
Clark County SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark County WA,,0,14,,0,,,13,,0,,,24,,0,,,16,,,,,18,,0,,,18,,0,,,11,,0,,,13,,0,,0,14,,0,,,19,,,0,,17,,0
Clark County WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Clarke County AL,,,,,,,,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0
Clarke County GA,11,5,15,0,0,11,,16,,,11,,12,,0,5,0,12,0,0,,,15,0,0,7,,10,,0,7,,9,,0,12,,20,,0,7,,14,,0,7,,15,,0,7,,20,,0
Clarke County IA,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0
Clarke County MS,,,,,,,0,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,
Clarke County VA,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0
Clatsop County OR,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Clay County AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay County AR,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,
Clay County FL,11,,8,,0,12,,7,,0,8,,8,,0,7,,8,,0,8,0,13,0,0,,,,0,0,6,,10,,0,7,,6,0,,11,0,8,0,0,5,,5,,0,10,0,17,0,0
Clay County GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0
Clay County IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay County IN,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
Clay County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay County MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Clay County MO,,0,10,,0,,0,8,,0,0,0,18,0,0,,,12,,0,,0,16,,0,,0,11,,0,,,8,,0,,0,11,,0,,,12,,0,,0,10,,0,7,,12,,0
Clay County MS,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,7,0,0,,,,,,,,,,,,,,,
Clay County NC,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay County NE,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Clay County SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay County TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay County TX,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Clay County WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Clayton County GA,61,14,135,5,0,53,10,105,5,0,46,,99,,0,50,12,126,6,0,35,,128,,0,33,,90,,0,35,,73,,0,39,,92,,0,24,,63,,0,36,,101,,0,47,,70,,0
Clayton County IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,
Clear Creek County CO,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Clearfield County PA,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0,0,0,,,0,,0,0,0,0,0,0
Clearwater County ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearwater County MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0
Cleburne County AL,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleburne County AR,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0
Clermont County OH,,,,,,,0,,,0,,,,,,,,6,0,0,,0,7,,0,,,5,0,0,,0,9,,0,,,,,,,,5,0,0,,,,,,0,,11,,0
Cleveland County AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland County NC,7,,,0,0,5,,7,,0,,,7,0,0,5,0,7,0,0,,,,0,0,,,7,0,0,,0,5,,0,,0,,0,0,,0,5,,0,,0,9,,0,,0,5,,0
Cleveland County OK,7,,15,,0,10,,13,,,,,12,,0,,0,19,,0,,,13,0,0,,5,14,,0,,,11,,0,,,14,,0,6,,18,,0,,,20,5,0,,,10,,0
Clinch County GA,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0
Clinton County IA,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Clinton County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton County IN,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Clinton County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton County MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,
Clinton County MO,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Clinton County NY,,0,,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton County OH,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton County PA,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,
Cloud County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0
Coahoma County MS,6,,,0,0,,,7,,0,,0,,0,0,9,,,0,0,8,0,5,0,0,12,,5,,0,9,0,,,0,5,0,,,0,,0,,0,0,,,,0,0,,0,,0,0
Coal County OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cobb County GA,40,,117,,0,38,6,110,6,0,33,,102,,0,45,,109,,0,35,,116,,0,24,,92,,0,31,,101,,0,25,,120,,0,31,,125,,0,40,,107,,0,31,,125,,0
Cochise County AZ,,,,0,0,,,,0,0,,0,,0,0,,,6,,0,,,,0,0,0,,,,0,,,,0,0,0,,7,,0,,,,,0,,0,,,0,0,,5,,0
Cochran County TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocke County TN,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,
Coconino County AZ,,,,,,,,,,,,0,6,,,,,,,,,,,0,0,,,8,,0,0,,6,,0,,,,0,0,,,5,,0,,,13,0,0,,,10,,0
Codington County SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee County AL,5,0,,,0,,,,,,,,,,,,0,,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,6,0,0
Coffee County GA,,,,0,0,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,,,0,,,,,
Coffee County TN,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,,,,,0,0,0,0,0,,,,,,,0,,0,0,,,,,,,,,,
Coffey County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke County TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colbert County AL,,,,,,,,,,,,0,,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,0,6,,0,,,,,
Cole County MO,,0,,0,0,,,,,,,,,,,,0,5,,0,,0,,0,0,,,,,,,0,,0,0,0,0,5,0,0,,,,,,,0,,0,0,,0,5,,0
Coleman County TX,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0
Coles County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colfax County NE,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0
Colfax County NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colleton County SC,0,,6,,0,7,0,,,0,,0,,0,0,,,,0,0,,,,,,,,,,,,0,,0,0,,0,6,,0,6,0,,,0,,,,,,5,0,,,0
Collier County FL,25,,21,,,18,,24,,0,18,,25,,0,13,,24,,0,19,,14,,0,13,0,20,,,20,,12,,0,22,0,25,0,0,22,,33,,0,17,0,23,0,0,13,,20,,0
Collin County TX,19,,47,,0,19,,68,,0,21,,57,,0,11,,49,,0,18,,54,,0,17,,55,,0,19,,69,,0,19,,50,,0,21,,67,,0,13,,63,,0,18,,76,,0
Collingsworth County TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colonial Heights City VA,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,
Colorado County TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,
Colquitt County GA,,,,,,6,,,0,0,7,,,0,0,7,,,0,0,7,,5,,0,8,,5,,0,,0,,,0,,,,,,,0,,0,0,,,,0,0,,,,,
Columbia County AR,,,,,,,,,,,,,,,,,0,,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,
Columbia County FL,5,,8,,0,5,,7,,0,,,,0,0,6,,5,,0,,,5,0,,0,,5,,0,5,0,5,0,0,,,9,0,0,,,,,,5,,,0,0,5,0,,,0
Columbia County GA,,,10,0,0,6,,13,,0,,,13,0,0,6,,10,,0,7,,7,,0,5,0,9,0,0,,,7,0,0,,,5,0,0,,0,,0,0,7,0,6,0,0,6,0,7,0,0
Columbia County NY,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,5,0,0,,,,0,0,,0,,0,0,,0,,0,0,,,,,,,,,,
Columbia County OR,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
Columbia County PA,0,0,0,0,0,,,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
Columbia County WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0
Columbia County WI,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
Columbiana County OH,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,0,0,,,,,,,,,,,0,,5,,0,,,,,,,,,,
Columbus County NC,5,0,,,0,6,0,,,0,7,,,0,0,5,0,6,,,,0,,,0,,0,5,,0,,,,0,0,,0,5,,0,,,,,,,0,8,,0,,,,,
Colusa County CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comal County TX,,,,0,0,0,,6,,0,,0,6,,0,,0,,,0,0,,7,,0,,,5,,0,0,,6,,0,,,,,,0,0,7,0,0,,0,6,,0,,0,5,,0
Comanche County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comanche County OK,,,7,0,0,,0,10,,0,,0,12,,0,,,,0,0,,0,7,,0,,0,5,,0,,0,,,0,,0,12,,0,0,,8,,0,0,0,12,0,0,,0,8,,0
Comanche County TX,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concho County TX,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concordia Parish LA,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Conecuh County AL,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,
Conejos County CO,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0
Contra Costa County CA,13,6,77,7,0,17,10,75,8,0,16,5,70,6,0,13,,75,,0,12,5,68,6,0,6,,58,,0,19,,77,,0,10,,69,,0,26,,81,,0,12,5,84,8,0,13,,84,,0
Converse County WY,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0
Conway County AR,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,
Cook County GA,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
Cook County IL,336,142,830,68,8,299,111,824,49,9,277,94,811,48,5,251,69,826,50,9,222,53,919,40,12,233,45,869,37,12,196,40,835,44,5,209,37,868,42,10,216,52,788,39,10,193,33,718,18,7,189,45,700,19,9
Cook County MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
