Full Name,AI_AN Diag 08,AI_AN Diag Rate 08,Asian Diag 08,Asian Diag Rate 08,Black Diag 08,Black Diag Rate 08,Latino Diag 08,Latino Diag Rate 08,Multi Diag 08,Multi Diag Rate 08,NH_OPI Diag 08,NH_OPI Diag Rate 08,White Diag 08,White Diag Rate 08,AI_AN Diag 09,AI_AN Diag Rate 09,Asian Diag 09,Asian Diag Rate 09,Black Diag 09,Black Diag Rate 09,Latino Diag 09,Latino Diag Rate 09,Multi Diag 09,Multi Diag Rate 09,NH_OPI Diag 09,NH_OPI Diag Rate 09,White Diag 09,White Diag Rate 09,AI_AN Diag 10,AI_AN Diag Rate 10,Asian Diag 10,Asian Diag Rate 10,Black Diag 10,Black Diag Rate 10,Latino Diag 10,Latino Diag Rate 10,Multi Diag 10,Multi Diag Rate 10,NH_OPI Diag 10,NH_OPI Diag Rate 10,White Diag 10,White Diag Rate 10,AI_AN Diag 11,AI_AN Diag Rate 11,Asian Diag 11,Asian Diag Rate 11,Black Diag 11,Black Diag Rate 11,Latino Diag 11,Latino Diag Rate 11,Multi Diag 11,Multi Diag Rate 11,NH_OPI Diag 11,NH_OPI Diag Rate 11,White Diag 11,White Diag Rate 11,AI_AN Diag 12,AI_AN Diag Rate 12,Asian Diag 12,Asian Diag Rate 12,Black Diag 12,Black Diag Rate 12,Latino Diag 12,Latino Diag Rate 12,Multi Diag 12,Multi Diag Rate 12,NH_OPI Diag 12,NH_OPI Diag Rate 12,White Diag 12,White Diag Rate 12,AI_AN Diag 13,AI_AN Diag Rate 13,Asian Diag 13,Asian Diag Rate 13,Black Diag 13,Black Diag Rate 13,Latino Diag 13,Latino Diag Rate 13,Multi Diag 13,Multi Diag Rate 13,NH_OPI Diag 13,NH_OPI Diag Rate 13,White Diag 13,White Diag Rate 13,AI_AN Diag 14,AI_AN Diag Rate 14,Asian Diag 14,Asian Diag Rate 14,Black Diag 14,Black Diag Rate 14,Latino Diag 14,Latino Diag Rate 14,Multi Diag 14,Multi Diag Rate 14,NH_OPI Diag 14,NH_OPI Diag Rate 14,White Diag 14,White Diag Rate 14,AI_AN Diag 15,AI_AN Diag Rate 15,Asian Diag 15,Asian Diag Rate 15,Black Diag 15,Black Diag Rate 15,Latino Diag 15,Latino Diag Rate 15,Multi Diag 15,Multi Diag Rate 15,NH_OPI Diag 15,NH_OPI Diag Rate 15,White Diag 15,White Diag Rate 15,AI_AN Diag 16,AI_AN Diag Rate 16,Asian Diag 16,Asian Diag Rate 16,Black Diag 16,Black Diag Rate 16,Latino Diag 16,Latino Diag Rate 16,Multi Diag 16,Multi Diag Rate 16,NH_OPI Diag 16,NH_OPI Diag Rate 16,White Diag 16,White Diag Rate 16,AI_AN Diag 17,AI_AN Diag Rate 17,Asian Diag 17,Asian Diag Rate 17,Black Diag 17,Black Diag Rate 17,Latino Diag 17,Latino Diag Rate 17,Multi Diag 17,Multi Diag Rate 17,NH_OPI Diag 17,NH_OPI Diag Rate 17,White Diag 17,White Diag Rate 17,AI_AN Diag 18,AI_AN Diag Rate 18,Asian Diag 18,Asian Diag Rate 18,Black Diag 18,Black Diag Rate 18,Latino Diag 18,Latino Diag Rate 18,Multi Diag 18,Multi Diag Rate 18,NH_OPI Diag 18,NH_OPI Diag Rate 18,White Diag 18,White Diag Rate 18
Florida,6,13.2,28,8.1,2863,130.4,1202,38.7,165,120.1,4,45.4,1507,15.6,1,2.2,27,7.6,2493,112,1116,35,101,71.5,3,33,1293,13.4,4,9.7,25,6.4,2264,98.3,1090,31.6,104,60.8,0,0,1145,11.9,3,7.1,42,10.4,2161,91.5,1036,29,85,47.7,5,52.4,1238,12.8,4,9.3,32,7.7,2055,85.2,1044,28.3,70,37.8,2,20.4,1168,12,1,2.3,44,10.2,1931,78.6,1154,30.3,98,51,1,10,1067,10.9,6,13.5,37,8.3,1942,77.5,1270,32.2,88,44,4,39,1129,11.5,3,6.6,49,10.5,1947,76.2,1422,34.7,73,35.1,7,66.2,1070,10.8,8,17.3,53,10.9,1974,75.8,1513,35.5,61,28.1,3,27.4,1050,10.5,7,14.9,45,8.9,1924,72.5,1442,32.6,46,20.4,5,44.5,1094,10.8,3,6.3,55,10.4,1853,68.7,1604,35,41,17.5,7,60.8,1120,11
Georgia,0,0,15,6.8,2177,94.9,210,39.4,162,241.2,1,25.4,593,12.6,1,4.9,4,1.8,2058,88,199,35.9,140,198.6,0,0,508,10.8,0,0,17,6.5,1868,79.9,189,31,125,144.6,3,69.6,451,9.8,0,0,7,2.6,1917,80.4,195,31.6,133,147.2,3,67.5,407,8.8,3,15.9,16,5.6,1870,77,188,29.9,125,132.2,1,21.7,415,8.9,0,0,13,4.4,1647,66.7,191,30,95,96.3,0,0,392,8.4,2,10.3,19,6.1,1699,67.5,194,29.7,103,100,1,20.6,362,7.7,0,0,21,6.5,1909,74.4,195,28.9,102,95,1,20.3,396,8.4,3,14.9,23,6.7,1793,68.5,187,26.8,106,94.6,1,20.1,382,8.1,2,9.8,25,7,1834,68.8,205,28.3,67,57.4,2,39.3,429,9.1,1,4.8,23,6.2,1825,67.2,235,31.3,51,42,3,57.7,414,8.7
Hawaii,0,0,21,4.8,8,29.7,9,11.3,7,4.5,9,9.9,29,10.3,0,0,19,4.3,10,35.5,8,9.8,8,5.1,9,9.8,33,11.7,0,0,27,5.8,5,29.3,5,5.7,13,6.8,15,14.7,37,13.2,0,0,15,3.2,8,43.5,4,4.4,13,6.7,12,11.5,29,10.3,0,0,18,3.8,0,0,12,12.9,12,6.1,11,10.4,29,10.3,1,38.1,19,4.1,5,24.4,16,16.6,12,6,14,13,28,9.8,0,0,18,3.8,7,32.7,7,7.1,19,9.4,13,12,35,12.3,1,37,21,4.5,12,53.6,12,11.8,18,8.8,16,14.6,39,13.7,1,37.5,18,3.8,10,43.2,9,8.7,11,5.3,9,8.2,20,7.1,0,0,21,4.5,4,17.2,13,12.4,9,4.3,9,8.2,22,7.9,0,0,20,4.3,6,25.6,7,6.6,10,4.8,6,5.4,17,6.2
Idaho,1,6.7,1,7.4,2,29.3,8,7.4,0,0,0,0,37,3.5,0,0,0,0,0,0,4,3.5,1,6.8,0,0,43,4,2,14.2,0,0,2,30.1,3,2.5,2,11.9,0,0,35,3.2,0,0,0,0,3,42,5,4,1,5.7,0,0,26,2.4,0,0,0,0,1,13.8,5,3.9,1,5.5,0,0,30,2.7,1,6.9,0,0,3,39.1,4,3,0,0,0,0,19,1.7,0,0,0,0,0,0,3,2.2,0,0,0,0,19,1.7,0,0,3,15.7,9,105.8,8,5.6,0,0,0,0,20,1.8,1,6.6,1,4.9,6,66.6,10,6.7,2,9.2,1,43.6,24,2.1,1,6.5,0,0,4,42.2,5,3.2,2,8.7,0,0,34,2.9,2,12.7,1,4.4,3,29.9,8,4.9,0,0,0,0,23,1.9
Illinois,2,10.7,31,7,931,62.2,331,23.8,115,136.4,1,27,395,5.5,3,15.8,20,4.4,870,57.8,319,22.3,122,139.6,1,26.5,393,5.5,2,12.5,22,4.4,830,55.8,314,21,98,96.4,1,37.1,390,5.6,2,12.4,29,5.6,784,52.5,316,20.7,124,117.9,0,0,362,5.2,1,6.1,20,3.8,796,53.2,348,22.4,92,84.1,0,0,390,5.6,0,0,30,5.4,767,51.1,338,21.4,76,67,0,0,371,5.3,0,0,26,4.6,742,49.4,325,20.2,62,52.8,0,0,378,5.4,3,18.1,39,6.7,770,51.3,328,20.1,67,55.2,1,34.4,342,5,3,18.1,31,5.2,771,51.6,323,19.5,49,39.1,2,68.8,304,4.4,4,24.1,39,6.4,678,45.6,278,16.5,35,27.1,2,68.3,316,4.6,3,18.1,23,3.7,684,46.1,315,18.5,25,18.7,0,0,302,4.5
Indiana,1,7.5,6,8.5,199,44.8,47,20.2,19,45.3,0,0,191,4.3,0,0,3,4.1,182,40.4,43,17.8,19,43.6,0,0,216,4.8,0,0,4,4.7,213,46.3,44,16.2,21,39.1,0,0,204,4.6,0,0,3,3.3,197,42.3,48,17.2,11,19.5,0,0,206,4.6,0,0,4,4.1,231,49,49,17.1,16,27.1,1,59.2,190,4.2,1,7.9,8,7.7,227,47.4,52,17.6,15,24.2,0,0,169,3.8,0,0,10,9.1,188,38.8,57,18.7,17,26.3,0,0,194,4.3,1,7.7,6,5.2,204,41.7,55,17.6,11,16.3,0,0,355,7.9,4,30.6,10,8.1,215,43.4,56,17.3,6,8.5,0,0,193,4.3,0,0,11,8.6,234,46.7,59,17.6,21,28.7,0,0,191,4.3,1,7.5,7,5.2,225,44.2,54,15.6,18,23.6,0,0,205,4.6
Iowa,0,0,1,2.7,9,16,12,13.9,3,17.7,0,0,70,3.1,1,12.8,4,10.4,16,27.5,8,8.8,11,62,0,0,83,3.6,0,0,4,9.1,22,33.3,11,10.6,7,32.6,0,0,70,3.1,0,0,5,10.5,20,29.3,17,15.7,7,30.9,0,0,63,2.8,0,0,4,7.9,25,35.7,9,8.1,6,25.2,0,0,72,3.1,0,0,8,14.6,22,29.9,10,8.6,6,23.8,0,0,74,3.2,0,0,1,1.7,11,14.2,9,7.5,7,26.4,0,0,66,2.9,0,0,6,9.8,23,28.6,17,13.6,5,18.1,0,0,73,3.2,0,0,4,6.3,42,50.3,9,6.9,5,17.3,0,0,73,3.2,0,0,3,4.5,37,42.6,18,13.4,5,16.6,0,0,61,2.7,1,13.2,1,1.4,33,36.6,14,10.1,4,12.6,0,0,63,2.8
Kansas,0,0,0,0,37,28.8,19,10.8,12,42.2,1,78.6,70,3.7,0,0,4,7.9,44,34,31,17,12,40.7,0,0,61,3.2,0,0,0,0,41,31.5,19,9.1,13,35.3,0,0,63,3.4,0,0,2,3.4,40,30.5,27,12.7,5,13.2,0,0,61,3.2,0,0,3,5,45,33.8,27,12.3,10,25.2,0,0,66,3.5,0,0,1,1.6,48,35.8,30,13.3,9,22,1,59.7,58,3.1,4,20.6,4,6.1,29,21.5,26,11.2,10,23.6,0,0,58,3.1,1,5.2,5,7.1,42,30.9,36,15.1,7,16,0,0,63,3.4,1,5.2,3,4.1,32,23.6,24,9.8,6,13.3,0,0,81,4.3,1,5.1,5,6.8,36,26.6,24,9.6,3,6.4,0,0,50,2.7,1,5.1,5,6.7,58,42.9,28,11,1,2.1,0,0,61,3.3
Kentucky,0,0,2,5.8,122,47,27,36.6,12,45.5,0,0,192,6.1,0,0,1,2.8,104,39.4,23,29.4,13,47.5,0,0,203,6.4,0,0,3,7.6,136,50.4,27,28.9,18,51.7,0,0,147,4.6,0,0,3,7.3,104,37.9,27,28.1,13,35.6,0,0,163,5.1,0,0,4,9.2,123,44.2,22,22.1,20,52.6,0,0,191,6,0,0,4,8.7,106,37.5,21,20.4,17,42.6,1,54.7,205,6.4,0,0,6,12.5,101,35.4,32,30.5,10,24,0,0,195,6.1,0,0,5,9.8,124,43,15,13.9,12,27.7,0,0,185,5.8,0,0,4,7.5,115,39.5,36,32.3,7,15.5,0,0,175,5.5,1,12.3,3,5.4,109,37,24,20.6,9,19.1,0,0,219,6.8,0,0,5,8.6,108,36.2,23,18.7,12,24.3,1,44.9,211,6.6
Louisiana,0,0,2,4,775,69.5,64,54.4,25,96.1,1,92.2,204,8.8,5,23.3,5,9.6,870,77,68,54.7,20,73.6,0,0,204,8.8,3,13.2,6,10.2,814,70.9,41,27.1,25,76.9,1,77.6,222,9.6,2,8.7,3,4.9,872,75.2,74,47.1,17,50.5,0,0,224,9.6,2,8.5,6,9.6,766,65.4,46,28.6,13,37.2,0,0,187,8,0,0,6,9.4,812,68.6,49,29.4,25,69.1,0,0,237,10.1,3,12.4,6,9.3,845,70.8,68,39.9,22,58.5,0,0,254,10.8,6,24.4,3,4.5,800,66.6,60,34.4,7,18,1,65.9,221,9.4,2,8,2,2.9,806,66.7,65,36.6,9,22.4,0,0,226,9.6,2,8,3,4.4,697,57.5,72,40.1,9,21.7,0,0,228,9.7,3,11.9,5,7.2,692,57,57,31.3,8,18.8,0,0,221,9.5
Maine,0,0,0,0,4,43.1,3,23.7,0,0,0,0,38,3.5,1,16.2,0,0,10,103.2,4,30.3,3,35,0,0,36,3.3,0,0,1,9,16,146.1,0,0,1,8.3,0,0,38,3.5,0,0,0,0,16,137.8,3,23.3,0,0,0,0,33,3,0,0,3,25.2,9,74.7,3,22.5,1,7.8,0,0,32,2.9,0,0,0,0,12,96.6,2,14.2,1,7.6,0,0,20,1.8,0,0,0,0,19,143.6,4,26.4,1,7.4,0,0,33,3,0,0,0,0,14,103.7,4,25.6,1,7.2,0,0,27,2.5,1,14.1,0,0,18,126.1,1,6.2,0,0,0,0,33,3,0,0,0,0,4,27.1,1,5.9,1,6.8,0,0,24,2.2,1,13.6,1,7,4,26.1,2,11.3,0,0,0,0,20,1.8
Maryland,0,0,12,5.1,1432,107,160,56,154,304,2,86.1,274,9.9,1,8,7,2.9,1199,88.5,123,41.3,147,280.4,0,0,201,7.3,2,16.8,15,5.5,1209,87.5,136,37.7,154,213.6,0,0,224,8.2,0,0,8,2.9,963,68.8,133,35.7,126,168.1,0,0,190,6.9,2,16.5,15,5.2,904,63.7,111,28.9,137,175.9,0,0,157,5.7,0,0,10,3.4,907,63.1,96,24.2,118,146.2,0,0,169,6.2,0,0,14,4.6,885,60.8,115,28.1,86,103.1,0,0,135,5,3,24.2,11,3.5,838,57,104,24.6,91,105.6,0,0,129,4.8,0,0,15,4.6,793,53.5,94,21.6,57,64.1,0,0,141,5.2,2,15.9,11,3.3,699,46.7,104,23.2,58,63.2,0,0,147,5.5,2,15.8,20,5.9,733,48.6,76,16.4,29,30.7,0,0,119,4.5
Massachusetts,1,9,22,8.4,237,75.9,174,41.2,18,36.2,0,0,289,6.5,0,0,15,5.6,222,69.8,188,42.8,13,25.3,1,43,252,5.6,1,10.2,24,8.1,214,62.4,182,37.9,6,9.6,1,47.6,280,6.4,0,0,24,7.7,230,65.6,173,34.6,19,29.2,0,0,232,5.3,1,10,25,7.7,220,61.1,188,36.1,13,19.2,0,0,257,5.9,0,0,18,5.3,181,49,200,36.8,10,14.2,0,0,260,5.9,1,9.8,29,8.2,206,54.3,173,30.6,7,9.6,1,44.8,226,5.1,3,29.1,20,5.4,173,44.6,166,28.3,8,10.6,0,0,228,5.2,2,19.3,23,6,201,50.7,160,26.4,7,8.9,0,0,245,5.6,1,9.6,19,4.8,160,39.4,183,29.1,13,16,1,42.8,219,5,2,19,27,6.5,206,49.7,173,26.4,8,9.5,0,0,238,5.5
Michigan,0,0,8,4.3,479,42.5,45,15.2,38,41.2,0,0,204,3.1,0,0,7,3.7,503,44.8,40,13.2,35,37.1,0,0,218,3.3,1,2.2,4,2.1,448,39.9,47,15.3,29,26.1,0,0,233,3.6,0,0,12,5.9,472,42,49,15.5,14,12.1,0,0,224,3.5,2,4.3,10,4.6,470,41.7,37,11.3,39,32.6,0,0,231,3.6,0,0,10,4.4,472,41.9,38,11.3,22,17.7,0,0,206,3.2,3,6.4,15,6.3,468,41.5,48,13.9,23,17.9,0,0,224,3.5,0,0,13,5.2,441,39.2,45,12.7,16,12.1,0,0,210,3.2,1,2.1,17,6.5,425,37.8,49,13.4,22,16.1,0,0,231,3.6,1,2.1,8,2.9,449,39.9,64,17,12,8.5,0,0,244,3.8,1,2.1,9,3.2,417,37.1,49,12.6,19,13,1,43.7,222,3.4
