GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0100000US,,United States,311591919,*****
0400000US01,01,Alabama,4802740,*****
0400000US02,02,Alaska,722718,*****
0400000US04,04,Arizona,6482505,*****
0400000US05,05,Arkansas,2937979,*****
0400000US06,06,California,37691912,*****
0400000US08,08,Colorado,5116796,*****
0400000US09,09,Connecticut,3580709,*****
0400000US10,10,Delaware,907135,*****
0400000US11,11,District of Columbia,617996,*****
0400000US12,12,Florida,19057542,*****
0400000US13,13,Georgia,9815210,*****
0400000US15,15,Hawaii,1374810,*****
0400000US16,16,Idaho,1584985,*****
0400000US17,17,Illinois,12869259,*****
0400000US18,18,Indiana,6516922,*****
0400000US19,19,Iowa,3062309,*****
0400000US20,20,Kansas,2871238,*****
0400000US21,21,Kentucky,4369356,*****
0400000US22,22,Louisiana,4574836,*****
0400000US23,23,Maine,1328188,*****
0400000US24,24,Maryland,5828289,*****
0400000US25,25,Massachusetts,6587536,*****
0400000US26,26,Michigan,9876187,*****
0400000US27,27,Minnesota,5344861,*****
0400000US28,28,Mississippi,2978512,*****
0400000US29,29,Missouri,6010688,*****
0400000US30,30,Montana,998199,*****
0400000US31,31,Nebraska,1842641,*****
0400000US32,32,Nevada,2723322,*****
0400000US33,33,New Hampshire,1318194,*****
0400000US34,34,New Jersey,8821155,*****
0400000US35,35,New Mexico,2082224,*****
0400000US36,36,New York,19465197,*****
0400000US37,37,North Carolina,9656401,*****
0400000US38,38,North Dakota,683932,*****
0400000US39,39,Ohio,11544951,*****
0400000US40,40,Oklahoma,3791508,*****
0400000US41,41,Oregon,3871859,*****
0400000US42,42,Pennsylvania,12742886,*****
0400000US44,44,Rhode Island,1051302,*****
0400000US45,45,South Carolina,4679230,*****
0400000US46,46,South Dakota,824082,*****
0400000US47,47,Tennessee,6403353,*****
0400000US48,48,Texas,25674681,*****
0400000US49,49,Utah,2817222,*****
0400000US50,50,Vermont,626431,*****
0400000US51,51,Virginia,8096604,*****
0400000US53,53,Washington,6830038,*****
0400000US54,54,West Virginia,1855364,*****
0400000US55,55,Wisconsin,5711767,*****
0400000US56,56,Wyoming,568158,*****
0400000US72,72,Puerto Rico,3706690,*****
0500000US01003,01003,"Baldwin County, Alabama",186717,*****
0500000US01015,01015,"Calhoun County, Alabama",117797,*****
0500000US01043,01043,"Cullman County, Alabama",80536,*****
0500000US01049,01049,"DeKalb County, Alabama",71375,*****
0500000US01051,01051,"Elmore County, Alabama",80162,*****
0500000US01055,01055,"Etowah County, Alabama",104303,*****
0500000US01069,01069,"Houston County, Alabama",102369,*****
0500000US01073,01073,"Jefferson County, Alabama",658931,*****
0500000US01077,01077,"Lauderdale County, Alabama",92781,*****
0500000US01081,01081,"Lee County, Alabama",143468,*****
0500000US01083,01083,"Limestone County, Alabama",85369,*****
0500000US01089,01089,"Madison County, Alabama",340111,*****
0500000US01095,01095,"Marshall County, Alabama",94166,*****
0500000US01097,01097,"Mobile County, Alabama",412577,*****
0500000US01101,01101,"Montgomery County, Alabama",232032,*****
0500000US01103,01103,"Morgan County, Alabama",119953,*****
0500000US01115,01115,"St. Clair County, Alabama",84398,*****
0500000US01117,01117,"Shelby County, Alabama",197936,*****
0500000US01121,01121,"Talladega County, Alabama",81664,*****
0500000US01125,01125,"Tuscaloosa County, Alabama",197211,*****
0500000US01127,01127,"Walker County, Alabama",66661,*****
0500000US02020,02020,"Anchorage Municipality, Alaska",295570,*****
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",99192,*****
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",91946,*****
0500000US04001,04001,"Apache County, Arizona",72401,*****
0500000US04003,04003,"Cochise County, Arizona",133289,*****
0500000US04005,04005,"Coconino County, Arizona",134511,*****
0500000US04013,04013,"Maricopa County, Arizona",3880244,*****
0500000US04015,04015,"Mohave County, Arizona",202351,*****
0500000US04017,04017,"Navajo County, Arizona",107398,*****
0500000US04019,04019,"Pima County, Arizona",989569,*****
0500000US04021,04021,"Pinal County, Arizona",382992,*****
0500000US04025,04025,"Yavapai County, Arizona",211888,*****
0500000US04027,04027,"Yuma County, Arizona",200870,*****
0500000US05007,05007,"Benton County, Arkansas",227556,*****
0500000US05031,05031,"Craighead County, Arkansas",98315,*****
0500000US05045,05045,"Faulkner County, Arkansas",116342,*****
0500000US05051,05051,"Garland County, Arkansas",97124,*****
0500000US05069,05069,"Jefferson County, Arkansas",76246,*****
0500000US05085,05085,"Lonoke County, Arkansas",69341,*****
0500000US05119,05119,"Pulaski County, Arkansas",386299,*****
0500000US05125,05125,"Saline County, Arkansas",109526,*****
0500000US05131,05131,"Sebastian County, Arkansas",127127,*****
0500000US05143,05143,"Washington County, Arkansas",207521,*****
0500000US05145,05145,"White County, Arkansas",78167,*****
0500000US06001,06001,"Alameda County, California",1529875,*****
0500000US06007,06007,"Butte County, California",220266,*****
0500000US06013,06013,"Contra Costa County, California",1066096,*****
0500000US06017,06017,"El Dorado County, California",180938,*****
0500000US06019,06019,"Fresno County, California",942904,*****
0500000US06023,06023,"Humboldt County, California",134761,*****
0500000US06025,06025,"Imperial County, California",177057,*****
0500000US06029,06029,"Kern County, California",851710,*****
0500000US06031,06031,"Kings County, California",153765,*****
0500000US06033,06033,"Lake County, California",64323,*****
0500000US06037,06037,"Los Angeles County, California",9889056,*****
0500000US06039,06039,"Madera County, California",152925,*****
0500000US06041,06041,"Marin County, California",255031,*****
0500000US06045,06045,"Mendocino County, California",87553,*****
0500000US06047,06047,"Merced County, California",259898,*****
0500000US06053,06053,"Monterey County, California",421898,*****
0500000US06055,06055,"Napa County, California",138088,*****
0500000US06057,06057,"Nevada County, California",98612,*****
0500000US06059,06059,"Orange County, California",3055745,*****
0500000US06061,06061,"Placer County, California",357138,*****
0500000US06065,06065,"Riverside County, California",2239620,*****
0500000US06067,06067,"Sacramento County, California",1436105,*****
0500000US06071,06071,"San Bernardino County, California",2065377,*****
0500000US06073,06073,"San Diego County, California",3140069,*****
0500000US06075,06075,"San Francisco County, California",812826,*****
0500000US06077,06077,"San Joaquin County, California",696214,*****
0500000US06079,06079,"San Luis Obispo County, California",271969,*****
0500000US06081,06081,"San Mateo County, California",727209,*****
0500000US06083,06083,"Santa Barbara County, California",426878,*****
0500000US06085,06085,"Santa Clara County, California",1809378,*****
0500000US06087,06087,"Santa Cruz County, California",264298,*****
0500000US06089,06089,"Shasta County, California",177774,*****
0500000US06095,06095,"Solano County, California",416471,*****
0500000US06097,06097,"Sonoma County, California",488116,*****
0500000US06099,06099,"Stanislaus County, California",518522,*****
0500000US06101,06101,"Sutter County, California",94919,*****
0500000US06107,06107,"Tulare County, California",449253,*****
0500000US06111,06111,"Ventura County, California",831771,*****
0500000US06113,06113,"Yolo County, California",202054,*****
0500000US06115,06115,"Yuba County, California",72578,*****
0500000US08001,08001,"Adams County, Colorado",451443,*****
0500000US08005,08005,"Arapahoe County, Colorado",584948,*****
0500000US08013,08013,"Boulder County, Colorado",299378,*****
0500000US08031,08031,"Denver County, Colorado",619968,*****
0500000US08035,08035,"Douglas County, Colorado",292167,*****
0500000US08041,08041,"El Paso County, Colorado",636963,*****
0500000US08059,08059,"Jefferson County, Colorado",539884,*****
0500000US08069,08069,"Larimer County, Colorado",305525,*****
0500000US08077,08077,"Mesa County, Colorado",147083,*****
0500000US08101,08101,"Pueblo County, Colorado",160545,*****
0500000US08123,08123,"Weld County, Colorado",258638,*****
0500000US09001,09001,"Fairfield County, Connecticut",925899,*****
0500000US09003,09003,"Hartford County, Connecticut",894705,*****
0500000US09005,09005,"Litchfield County, Connecticut",188789,*****
0500000US09007,09007,"Middlesex County, Connecticut",166043,*****
0500000US09009,09009,"New Haven County, Connecticut",861113,*****
0500000US09011,09011,"New London County, Connecticut",273502,*****
0500000US09013,09013,"Tolland County, Connecticut",152507,*****
0500000US09015,09015,"Windham County, Connecticut",118151,*****
0500000US10001,10001,"Kent County, Delaware",164834,*****
0500000US10003,10003,"New Castle County, Delaware",541971,*****
0500000US10005,10005,"Sussex County, Delaware",200330,*****
0500000US11001,11001,"District of Columbia, District of Columbia",617996,*****
0500000US12001,12001,"Alachua County, Florida",249365,*****
0500000US12005,12005,"Bay County, Florida",169856,*****
0500000US12009,12009,"Brevard County, Florida",543566,*****
0500000US12011,12011,"Broward County, Florida",1780172,*****
0500000US12015,12015,"Charlotte County, Florida",160511,*****
0500000US12017,12017,"Citrus County, Florida",140031,*****
0500000US12019,12019,"Clay County, Florida",192370,*****
0500000US12021,12021,"Collier County, Florida",328134,*****
0500000US12023,12023,"Columbia County, Florida",67485,*****
0500000US12031,12031,"Duval County, Florida",870709,*****
0500000US12033,12033,"Escambia County, Florida",299114,*****
0500000US12035,12035,"Flagler County, Florida",97376,*****
0500000US12053,12053,"Hernando County, Florida",173094,*****
0500000US12055,12055,"Highlands County, Florida",98630,*****
0500000US12057,12057,"Hillsborough County, Florida",1267775,*****
0500000US12061,12061,"Indian River County, Florida",138894,*****
0500000US12069,12069,"Lake County, Florida",301019,*****
0500000US12071,12071,"Lee County, Florida",631330,*****
0500000US12073,12073,"Leon County, Florida",277971,*****
0500000US12081,12081,"Manatee County, Florida",327142,*****
0500000US12083,12083,"Marion County, Florida",332529,*****
0500000US12085,12085,"Martin County, Florida",147495,*****
0500000US12086,12086,"Miami-Dade County, Florida",2554766,*****
0500000US12087,12087,"Monroe County, Florida",73873,*****
0500000US12089,12089,"Nassau County, Florida",74195,*****
0500000US12091,12091,"Okaloosa County, Florida",183482,*****
0500000US12095,12095,"Orange County, Florida",1169107,*****
0500000US12097,12097,"Osceola County, Florida",276163,*****
0500000US12099,12099,"Palm Beach County, Florida",1335187,*****
0500000US12101,12101,"Pasco County, Florida",466457,*****
0500000US12103,12103,"Pinellas County, Florida",917398,*****
0500000US12105,12105,"Polk County, Florida",609492,*****
0500000US12107,12107,"Putnam County, Florida",74041,*****
0500000US12109,12109,"St. Johns County, Florida",195823,*****
0500000US12111,12111,"St. Lucie County, Florida",280379,*****
0500000US12113,12113,"Santa Rosa County, Florida",154104,*****
0500000US12115,12115,"Sarasota County, Florida",382213,*****
0500000US12117,12117,"Seminole County, Florida",425071,*****
0500000US12119,12119,"Sumter County, Florida",97756,*****
0500000US12127,12127,"Volusia County, Florida",494804,*****
0500000US13013,13013,"Barrow County, Georgia",69912,*****
0500000US13015,13015,"Bartow County, Georgia",100421,*****
0500000US13021,13021,"Bibb County, Georgia",156433,*****
0500000US13031,13031,"Bulloch County, Georgia",72881,*****
0500000US13045,13045,"Carroll County, Georgia",111159,*****
0500000US13051,13051,"Chatham County, Georgia",271544,*****
0500000US13057,13057,"Cherokee County, Georgia",218286,*****
0500000US13059,13059,"Clarke County, Georgia",117344,*****
0500000US13063,13063,"Clayton County, Georgia",261532,*****
0500000US13067,13067,"Cobb County, Georgia",697553,*****
0500000US13073,13073,"Columbia County, Georgia",128112,*****
0500000US13077,13077,"Coweta County, Georgia",129629,*****
0500000US13089,13089,"DeKalb County, Georgia",699893,*****
0500000US13095,13095,"Dougherty County, Georgia",94788,*****
0500000US13097,13097,"Douglas County, Georgia",133355,*****
0500000US13113,13113,"Fayette County, Georgia",107784,*****
0500000US13115,13115,"Floyd County, Georgia",95989,*****
0500000US13117,13117,"Forsyth County, Georgia",181840,*****
0500000US13121,13121,"Fulton County, Georgia",949599,*****
0500000US13127,13127,"Glynn County, Georgia",80386,*****
0500000US13135,13135,"Gwinnett County, Georgia",824941,*****
0500000US13139,13139,"Hall County, Georgia",183052,*****
0500000US13151,13151,"Henry County, Georgia",207360,*****
0500000US13153,13153,"Houston County, Georgia",143925,*****
0500000US13179,13179,"Liberty County, Georgia",65451,*****
0500000US13185,13185,"Lowndes County, Georgia",111885,*****
0500000US13215,13215,"Muscogee County, Georgia",194107,*****
0500000US13217,13217,"Newton County, Georgia",100814,*****
0500000US13223,13223,"Paulding County, Georgia",143542,*****
0500000US13245,13245,"Richmond County, Georgia",201217,*****
0500000US13247,13247,"Rockdale County, Georgia",85765,*****
0500000US13285,13285,"Troup County, Georgia",67764,*****
0500000US13295,13295,"Walker County, Georgia",68848,*****
0500000US13297,13297,"Walton County, Georgia",84580,*****
0500000US13313,13313,"Whitfield County, Georgia",103184,*****
0500000US15001,15001,"Hawaii County, Hawaii",186738,*****
0500000US15003,15003,"Honolulu County, Hawaii",963607,*****
0500000US15007,15007,"Kauai County, Hawaii",67701,*****
0500000US15009,15009,"Maui County, Hawaii",156693,56
0500000US16001,16001,"Ada County, Idaho",400842,*****
0500000US16005,16005,"Bannock County, Idaho",83691,*****
0500000US16019,16019,"Bonneville County, Idaho",105772,*****
0500000US16027,16027,"Canyon County, Idaho",191694,*****
0500000US16055,16055,"Kootenai County, Idaho",141132,*****
0500000US16083,16083,"Twin Falls County, Idaho",78005,*****
0500000US17001,17001,"Adams County, Illinois",67159,*****
0500000US17019,17019,"Champaign County, Illinois",201685,*****
0500000US17031,17031,"Cook County, Illinois",5217080,*****
0500000US17037,17037,"DeKalb County, Illinois",104743,*****
0500000US17043,17043,"DuPage County, Illinois",923222,*****
0500000US17089,17089,"Kane County, Illinois",520271,*****
0500000US17091,17091,"Kankakee County, Illinois",113698,*****
0500000US17093,17093,"Kendall County, Illinois",116631,*****
0500000US17097,17097,"Lake County, Illinois",706222,*****
0500000US17099,17099,"LaSalle County, Illinois",113518,*****
0500000US17111,17111,"McHenry County, Illinois",308944,*****
0500000US17113,17113,"McLean County, Illinois",170556,*****
0500000US17115,17115,"Macon County, Illinois",110730,*****
0500000US17119,17119,"Madison County, Illinois",268459,*****
0500000US17143,17143,"Peoria County, Illinois",186834,*****
0500000US17161,17161,"Rock Island County, Illinois",147556,*****
0500000US17163,17163,"St. Clair County, Illinois",270259,*****
0500000US17167,17167,"Sangamon County, Illinois",198844,*****
0500000US17179,17179,"Tazewell County, Illinois",135661,*****
0500000US17183,17183,"Vermilion County, Illinois",81509,*****
0500000US17197,17197,"Will County, Illinois",681545,*****
0500000US17199,17199,"Williamson County, Illinois",66622,*****
0500000US17201,17201,"Winnebago County, Illinois",293993,*****
0500000US18003,18003,"Allen County, Indiana",358327,*****
0500000US18005,18005,"Bartholomew County, Indiana",77870,*****
0500000US18019,18019,"Clark County, Indiana",111570,*****
0500000US18035,18035,"Delaware County, Indiana",117660,*****
0500000US18039,18039,"Elkhart County, Indiana",198941,*****
0500000US18043,18043,"Floyd County, Indiana",74989,*****
0500000US18053,18053,"Grant County, Indiana",69793,*****
0500000US18057,18057,"Hamilton County, Indiana",282810,*****
0500000US18059,18059,"Hancock County, Indiana",70529,*****
0500000US18063,18063,"Hendricks County, Indiana",147979,*****
0500000US18067,18067,"Howard County, Indiana",82800,*****
0500000US18081,18081,"Johnson County, Indiana",141656,*****
0500000US18085,18085,"Kosciusko County, Indiana",77336,*****
0500000US18089,18089,"Lake County, Indiana",495558,*****
0500000US18091,18091,"LaPorte County, Indiana",111374,*****
0500000US18095,18095,"Madison County, Indiana",131235,*****
0500000US18097,18097,"Marion County, Indiana",911296,*****
0500000US18105,18105,"Monroe County, Indiana",139799,*****
0500000US18109,18109,"Morgan County, Indiana",69464,*****
0500000US18127,18127,"Porter County, Indiana",165537,*****
0500000US18141,18141,"St. Joseph County, Indiana",266700,*****
0500000US18157,18157,"Tippecanoe County, Indiana",174724,*****
0500000US18163,18163,"Vanderburgh County, Indiana",180305,*****
0500000US18167,18167,"Vigo County, Indiana",108182,*****
0500000US18177,18177,"Wayne County, Indiana",68643,*****
0500000US19013,19013,"Black Hawk County, Iowa",131549,*****
0500000US19049,19049,"Dallas County, Iowa",69444,*****
0500000US19061,19061,"Dubuque County, Iowa",94648,*****
0500000US19103,19103,"Johnson County, Iowa",133038,*****
0500000US19113,19113,"Linn County, Iowa",213875,*****
0500000US19153,19153,"Polk County, Iowa",437399,*****
0500000US19155,19155,"Pottawattamie County, Iowa",93518,*****
0500000US19163,19163,"Scott County, Iowa",167095,*****
0500000US19169,19169,"Story County, Iowa",89663,*****
0500000US19193,19193,"Woodbury County, Iowa",102509,*****
0500000US20015,20015,"Butler County, Kansas",65817,*****
0500000US20045,20045,"Douglas County, Kansas",112211,*****
0500000US20091,20091,"Johnson County, Kansas",552991,*****
0500000US20103,20103,"Leavenworth County, Kansas",75527,2843
0500000US20161,20161,"Riley County, Kansas",72997,*****
0500000US20173,20173,"Sedgwick County, Kansas",501076,*****
0500000US20177,20177,"Shawnee County, Kansas",178941,*****
0500000US20209,20209,"Wyandotte County, Kansas",158224,*****
0500000US21015,21015,"Boone County, Kentucky",121737,*****
