GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0100000US,,United States,321418821,*****
0400000US01,01,Alabama,4858979,*****
0400000US02,02,Alaska,738432,*****
0400000US04,04,Arizona,6828065,*****
0400000US05,05,Arkansas,2978204,*****
0400000US06,06,California,39144818,*****
0400000US08,08,Colorado,5456574,*****
0400000US09,09,Connecticut,3590886,*****
0400000US10,10,Delaware,945934,*****
0400000US11,11,District of Columbia,672228,*****
0400000US12,12,Florida,20271272,*****
0400000US13,13,Georgia,10214860,*****
0400000US15,15,Hawaii,1431603,*****
0400000US16,16,Idaho,1654930,*****
0400000US17,17,Illinois,12859995,*****
0400000US18,18,Indiana,6619680,*****
0400000US19,19,Iowa,3123899,*****
0400000US20,20,Kansas,2911641,*****
0400000US21,21,Kentucky,4425092,*****
0400000US22,22,Louisiana,4670724,*****
0400000US23,23,Maine,1329328,*****
0400000US24,24,Maryland,6006401,*****
0400000US25,25,Massachusetts,6794422,*****
0400000US26,26,Michigan,9922576,*****
0400000US27,27,Minnesota,5489594,*****
0400000US28,28,Mississippi,2992333,*****
0400000US29,29,Missouri,6083672,*****
0400000US30,30,Montana,1032949,*****
0400000US31,31,Nebraska,1896190,*****
0400000US32,32,Nevada,2890845,*****
0400000US33,33,New Hampshire,1330608,*****
0400000US34,34,New Jersey,8958013,*****
0400000US35,35,New Mexico,2085109,*****
0400000US36,36,New York,19795791,*****
0400000US37,37,North Carolina,10042802,*****
0400000US38,38,North Dakota,756928,*****
0400000US39,39,Ohio,11613423,*****
0400000US40,40,Oklahoma,3911338,*****
0400000US41,41,Oregon,4028977,*****
0400000US42,42,Pennsylvania,12802503,*****
0400000US44,44,Rhode Island,1056298,*****
0400000US45,45,South Carolina,4896146,*****
0400000US46,46,South Dakota,858469,*****
0400000US47,47,Tennessee,6600299,*****
0400000US48,48,Texas,27469114,*****
0400000US49,49,Utah,2995919,*****
0400000US50,50,Vermont,626042,*****
0400000US51,51,Virginia,8382993,*****
0400000US53,53,Washington,7170351,*****
0400000US54,54,West Virginia,1844128,*****
0400000US55,55,Wisconsin,5771337,*****
0400000US56,56,Wyoming,586107,*****
0400000US72,72,Puerto Rico,3474182,*****
0500000US01003,01003,"Baldwin County, Alabama",203709,*****
0500000US01015,01015,"Calhoun County, Alabama",115620,*****
0500000US01043,01043,"Cullman County, Alabama",82005,*****
0500000US01049,01049,"DeKalb County, Alabama",71130,*****
0500000US01051,01051,"Elmore County, Alabama",81468,*****
0500000US01055,01055,"Etowah County, Alabama",103057,*****
0500000US01069,01069,"Houston County, Alabama",104173,*****
0500000US01073,01073,"Jefferson County, Alabama",660367,*****
0500000US01077,01077,"Lauderdale County, Alabama",92596,*****
0500000US01081,01081,"Lee County, Alabama",156993,*****
0500000US01083,01083,"Limestone County, Alabama",91663,*****
0500000US01089,01089,"Madison County, Alabama",353089,*****
0500000US01095,01095,"Marshall County, Alabama",94725,*****
0500000US01097,01097,"Mobile County, Alabama",415395,*****
0500000US01101,01101,"Montgomery County, Alabama",226519,*****
0500000US01103,01103,"Morgan County, Alabama",119565,*****
0500000US01115,01115,"St. Clair County, Alabama",87074,*****
0500000US01117,01117,"Shelby County, Alabama",208713,*****
0500000US01121,01121,"Talladega County, Alabama",80862,*****
0500000US01125,01125,"Tuscaloosa County, Alabama",203976,*****
0500000US01127,01127,"Walker County, Alabama",65294,*****
0500000US02020,02020,"Anchorage Municipality, Alaska",298695,*****
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",99631,*****
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",101095,*****
0500000US04001,04001,"Apache County, Arizona",71474,*****
0500000US04003,04003,"Cochise County, Arizona",126427,*****
0500000US04005,04005,"Coconino County, Arizona",139097,*****
0500000US04013,04013,"Maricopa County, Arizona",4167947,*****
0500000US04015,04015,"Mohave County, Arizona",204737,*****
0500000US04017,04017,"Navajo County, Arizona",108277,*****
0500000US04019,04019,"Pima County, Arizona",1010025,*****
0500000US04021,04021,"Pinal County, Arizona",406584,*****
0500000US04025,04025,"Yavapai County, Arizona",222255,*****
0500000US04027,04027,"Yuma County, Arizona",204275,*****
0500000US05007,05007,"Benton County, Arkansas",249672,*****
0500000US05031,05031,"Craighead County, Arkansas",104354,*****
0500000US05045,05045,"Faulkner County, Arkansas",121552,*****
0500000US05051,05051,"Garland County, Arkansas",97177,*****
0500000US05069,05069,"Jefferson County, Arkansas",71565,*****
0500000US05085,05085,"Lonoke County, Arkansas",71645,*****
0500000US05119,05119,"Pulaski County, Arkansas",392664,*****
0500000US05125,05125,"Saline County, Arkansas",117460,*****
0500000US05131,05131,"Sebastian County, Arkansas",127780,*****
0500000US05143,05143,"Washington County, Arkansas",225477,*****
0500000US05145,05145,"White County, Arkansas",79161,*****
0500000US06001,06001,"Alameda County, California",1638215,*****
0500000US06007,06007,"Butte County, California",225411,*****
0500000US06013,06013,"Contra Costa County, California",1126745,*****
0500000US06017,06017,"El Dorado County, California",184452,*****
0500000US06019,06019,"Fresno County, California",974861,*****
0500000US06023,06023,"Humboldt County, California",135727,*****
0500000US06025,06025,"Imperial County, California",180191,*****
0500000US06029,06029,"Kern County, California",882176,*****
0500000US06031,06031,"Kings County, California",150965,*****
0500000US06033,06033,"Lake County, California",64591,*****
0500000US06037,06037,"Los Angeles County, California",10170292,*****
0500000US06039,06039,"Madera County, California",154998,*****
0500000US06041,06041,"Marin County, California",261221,*****
0500000US06045,06045,"Mendocino County, California",87649,*****
0500000US06047,06047,"Merced County, California",268455,*****
0500000US06053,06053,"Monterey County, California",433898,*****
0500000US06055,06055,"Napa County, California",142456,*****
0500000US06057,06057,"Nevada County, California",98877,*****
0500000US06059,06059,"Orange County, California",3169776,*****
0500000US06061,06061,"Placer County, California",375391,*****
0500000US06065,06065,"Riverside County, California",2361026,*****
0500000US06067,06067,"Sacramento County, California",1501335,*****
0500000US06071,06071,"San Bernardino County, California",2128133,*****
0500000US06073,06073,"San Diego County, California",3299521,*****
0500000US06075,06075,"San Francisco County, California",864816,*****
0500000US06077,06077,"San Joaquin County, California",726106,*****
0500000US06079,06079,"San Luis Obispo County, California",281401,*****
0500000US06081,06081,"San Mateo County, California",765135,*****
0500000US06083,06083,"Santa Barbara County, California",444769,*****
0500000US06085,06085,"Santa Clara County, California",1918044,*****
0500000US06087,06087,"Santa Cruz County, California",274146,*****
0500000US06089,06089,"Shasta County, California",179533,*****
0500000US06095,06095,"Solano County, California",436092,*****
0500000US06097,06097,"Sonoma County, California",502146,*****
0500000US06099,06099,"Stanislaus County, California",538388,*****
0500000US06101,06101,"Sutter County, California",96463,*****
0500000US06107,06107,"Tulare County, California",459863,*****
0500000US06111,06111,"Ventura County, California",850536,*****
0500000US06113,06113,"Yolo County, California",213016,*****
0500000US06115,06115,"Yuba County, California",74492,*****
0500000US08001,08001,"Adams County, Colorado",491337,*****
0500000US08005,08005,"Arapahoe County, Colorado",631096,*****
0500000US08013,08013,"Boulder County, Colorado",319372,*****
0500000US08014,08014,"Broomfield County, Colorado",65065,*****
0500000US08031,08031,"Denver County, Colorado",682545,*****
0500000US08035,08035,"Douglas County, Colorado",322387,*****
0500000US08041,08041,"El Paso County, Colorado",674471,*****
0500000US08059,08059,"Jefferson County, Colorado",565524,*****
0500000US08069,08069,"Larimer County, Colorado",333577,*****
0500000US08077,08077,"Mesa County, Colorado",148513,*****
0500000US08101,08101,"Pueblo County, Colorado",163591,*****
0500000US08123,08123,"Weld County, Colorado",285174,*****
0500000US09001,09001,"Fairfield County, Connecticut",948053,*****
0500000US09003,09003,"Hartford County, Connecticut",895841,*****
0500000US09005,09005,"Litchfield County, Connecticut",183603,*****
0500000US09007,09007,"Middlesex County, Connecticut",164063,*****
0500000US09009,09009,"New Haven County, Connecticut",859470,*****
0500000US09011,09011,"New London County, Connecticut",271863,*****
0500000US09013,09013,"Tolland County, Connecticut",151420,*****
0500000US09015,09015,"Windham County, Connecticut",116573,*****
0500000US10001,10001,"Kent County, Delaware",173533,*****
0500000US10003,10003,"New Castle County, Delaware",556779,*****
0500000US10005,10005,"Sussex County, Delaware",215622,*****
0500000US11001,11001,"District of Columbia, District of Columbia",672228,*****
0500000US12001,12001,"Alachua County, Florida",259964,*****
0500000US12005,12005,"Bay County, Florida",181635,*****
0500000US12009,12009,"Brevard County, Florida",568088,*****
0500000US12011,12011,"Broward County, Florida",1896425,*****
0500000US12015,12015,"Charlotte County, Florida",173115,*****
0500000US12017,12017,"Citrus County, Florida",141058,*****
0500000US12019,12019,"Clay County, Florida",203967,*****
