Geography,2008,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,2010,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,2018,,,,,,,,,,,,,
,American Indian/Alaska Native,,Asian,,Black/African American,,Hispanic/Latino,,Multiple races,,Native Hawaiian/Other Pacific Islander,,White,,American Indian/Alaska Native,,Asian,,Black/African American,,Hispanic/Latino,,Multiple races,,Native Hawaiian/Other Pacific Islander,,White,,American Indian/Alaska Native,,Asian,,Black/African American,,Hispanic/Latino,,Multiple races,,Native Hawaiian/Other Pacific Islander,,White,,American Indian/Alaska Native,,Asian,,Black/African American,,Hispanic/Latino,,Multiple races,,Native Hawaiian/Other Pacific Islander,,White,,American Indian/Alaska Native,,Asian,,Black/African American,,Hispanic/Latino,,Multiple races,,Native Hawaiian/Other Pacific Islander,,White,,American Indian/Alaska Native,,Asian,,Black/African American,,Hispanic/Latino,,Multiple races,,Native Hawaiian/Other Pacific Islander,,White,,American Indian/Alaska Native,,Asian,,Black/African American,,Hispanic/Latino,,Multiple races,,Native Hawaiian/Other Pacific Islander,,White,,American Indian/Alaska Native,,Asian,,Black/African American,,Hispanic/Latino,,Multiple races,,Native Hawaiian/Other Pacific Islander,,White,,American Indian/Alaska Native,,Asian,,Black/African American,,Hispanic/Latino,,Multiple races,,Native Hawaiian/Other Pacific Islander,,White,,American Indian/Alaska Native,,Asian,,Black/African American,,Hispanic/Latino,,Multiple races,,Native Hawaiian/Other Pacific Islander,,White,,American Indian/Alaska Native,,Asian,,Black/African American,,Hispanic/Latino,,Multiple races,,Native Hawaiian/Other Pacific Islander,,White,
,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000
"Florida","6","13.2","28","8.1","2,863","130.4","1,202","38.7","165","120.1","4","45.4","1,507","15.6","1","2.2","27","7.6","2,493","112.0","1,116","35.0","101","71.5","3","33.0","1,293","13.4","4","9.7","25","6.4","2,264","98.3","1,090","31.6","104","60.8","0","0.0","1,145","11.9","3","7.1","42","10.4","2,161","91.5","1,036","29.0","85","47.7","5","52.4","1,238","12.8","4","9.3","32","7.7","2,055","85.2","1,044","28.3","70","37.8","2","20.4","1,168","12.0","1","2.3","44","10.2","1,931","78.6","1,154","30.3","98","51.0","1","10.0","1,067","10.9","6","13.5","37","8.3","1,942","77.5","1,270","32.2","88","44.0","4","39.0","1,129","11.5","3","6.6","49","10.5","1,947","76.2","1,422","34.7","73","35.1","7","66.2","1,070","10.8","8","17.3","53","10.9","1,974","75.8","1,513","35.5","61","28.1","3","27.4","1,050","10.5","7","14.9","45","8.9","1,924","72.5","1,442","32.6","46","20.4","5","44.5","1,094","10.8","3","6.3","55","10.4","1,853","68.7","1,604","35.0","41","17.5","7","60.8","1,120","11.0"
"Georgia","0","0.0","15","6.8","2,177","94.9","210","39.4","162","241.2","1","25.4","593","12.6","1","4.9","4","1.8","2,058","88.0","199","35.9","140","198.6","0","0.0","508","10.8","0","0.0","17","6.5","1,868","79.9","189","31.0","125","144.6","3","69.6","451","9.8","0","0.0","7","2.6","1,917","80.4","195","31.6","133","147.2","3","67.5","407","8.8","3","15.9","16","5.6","1,870","77.0","188","29.9","125","132.2","1","21.7","415","8.9","0","0.0","13","4.4","1,647","66.7","191","30.0","95","96.3","0","0.0","392","8.4","2","10.3","19","6.1","1,699","67.5","194","29.7","103","100.0","1","20.6","362","7.7","0","0.0","21","6.5","1,909","74.4","195","28.9","102","95.0","1","20.3","396","8.4","3","14.9","23","6.7","1,793","68.5","187","26.8","106","94.6","1","20.1","382","8.1","2","9.8","25","7.0","1,834","68.8","205","28.3","67","57.4","2","39.3","429","9.1","1","4.8","23","6.2","1,825","67.2","235","31.3","51","42.0","3","57.7","414","8.7"
"Hawaii","0","0.0","21","4.8","8","29.7","9","11.3","7","4.5","9","9.9","29","10.3","0","0.0","19","4.3","10","35.5","8","9.8","8","5.1","9","9.8","33","11.7","0","0.0","27","5.8","5","29.3","5","5.7","13","6.8","15","14.7","37","13.2","0","0.0","15","3.2","8","43.5","4","4.4","13","6.7","12","11.5","29","10.3","0","0.0","18","3.8","0","0.0","12","12.9","12","6.1","11","10.4","29","10.3","1","38.1","19","4.1","5","24.4","16","16.6","12","6.0","14","13.0","28","9.8","0","0.0","18","3.8","7","32.7","7","7.1","19","9.4","13","12.0","35","12.3","1","37.0","21","4.5","12","53.6","12","11.8","18","8.8","16","14.6","39","13.7","1","37.5","18","3.8","10","43.2","9","8.7","11","5.3","9","8.2","20","7.1","0","0.0","21","4.5","4","17.2","13","12.4","9","4.3","9","8.2","22","7.9","0","0.0","20","4.3","6","25.6","7","6.6","10","4.8","6","5.4","17","6.2"
"Idaho","1","6.7","1","7.4","2","29.3","8","7.4","0","0.0","0","0.0","37","3.5","0","0.0","0","0.0","0","0.0","4","3.5","1","6.8","0","0.0","43","4.0","2","14.2","0","0.0","2","30.1","3","2.5","2","11.9","0","0.0","35","3.2","0","0.0","0","0.0","3","42.0","5","4.0","1","5.7","0","0.0","26","2.4","0","0.0","0","0.0","1","13.8","5","3.9","1","5.5","0","0.0","30","2.7","1","6.9","0","0.0","3","39.1","4","3.0","0","0.0","0","0.0","19","1.7","0","0.0","0","0.0","0","0.0","3","2.2","0","0.0","0","0.0","19","1.7","0","0.0","3","15.7","9","105.8","8","5.6","0","0.0","0","0.0","20","1.8","1","6.6","1","4.9","6","66.6","10","6.7","2","9.2","1","43.6","24","2.1","1","6.5","0","0.0","4","42.2","5","3.2","2","8.7","0","0.0","34","2.9","2","12.7","1","4.4","3","29.9","8","4.9","0","0.0","0","0.0","23","1.9"
"Illinois","2","10.7","31","7.0","931","62.2","331","23.8","115","136.4","1","27.0","395","5.5","3","15.8","20","4.4","870","57.8","319","22.3","122","139.6","1","26.5","393","5.5","2","12.5","22","4.4","830","55.8","314","21.0","98","96.4","1","37.1","390","5.6","2","12.4","29","5.6","784","52.5","316","20.7","124","117.9","0","0.0","362","5.2","1","6.1","20","3.8","796","53.2","348","22.4","92","84.1","0","0.0","390","5.6","0","0.0","30","5.4","767","51.1","338","21.4","76","67.0","0","0.0","371","5.3","0","0.0","26","4.6","742","49.4","325","20.2","62","52.8","0","0.0","378","5.4","3","18.1","39","6.7","770","51.3","328","20.1","67","55.2","1","34.4","342","5.0","3","18.1","31","5.2","771","51.6","323","19.5","49","39.1","2","68.8","304","4.4","4","24.1","39","6.4","678","45.6","278","16.5","35","27.1","2","68.3","316","4.6","3","18.1","23","3.7","684","46.1","315","18.5","25","18.7","0","0.0","302","4.5"
"Indiana","1","7.5","6","8.5","199","44.8","47","20.2","19","45.3","0","0.0","191","4.3","0","0.0","3","4.1","182","40.4","43","17.8","19","43.6","0","0.0","216","4.8","0","0.0","4","4.7","213","46.3","44","16.2","21","39.1","0","0.0","204","4.6","0","0.0","3","3.3","197","42.3","48","17.2","11","19.5","0","0.0","206","4.6","0","0.0","4","4.1","231","49.0","49","17.1","16","27.1","1","59.2","190","4.2","1","7.9","8","7.7","227","47.4","52","17.6","15","24.2","0","0.0","169","3.8","0","0.0","10","9.1","188","38.8","57","18.7","17","26.3","0","0.0","194","4.3","1","7.7","6","5.2","204","41.7","55","17.6","11","16.3","0","0.0","355","7.9","4","30.6","10","8.1","215","43.4","56","17.3","6","8.5","0","0.0","193","4.3","0","0.0","11","8.6","234","46.7","59","17.6","21","28.7","0","0.0","191","4.3","1","7.5","7","5.2","225","44.2","54","15.6","18","23.6","0","0.0","205","4.6"
"Iowa","0","0.0","1","2.7","9","16.0","12","13.9","3","17.7","0","0.0","70","3.1","1","12.8","4","10.4","16","27.5","8","8.8","11","62.0","0","0.0","83","3.6","0","0.0","4","9.1","22","33.3","11","10.6","7","32.6","0","0.0","70","3.1","0","0.0","5","10.5","20","29.3","17","15.7","7","30.9","0","0.0","63","2.8","0","0.0","4","7.9","25","35.7","9","8.1","6","25.2","0","0.0","72","3.1","0","0.0","8","14.6","22","29.9","10","8.6","6","23.8","0","0.0","74","3.2","0","0.0","1","1.7","11","14.2","9","7.5","7","26.4","0","0.0","66","2.9","0","0.0","6","9.8","23","28.6","17","13.6","5","18.1","0","0.0","73","3.2","0","0.0","4","6.3","42","50.3","9","6.9","5","17.3","0","0.0","73","3.2","0","0.0","3","4.5","37","42.6","18","13.4","5","16.6","0","0.0","61","2.7","1","13.2","1","1.4","33","36.6","14","10.1","4","12.6","0","0.0","63","2.8"
"Kansas","0","0.0","0","0.0","37","28.8","19","10.8","12","42.2","1","78.6","70","3.7","0","0.0","4","7.9","44","34.0","31","17.0","12","40.7","0","0.0","61","3.2","0","0.0","0","0.0","41","31.5","19","9.1","13","35.3","0","0.0","63","3.4","0","0.0","2","3.4","40","30.5","27","12.7","5","13.2","0","0.0","61","3.2","0","0.0","3","5.0","45","33.8","27","12.3","10","25.2","0","0.0","66","3.5","0","0.0","1","1.6","48","35.8","30","13.3","9","22.0","1","59.7","58","3.1","4","20.6","4","6.1","29","21.5","26","11.2","10","23.6","0","0.0","58","3.1","1","5.2","5","7.1","42","30.9","36","15.1","7","16.0","0","0.0","63","3.4","1","5.2","3","4.1","32","23.6","24","9.8","6","13.3","0","0.0","81","4.3","1","5.1","5","6.8","36","26.6","24","9.6","3","6.4","0","0.0","50","2.7","1","5.1","5","6.7","58","42.9","28","11.0","1","2.1","0","0.0","61","3.3"
"Kentucky","0","0.0","2","5.8","122","47.0","27","36.6","12","45.5","0","0.0","192","6.1","0","0.0","1","2.8","104","39.4","23","29.4","13","47.5","0","0.0","203","6.4","0","0.0","3","7.6","136","50.4","27","28.9","18","51.7","0","0.0","147","4.6","0","0.0","3","7.3","104","37.9","27","28.1","13","35.6","0","0.0","163","5.1","0","0.0","4","9.2","123","44.2","22","22.1","20","52.6","0","0.0","191","6.0","0","0.0","4","8.7","106","37.5","21","20.4","17","42.6","1","54.7","205","6.4","0","0.0","6","12.5","101","35.4","32","30.5","10","24.0","0","0.0","195","6.1","0","0.0","5","9.8","124","43.0","15","13.9","12","27.7","0","0.0","185","5.8","0","0.0","4","7.5","115","39.5","36","32.3","7","15.5","0","0.0","175","5.5","1","12.3","3","5.4","109","37.0","24","20.6","9","19.1","0","0.0","219","6.8","0","0.0","5","8.6","108","36.2","23","18.7","12","24.3","1","44.9","211","6.6"
"Louisiana","0","0.0","2","4.0","775","69.5","64","54.4","25","96.1","1","92.2","204","8.8","5","23.3","5","9.6","870","77.0","68","54.7","20","73.6","0","0.0","204","8.8","3","13.2","6","10.2","814","70.9","41","27.1","25","76.9","1","77.6","222","9.6","2","8.7","3","4.9","872","75.2","74","47.1","17","50.5","0","0.0","224","9.6","2","8.5","6","9.6","766","65.4","46","28.6","13","37.2","0","0.0","187","8.0","0","0.0","6","9.4","812","68.6","49","29.4","25","69.1","0","0.0","237","10.1","3","12.4","6","9.3","845","70.8","68","39.9","22","58.5","0","0.0","254","10.8","6","24.4","3","4.5","800","66.6","60","34.4","7","18.0","1","65.9","221","9.4","2","8.0","2","2.9","806","66.7","65","36.6","9","22.4","0","0.0","226","9.6","2","8.0","3","4.4","697","57.5","72","40.1","9","21.7","0","0.0","228","9.7","3","11.9","5","7.2","692","57.0","57","31.3","8","18.8","0","0.0","221","9.5"
